"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","48.50","48.50","45.40","46.84","45.40","45.66","46.35","56.15","22.55","13,273","6,15,188.17","215"
"23-Aug-2024","BE","47.04","47.07","45.21","44.83","46.30","46.84","46.57","56.15","22.25","40,534","18,87,814.75","339"
"22-Aug-2024","BE","43.70","44.83","42.25","42.70","44.83","44.83","44.21","56.15","22.25","35,668","15,77,002.87","152"
"21-Aug-2024","BE","40.77","43.60","40.77","42.32","42.20","42.70","42.26","56.15","22.25","15,381","6,50,044.96","240"
"20-Aug-2024","BE","42.00","43.55","42.00","42.92","42.90","42.32","42.46","56.15","22.25","18,099","7,68,401.38","157"
"19-Aug-2024","BE","43.85","43.85","40.50","41.96","43.20","42.92","42.27","56.15","22.25","21,404","9,04,815.44","206"
"16-Aug-2024","BE","39.47","43.40","39.47","41.55","42.68","41.96","41.01","56.15","22.25","25,253","10,35,535.31","288"
"14-Aug-2024","BE","44.30","44.30","41.55","43.74","41.55","41.55","41.81","56.15","22.25","20,112","8,40,976.31","226"
"13-Aug-2024","BE","47.70","47.70","43.74","46.05","43.74","43.74","44.90","56.15","22.25","27,484","12,34,013.58","342"
"12-Aug-2024","EQ","51.00","51.00","45.63","51.14","45.95","46.05","46.69","56.15","22.25","2,62,167","1,22,39,362.89","3,912"
"09-Aug-2024","EQ","55.54","56.15","50.11","46.84","50.27","51.14","53.14","56.15","22.25","13,88,517","7,37,84,291.71","11,793"
"08-Aug-2024","EQ","42.50","46.84","41.01","39.04","46.84","46.84","45.61","46.84","22.25","2,11,553","96,49,578.11","1,064"
"07-Aug-2024","EQ","38.70","39.49","37.12","37.57","38.51","39.04","38.35","41.52","22.25","1,56,475","60,01,052.74","3,270"
"06-Aug-2024","EQ","39.00","39.00","35.53","37.33","37.65","37.57","37.58","41.52","22.25","88,692","33,32,790.30","2,276"
"05-Aug-2024","EQ","37.25","38.59","35.80","37.25","37.45","37.33","37.05","41.52","22.25","72,767","26,95,978.60","1,514"
"02-Aug-2024","EQ","37.27","37.69","35.98","37.27","36.90","37.25","36.51","41.52","22.20","60,311","22,02,237.41","1,622"
"01-Aug-2024","EQ","37.55","37.75","36.51","37.17","37.50","37.27","37.24","41.52","22.20","61,790","23,01,063.45","1,797"
"31-Jul-2024","EQ","38.40","39.00","36.00","37.62","37.60","37.17","37.55","41.52","22.20","92,754","34,82,460.71","1,954"
"30-Jul-2024","EQ","37.00","38.65","37.00","36.95","38.40","37.62","37.60","41.52","22.20","75,279","28,30,143.01","2,669"
"29-Jul-2024","EQ","38.00","39.59","36.62","37.16","37.00","36.95","37.44","41.52","22.20","65,701","24,59,960.60","2,051"
