"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","340.00","341.95","333.00","337.05","333.95","334.35","337.03","690.75","239.05","96,611","3,25,60,907.65","2,928"
"23-Aug-2024","EQ","336.00","338.65","333.00","335.25","337.50","337.05","336.50","690.75","239.05","89,928","3,02,60,988.05","2,701"
"22-Aug-2024","EQ","343.00","346.15","332.00","341.40","333.05","335.25","340.08","690.75","239.05","1,21,594","4,13,51,112.00","3,762"
"21-Aug-2024","EQ","340.00","346.65","335.80","338.05","341.00","341.40","341.27","690.75","239.05","1,12,872","3,85,20,192.65","3,868"
"20-Aug-2024","EQ","334.60","344.00","332.05","330.35","337.60","338.05","339.40","690.75","239.05","2,28,007","7,73,85,373.30","5,651"
"19-Aug-2024","EQ","334.75","334.75","326.10","329.40","330.10","330.35","330.56","690.75","239.05","70,764","2,33,91,877.75","3,076"
"16-Aug-2024","EQ","337.05","337.10","325.50","331.25","329.80","329.40","330.20","690.75","239.05","1,20,488","3,97,85,707.80","3,824"
"14-Aug-2024","EQ","330.70","335.00","318.00","330.70","329.75","331.25","326.63","690.75","239.05","2,14,112","6,99,35,083.60","6,002"
"13-Aug-2024","EQ","331.25","344.80","330.70","348.10","330.70","330.70","334.06","690.75","239.05","4,64,989","15,53,34,608.70","6,846"
"12-Aug-2024","EQ","358.75","359.00","344.05","358.80","347.50","348.10","350.93","690.75","239.05","1,32,253","4,64,11,263.05","5,157"
"09-Aug-2024","EQ","359.75","369.05","353.75","351.50","356.55","358.80","363.29","690.75","227.75","2,41,310","8,76,66,107.10","5,880"
"08-Aug-2024","EQ","364.00","364.10","350.00","364.35","350.00","351.50","356.02","690.75","227.75","1,17,080","4,16,82,609.55","5,146"
"07-Aug-2024","EQ","366.05","368.60","354.05","364.10","365.00","364.35","362.49","690.75","227.75","1,21,644","4,40,94,353.50","4,193"
"06-Aug-2024","EQ","386.90","392.85","364.10","383.25","364.10","364.10","375.71","690.75","227.75","3,10,251","11,65,64,753.65","9,499"
"05-Aug-2024","EQ","387.15","393.00","383.25","403.40","383.25","383.25","385.01","690.75","227.75","3,84,354","14,79,79,449.20","5,265"
"02-Aug-2024","EQ","391.95","412.00","387.45","399.95","402.15","403.40","400.65","690.75","223.00","3,56,854","14,29,71,932.70","9,710"
"01-Aug-2024","EQ","400.00","412.30","392.20","392.70","400.00","399.95","405.57","690.75","223.00","10,49,278","42,55,60,560.30","13,496"
"31-Jul-2024","EQ","377.00","392.70","370.00","374.00","392.70","392.70","384.88","690.75","223.00","3,21,213","12,36,28,015.50","7,236"
"30-Jul-2024","EQ","358.70","374.00","350.15","356.20","374.00","374.00","368.97","690.75","223.00","3,94,329","14,54,97,169.95","7,111"
"29-Jul-2024","EQ","363.00","363.00","344.30","349.65","355.10","356.20","355.01","690.75","223.00","2,57,652","9,14,68,793.75","7,076"
