"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","19.29","19.29","19.29","19.69","19.29","19.29","19.29","24.57","12.30","35,630","6,87,302.70","83"
"23-Aug-2024","BE","19.69","19.69","19.69","20.10","19.69","19.69","19.69","24.57","12.30","1,28,690","25,33,906.10","67"
"22-Aug-2024","BE","20.10","20.10","20.10","20.52","20.10","20.10","20.10","24.57","12.30","78,176","15,71,337.60","80"
"21-Aug-2024","BE","20.50","20.68","19.72","19.70","20.40","20.52","20.57","24.57","12.30","5,72,829","1,17,83,488.11","750"
"20-Aug-2024","BE","19.39","19.70","19.00","18.77","19.70","19.70","19.47","24.57","12.30","2,65,232","51,62,760.60","535"
"19-Aug-2024","BE","17.90","18.90","17.90","18.00","18.87","18.77","18.50","24.57","12.30","2,01,563","37,28,112.97","421"
"16-Aug-2024","BE","17.90","18.20","17.40","17.91","18.00","18.00","17.96","24.57","12.30","2,67,492","48,03,627.65","395"
"14-Aug-2024","BE","17.00","18.23","16.50","17.37","18.00","17.91","17.08","24.57","12.30","3,78,604","64,67,938.81","745"
"13-Aug-2024","BE","16.30","17.37","15.73","16.55","17.37","17.37","16.48","24.57","12.30","2,53,079","41,71,900.28","547"
"12-Aug-2024","BE","17.47","17.80","16.55","17.43","16.55","16.55","16.75","24.57","12.30","4,44,548","74,47,615.17","626"
"09-Aug-2024","BE","18.35","18.45","17.31","17.93","17.45","17.43","17.73","24.57","12.30","1,61,292","28,60,133.17","319"
"08-Aug-2024","BE","17.70","18.52","17.21","17.90","17.99","17.93","17.99","24.57","12.30","1,86,052","33,47,105.71","333"
"07-Aug-2024","BE","17.65","18.69","17.50","18.43","18.08","17.90","17.90","24.57","12.30","4,43,885","79,44,809.33","733"
"06-Aug-2024","BE","18.90","19.41","18.43","19.41","18.43","18.43","18.72","24.57","12.30","2,96,507","55,49,338.64","517"
"05-Aug-2024","BE","19.41","20.10","19.41","20.44","19.41","19.41","19.43","24.57","12.30","1,61,522","31,38,007.94","341"
"02-Aug-2024","BE","19.68","20.45","19.68","20.09","20.44","20.44","19.92","24.57","12.30","1,74,238","34,71,626.81","148"
"01-Aug-2024","BE","20.09","20.09","20.09","20.50","20.09","20.09","20.09","24.57","12.30","93,126","18,70,901.34","90"
"31-Jul-2024","BE","20.10","20.50","20.10","20.11","20.50","20.50","20.14","24.57","12.30","1,79,206","36,08,527.04","150"
"30-Jul-2024","BE","20.11","20.11","20.11","19.72","20.11","20.11","20.11","24.57","12.30","34,928","7,02,402.08","50"
"29-Jul-2024","BE","19.72","19.72","19.72","19.34","19.72","19.72","19.72","24.57","12.30","18,411","3,63,064.92","47"
