"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","275.00","275.00","269.30","269.30","272.60","272.35","271.47","326.40","242.00","11,964","32,47,885.60","959"
"23-Aug-2024","EQ","271.60","272.75","268.00","270.15","269.50","269.30","270.24","326.40","242.00","9,874","26,68,390.45","1,042"
"22-Aug-2024","EQ","268.15","273.00","268.15","270.40","270.00","270.15","271.01","326.40","242.00","7,290","19,75,657.00","869"
"21-Aug-2024","EQ","265.30","273.50","265.30","269.65","270.00","270.40","270.12","326.40","242.00","12,080","32,63,003.65","1,050"
"20-Aug-2024","EQ","273.80","277.80","268.85","271.35","269.05","269.65","271.54","326.40","242.00","13,325","36,18,224.05","1,032"
"19-Aug-2024","EQ","274.40","278.80","270.15","271.50","272.00","271.35","274.43","326.40","242.00","9,848","27,02,570.80","856"
"16-Aug-2024","EQ","280.00","280.00","271.05","274.85","272.00","271.50","274.68","326.40","242.00","9,133","25,08,680.60","630"
"14-Aug-2024","EQ","280.45","280.45","272.00","274.95","274.70","274.85","275.54","326.40","242.00","9,020","24,85,358.35","707"
"13-Aug-2024","EQ","270.55","280.40","270.55","273.30","277.40","274.95","276.27","326.40","242.00","9,818","27,12,458.75","521"
"12-Aug-2024","EQ","269.30","276.95","265.00","269.30","272.50","273.30","272.11","326.40","242.00","13,801","37,55,421.65","817"
"09-Aug-2024","EQ","275.00","275.00","267.00","271.10","267.15","269.30","270.47","326.40","242.00","18,528","50,11,277.95","861"
"08-Aug-2024","EQ","273.30","279.00","270.00","271.90","275.00","271.10","275.25","326.40","242.00","8,652","23,81,472.65","409"
"07-Aug-2024","EQ","270.00","276.55","267.20","271.25","273.00","271.90","272.98","326.40","242.00","8,040","21,94,755.85","277"
"06-Aug-2024","EQ","271.85","276.00","270.00","271.85","274.00","271.25","273.58","326.40","242.00","7,885","21,57,141.40","549"
"05-Aug-2024","EQ","271.40","277.15","271.00","277.15","271.00","271.85","272.95","326.40","242.00","16,461","44,93,042.80","1,118"
"02-Aug-2024","EQ","272.00","279.00","270.00","278.95","277.45","277.15","275.73","326.40","242.00","13,804","38,06,153.95","492"
"01-Aug-2024","EQ","294.00","294.00","277.10","284.60","279.35","278.95","281.34","326.40","242.00","23,071","64,90,700.85","855"
"31-Jul-2024","EQ","283.15","288.80","282.05","286.90","284.80","284.60","285.52","326.40","242.00","27,133","77,46,994.25","773"
"30-Jul-2024","EQ","296.95","296.95","283.55","294.55","287.00","286.90","287.89","326.40","242.00","32,374","93,19,994.75","1,218"
"29-Jul-2024","EQ","270.00","314.50","265.05","262.10","294.00","294.55","306.85","326.40","242.00","5,54,122","17,00,34,322.95","7,390"
