"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","228.50","233.42","218.00","228.50","221.80","220.13","223.82","309.15","152.70","26,901","60,21,061.85","1,270"
"23-Aug-2024","EQ","231.50","242.35","226.25","226.11","228.99","228.50","234.68","309.15","152.70","72,180","1,69,38,961.93","2,076"
"22-Aug-2024","EQ","227.70","235.00","224.00","221.35","226.89","226.11","229.27","309.15","152.70","73,053","1,67,48,761.05","2,908"
"21-Aug-2024","EQ","221.00","224.39","212.43","218.50","221.50","221.35","219.54","309.15","152.70","53,258","1,16,92,420.67","2,110"
"20-Aug-2024","EQ","219.80","222.90","215.00","216.89","218.40","218.50","219.83","309.15","152.70","12,600","27,69,802.27","663"
"19-Aug-2024","EQ","214.05","219.85","211.40","210.91","217.95","216.89","216.20","309.15","152.70","13,995","30,25,714.23","973"
"16-Aug-2024","EQ","214.80","218.00","206.35","209.76","210.03","210.91","210.15","309.15","152.70","17,565","36,91,229.03","821"
"14-Aug-2024","EQ","219.70","219.70","206.00","213.93","210.99","209.76","209.75","309.15","152.70","25,567","53,62,696.38","996"
"13-Aug-2024","EQ","220.00","225.00","211.21","219.67","211.21","213.93","219.27","309.15","152.70","20,319","44,55,300.75","1,082"
"12-Aug-2024","EQ","213.10","228.99","213.10","221.12","221.90","219.67","222.76","309.15","152.70","38,915","86,68,833.29","1,388"
"09-Aug-2024","EQ","227.45","227.45","219.53","224.09","222.40","221.12","223.27","309.15","152.70","18,630","41,59,484.08","922"
"08-Aug-2024","EQ","234.90","235.00","222.00","232.20","223.50","224.09","226.22","309.15","152.70","34,952","79,06,690.80","1,262"
"07-Aug-2024","EQ","230.95","236.00","224.84","226.24","231.50","232.20","230.45","309.15","152.70","26,601","61,30,127.90","857"
"06-Aug-2024","EQ","225.00","230.47","223.20","222.74","225.00","226.24","227.11","309.15","152.70","30,021","68,18,215.53","991"
"05-Aug-2024","EQ","219.00","234.39","219.00","236.07","222.51","222.74","225.79","309.15","152.70","40,009","90,33,725.92","1,756"
"02-Aug-2024","EQ","227.13","242.01","227.13","234.35","236.90","236.07","233.64","309.15","152.70","60,185","1,40,61,719.57","1,526"
"01-Aug-2024","EQ","248.49","248.49","233.00","243.76","234.26","234.35","238.37","309.15","152.70","58,520","1,39,49,560.56","2,104"
"31-Jul-2024","EQ","249.44","252.00","241.35","244.54","243.71","243.76","247.29","309.15","152.70","77,516","1,91,69,293.97","2,125"
"30-Jul-2024","EQ","244.99","255.00","243.71","243.60","245.20","244.54","247.25","309.15","152.70","51,425","1,27,14,611.59","2,139"
"29-Jul-2024","EQ","260.40","260.40","242.25","252.36","243.04","243.60","247.97","309.15","152.70","1,33,489","3,31,01,565.65","3,630"
