"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","47.89","48.00","45.05","47.09","45.68","45.39","46.25","65.75","33.00","89,424","41,35,616.72","1,249"
"23-Aug-2024","EQ","47.40","47.99","46.16","46.28","47.20","47.09","47.12","65.75","33.00","1,48,535","69,99,430.87","1,663"
"22-Aug-2024","EQ","43.99","47.85","43.57","43.79","47.85","46.28","45.50","65.75","33.00","2,10,586","95,80,959.75","1,842"
"21-Aug-2024","EQ","44.72","45.45","43.59","44.39","44.00","43.79","44.25","65.75","33.00","95,140","42,10,094.52","939"
"20-Aug-2024","EQ","44.10","45.50","44.00","44.05","44.48","44.39","44.42","65.75","33.00","36,119","16,04,269.52","566"
"19-Aug-2024","EQ","44.40","46.00","43.78","43.49","44.00","44.05","44.77","65.75","33.00","55,272","24,74,336.56","978"
"16-Aug-2024","EQ","42.70","44.44","42.70","42.49","44.20","43.49","43.66","65.75","33.00","44,111","19,26,062.08","558"
"14-Aug-2024","EQ","43.35","43.95","42.00","42.93","42.70","42.49","42.93","65.75","33.00","26,786","11,49,880.41","415"
"13-Aug-2024","EQ","45.35","45.35","42.50","44.64","43.35","42.93","43.74","65.75","33.00","34,215","14,96,727.61","572"
"12-Aug-2024","EQ","43.75","45.00","43.11","43.71","44.80","44.64","44.28","65.75","33.00","57,199","25,32,590.16","965"
"09-Aug-2024","EQ","44.42","44.88","43.02","44.03","43.25","43.71","44.19","65.75","33.00","31,949","14,11,758.17","431"
"08-Aug-2024","EQ","42.60","44.40","42.60","43.47","44.10","44.03","43.97","65.75","33.00","58,843","25,87,184.77","703"
"07-Aug-2024","EQ","43.19","43.94","42.26","42.72","43.10","43.47","43.33","65.75","33.00","56,602","24,52,336.33","819"
"06-Aug-2024","EQ","42.93","44.30","42.51","42.93","42.61","42.72","43.23","65.75","33.00","93,652","40,48,163.69","1,343"
"05-Aug-2024","EQ","44.35","45.52","42.35","45.99","43.07","42.93","43.60","65.75","33.00","1,58,705","69,19,906.75","2,023"
"02-Aug-2024","EQ","45.90","46.84","45.44","46.61","46.08","45.99","46.06","65.75","32.90","72,318","33,31,179.10","1,004"
"01-Aug-2024","EQ","48.10","48.24","46.30","47.63","46.50","46.61","46.87","65.75","32.90","1,07,059","50,17,795.56","943"
"31-Jul-2024","EQ","49.25","49.25","47.45","48.89","47.50","47.63","47.98","65.75","32.90","1,14,303","54,84,583.76","1,346"
"30-Jul-2024","EQ","46.75","49.90","46.75","46.83","48.20","48.89","48.21","65.75","32.90","2,91,036","1,40,30,188.21","1,815"
"29-Jul-2024","EQ","47.20","48.97","46.70","46.95","47.00","46.83","47.76","65.75","32.90","2,84,133","1,35,69,617.29","1,734"
