"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","7.29","7.65","7.20","7.29","7.65","7.65","7.58","8.19","3.95","37,82,646","2,86,85,096.06","2,674"
"23-Aug-2024","EQ","7.64","7.72","7.14","7.36","7.34","7.29","7.55","8.19","3.95","50,68,670","3,82,47,437.42","4,393"
"22-Aug-2024","EQ","7.15","7.36","7.10","7.01","7.36","7.36","7.26","8.19","3.95","29,92,577","2,17,21,959.84","2,022"
"21-Aug-2024","EQ","6.99","7.15","6.99","6.99","7.04","7.01","7.05","8.19","3.95","10,33,237","72,82,214.48","2,046"
"20-Aug-2024","EQ","6.96","7.00","6.75","6.81","7.00","6.99","6.92","8.19","3.95","13,59,000","94,00,645.90","2,029"
"19-Aug-2024","EQ","6.68","6.95","6.66","6.68","6.81","6.81","6.80","8.19","3.95","10,86,052","73,85,415.73","1,890"
"16-Aug-2024","EQ","7.00","7.00","6.50","6.84","6.69","6.68","6.74","8.19","3.95","12,45,831","83,94,804.90","2,098"
"14-Aug-2024","EQ","6.57","6.97","6.57","6.75","6.77","6.84","6.83","8.19","3.95","8,81,682","60,24,874.28","1,961"
"13-Aug-2024","EQ","7.08","7.18","6.70","7.03","6.74","6.75","6.90","8.19","3.95","17,50,439","1,20,82,209.48","2,198"
"12-Aug-2024","EQ","7.14","7.20","6.85","7.14","7.05","7.03","6.99","8.19","3.95","14,80,452","1,03,50,762.80","2,326"
"09-Aug-2024","EQ","7.46","7.48","7.06","7.31","7.20","7.14","7.20","8.19","3.95","14,14,591","1,01,90,942.04","2,029"
"08-Aug-2024","EQ","7.40","7.47","7.24","7.19","7.35","7.31","7.36","8.19","3.95","18,28,242","1,34,59,787.96","1,927"
"07-Aug-2024","EQ","7.01","7.25","6.93","6.93","7.24","7.19","7.12","8.19","3.95","13,30,873","94,79,386.67","1,955"
"06-Aug-2024","EQ","7.31","7.62","6.92","7.29","6.96","6.93","7.16","8.19","3.95","33,01,261","2,36,24,600.62","3,286"
"05-Aug-2024","EQ","7.40","7.41","7.29","7.68","7.29","7.29","7.31","8.19","3.95","25,20,118","1,84,31,862.33","2,493"
"02-Aug-2024","EQ","7.70","7.84","7.46","7.82","7.70","7.68","7.67","8.19","3.95","21,07,844","1,61,69,879.87","2,912"
"01-Aug-2024","EQ","7.88","8.03","7.51","7.66","7.80","7.82","7.84","8.19","3.95","42,85,699","3,35,89,375.15","5,147"
"31-Jul-2024","EQ","7.80","8.19","7.41","7.80","7.78","7.66","7.95","8.19","3.95","1,46,83,326","11,67,22,905.59","12,334"
"30-Jul-2024","EQ","7.80","7.80","7.70","7.43","7.80","7.80","7.80","7.80","3.95","26,72,558","2,08,41,793.71","1,513"
"29-Jul-2024","EQ","7.43","7.43","7.25","7.08","7.43","7.43","7.42","7.70","3.95","27,57,417","2,04,67,071.13","1,752"
