"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","23.68","23.68","22.60","23.28","22.70","22.77","22.90","32.60","17.60","1,42,958","32,74,326.52","875"
"23-Aug-2024","EQ","22.87","23.59","22.01","22.87","23.18","23.28","23.20","32.60","17.60","2,66,259","61,77,724.26","1,267"
"22-Aug-2024","EQ","23.65","23.97","22.61","23.65","22.76","22.87","23.10","32.60","17.60","2,08,398","48,13,192.81","1,118"
"21-Aug-2024","EQ","24.08","24.60","23.50","23.86","23.55","23.65","23.90","32.60","17.60","2,12,268","50,73,805.85","1,137"
"20-Aug-2024","EQ","23.44","24.09","23.20","23.44","23.94","23.86","23.91","32.60","17.60","6,85,495","1,63,91,147.32","2,823"
"19-Aug-2024","EQ","23.69","23.70","22.92","23.38","23.40","23.44","23.51","32.60","17.60","3,57,693","84,09,198.10","1,127"
"16-Aug-2024","EQ","23.10","24.48","22.80","22.34","23.40","23.38","23.66","32.60","17.60","36,05,844","8,53,01,152.21","6,133"
"14-Aug-2024","EQ","22.29","22.83","22.28","22.41","22.49","22.34","22.40","32.60","17.60","51,701","11,58,167.20","297"
"13-Aug-2024","EQ","23.40","23.40","22.26","23.14","22.50","22.41","22.63","32.60","17.60","1,06,518","24,10,429.53","757"
"12-Aug-2024","EQ","22.56","23.40","22.56","22.74","22.90","23.14","22.95","32.60","17.60","13,43,740","3,08,43,969.42","924"
"09-Aug-2024","EQ","23.60","23.69","22.68","23.15","22.85","22.74","23.03","32.60","17.60","1,19,807","27,59,493.85","1,123"
"08-Aug-2024","EQ","23.48","23.57","22.61","22.56","23.00","23.15","23.21","32.60","17.60","2,81,196","65,25,391.80","1,613"
"07-Aug-2024","EQ","23.20","23.22","22.50","21.92","22.53","22.56","22.70","32.60","17.60","2,48,680","56,46,096.30","880"
"06-Aug-2024","EQ","21.07","23.24","20.55","21.07","22.67","21.92","21.54","32.60","17.60","2,22,133","47,83,773.40","727"
"05-Aug-2024","EQ","21.25","21.57","20.81","21.66","21.06","21.07","21.08","32.60","17.60","1,03,330","21,78,411.46","652"
"02-Aug-2024","EQ","23.05","23.05","20.90","22.62","21.50","21.66","21.88","32.60","17.60","6,40,247","1,40,09,472.04","1,149"
"01-Aug-2024","EQ","23.15","23.30","22.50","22.84","22.60","22.62","22.78","32.60","17.60","44,137","10,05,507.10","278"
"31-Jul-2024","EQ","23.31","23.79","22.75","23.31","23.00","22.84","23.05","32.60","17.60","64,659","14,90,440.93","612"
"30-Jul-2024","EQ","23.00","23.35","21.50","22.58","23.35","23.31","23.14","32.60","17.60","2,64,928","61,29,987.24","871"
"29-Jul-2024","EQ","22.52","23.40","22.52","22.51","22.67","22.58","22.85","32.60","17.60","89,701","20,49,816.93","545"
