"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,096.65","1,130.00","1,086.65","1,083.20","1,098.00","1,095.95","1,103.11","1,251.90","570.15","44,839","4,94,62,198.20","5,949"
"23-Aug-2024","EQ","1,087.00","1,138.60","1,075.15","1,100.00","1,095.00","1,083.20","1,091.95","1,251.90","570.15","19,148","2,09,08,635.35","3,390"
"22-Aug-2024","EQ","1,105.45","1,113.95","1,079.80","1,097.20","1,100.00","1,100.00","1,098.46","1,251.90","570.15","48,903","5,37,18,096.30","5,379"
"21-Aug-2024","EQ","1,089.00","1,104.95","1,071.25","1,080.85","1,098.00","1,097.20","1,089.33","1,251.90","570.15","21,188","2,30,80,723.80","3,503"
"20-Aug-2024","EQ","1,091.10","1,097.50","1,074.00","1,091.10","1,081.25","1,080.85","1,084.37","1,251.90","570.15","17,209","1,86,60,969.20","2,887"
"19-Aug-2024","EQ","1,035.00","1,111.00","1,030.00","1,021.50","1,099.00","1,091.10","1,082.00","1,251.90","570.15","1,61,170","17,43,85,394.50","13,910"
"16-Aug-2024","EQ","985.00","1,050.00","985.00","980.60","1,006.75","1,021.50","1,025.02","1,251.90","570.15","36,481","3,73,93,804.40","6,282"
"14-Aug-2024","EQ","1,000.00","1,020.00","974.05","986.35","986.35","980.60","981.56","1,251.90","570.15","19,650","1,92,87,745.00","2,109"
"13-Aug-2024","EQ","1,025.00","1,025.25","976.65","1,017.80","987.90","986.35","1,000.28","1,251.90","570.15","22,972","2,29,78,524.75","4,527"
"12-Aug-2024","EQ","1,015.30","1,025.05","989.00","1,015.30","1,014.00","1,017.80","1,016.95","1,251.90","570.15","23,157","2,35,49,466.10","4,489"
"09-Aug-2024","EQ","1,030.75","1,039.00","992.90","1,020.95","1,015.00","1,015.30","1,011.35","1,251.90","570.15","24,714","2,49,94,509.00","4,022"
"08-Aug-2024","EQ","1,003.95","1,026.95","985.75","994.80","1,019.75","1,020.95","1,009.55","1,251.90","570.15","34,154","3,44,80,184.45","6,181"
"07-Aug-2024","EQ","1,006.00","1,028.00","985.00","1,002.15","995.00","994.80","995.09","1,251.90","570.15","46,748","4,65,18,451.95","4,214"
"06-Aug-2024","EQ","1,008.45","1,079.20","998.00","1,008.45","998.00","1,002.15","1,034.83","1,251.90","570.15","34,127","3,53,15,715.75","4,924"
"05-Aug-2024","EQ","1,044.70","1,044.70","999.20","1,051.80","1,005.05","1,008.45","1,012.59","1,251.90","570.15","30,848","3,12,36,332.15","5,550"
"02-Aug-2024","EQ","1,079.95","1,079.95","1,049.00","1,071.90","1,054.00","1,051.80","1,056.67","1,251.90","570.10","16,314","1,72,38,448.00","2,699"
"01-Aug-2024","EQ","1,085.10","1,091.15","1,061.00","1,082.70","1,074.90","1,071.90","1,075.30","1,251.90","570.10","29,182","3,13,79,414.55","3,249"
"31-Jul-2024","EQ","1,073.10","1,112.95","1,073.10","1,086.30","1,079.95","1,082.70","1,088.86","1,251.90","570.10","24,743","2,69,41,781.75","3,475"
"30-Jul-2024","EQ","1,120.00","1,120.00","1,078.55","1,092.90","1,086.00","1,086.30","1,088.43","1,251.90","570.10","37,325","4,06,25,720.10","4,581"
"29-Jul-2024","EQ","1,129.85","1,145.95","1,087.00","1,109.85","1,100.00","1,092.90","1,110.80","1,251.90","570.10","73,614","8,17,70,228.45","7,364"
