"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","29.35","29.74","29.12","29.18","29.25","29.25","29.26","29.74","16.56","7,03,236","2,05,76,509.81","2,368"
"23-Aug-2024","EQ","29.28","29.36","28.99","29.17","29.00","29.18","29.20","29.53","16.56","12,80,219","3,73,77,903.23","2,423"
"22-Aug-2024","EQ","29.28","29.29","29.00","29.03","29.05","29.17","29.14","29.53","16.56","6,97,520","2,03,24,553.28","1,972"
"21-Aug-2024","EQ","28.71","29.14","28.71","28.95","29.01","29.03","28.97","29.53","16.56","6,67,121","1,93,29,243.38","1,719"
"20-Aug-2024","EQ","28.88","28.99","28.51","28.67","28.86","28.95","28.88","29.53","16.56","5,73,609","1,65,65,904.59","1,557"
"19-Aug-2024","EQ","28.49","28.98","28.46","28.48","28.67","28.67","28.67","29.53","16.56","6,93,921","1,98,93,329.29","1,978"
"16-Aug-2024","EQ","27.90","28.59","27.81","27.98","28.49","28.48","28.46","29.53","16.56","34,19,800","9,73,44,584.01","1,522"
"14-Aug-2024","EQ","28.39","28.39","27.62","28.12","27.90","27.98","27.92","29.53","16.56","8,65,694","2,41,73,633.74","2,402"
"13-Aug-2024","EQ","28.49","28.65","28.00","28.37","28.46","28.12","28.18","29.53","16.56","6,29,619","1,77,43,915.41","1,905"
"12-Aug-2024","EQ","28.44","28.78","27.61","28.44","28.36","28.37","28.34","29.53","16.56","8,36,629","2,37,07,462.38","2,124"
"09-Aug-2024","EQ","28.30","29.52","28.21","28.08","28.37","28.44","28.48","29.53","16.56","7,72,516","2,20,00,931.34","1,778"
"08-Aug-2024","EQ","28.08","28.35","27.93","28.09","28.17","28.08","28.13","29.53","16.56","9,57,253","2,69,30,872.53","1,921"
"07-Aug-2024","EQ","27.59","28.19","27.36","27.16","28.10","28.09","27.94","29.53","16.56","8,51,678","2,37,94,171.79","1,523"
"06-Aug-2024","EQ","27.93","28.30","27.09","27.47","27.40","27.16","27.47","29.53","16.56","37,83,919","10,39,55,296.02","2,865"
"05-Aug-2024","EQ","28.11","28.11","27.02","28.45","27.60","27.47","27.49","29.53","16.56","33,64,770","9,25,01,091.34","7,350"
"02-Aug-2024","EQ","28.94","28.94","28.30","28.94","28.60","28.45","28.56","29.53","16.56","26,64,963","7,61,19,284.83","3,966"
"01-Aug-2024","EQ","29.38","29.53","28.80","29.23","29.00","28.94","29.09","29.53","16.56","16,97,549","4,93,80,430.35","3,671"
"31-Jul-2024","EQ","29.14","29.39","29.00","29.01","29.29","29.23","29.17","29.39","16.56","28,11,508","8,20,16,747.06","2,703"
"30-Jul-2024","EQ","29.01","29.25","28.87","28.97","29.09","29.01","29.01","29.25","16.56","21,23,818","6,16,14,942.20","2,420"
"29-Jul-2024","EQ","28.66","29.00","28.35","28.26","28.91","28.97","28.84","29.24","16.56","29,40,995","8,48,04,415.79","2,938"
