"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,294.45","1,312.20","1,271.00","1,294.40","1,310.00","1,310.10","1,294.49","1,469.00","1,004.45","87,742","11,35,81,051.95","10,009"
"23-Aug-2024","EQ","1,321.25","1,325.85","1,291.00","1,321.25","1,295.50","1,294.40","1,305.93","1,469.00","1,004.45","90,449","11,81,19,657.30","9,845"
"22-Aug-2024","EQ","1,332.00","1,345.00","1,300.00","1,317.55","1,320.00","1,321.25","1,326.88","1,469.00","1,004.45","79,796","10,58,79,376.45","9,244"
"21-Aug-2024","EQ","1,292.00","1,325.25","1,292.00","1,295.50","1,312.30","1,317.55","1,301.90","1,469.00","1,004.45","3,47,401","45,22,81,102.40","9,528"
"20-Aug-2024","EQ","1,286.00","1,299.80","1,268.25","1,277.35","1,290.10","1,295.50","1,287.42","1,469.00","1,004.45","74,898","9,64,24,959.45","9,218"
"19-Aug-2024","EQ","1,270.00","1,290.00","1,259.55","1,258.05","1,272.55","1,277.35","1,275.63","1,469.00","1,004.45","1,77,703","22,66,82,599.35","14,355"
"16-Aug-2024","EQ","1,232.00","1,265.50","1,216.00","1,220.35","1,262.00","1,258.05","1,240.32","1,469.00","1,004.45","1,20,333","14,92,51,733.25","13,498"
"14-Aug-2024","EQ","1,239.85","1,245.95","1,215.00","1,233.20","1,225.00","1,220.35","1,230.99","1,469.00","1,004.45","95,347","11,73,71,163.70","10,501"
"13-Aug-2024","EQ","1,232.00","1,322.35","1,225.00","1,281.80","1,233.00","1,233.20","1,266.78","1,469.00","1,004.45","4,15,000","52,57,11,805.50","34,921"
"12-Aug-2024","EQ","1,290.00","1,304.20","1,255.00","1,290.85","1,284.90","1,281.80","1,279.52","1,469.00","1,004.45","99,278","12,70,28,385.70","12,556"
"09-Aug-2024","EQ","1,285.00","1,300.00","1,275.05","1,274.85","1,293.00","1,290.85","1,288.53","1,469.00","1,004.45","58,391","7,52,38,266.95","8,037"
"08-Aug-2024","EQ","1,310.00","1,310.00","1,266.50","1,297.35","1,274.00","1,274.85","1,280.83","1,469.00","1,004.45","74,118","9,49,32,527.40","10,328"
"07-Aug-2024","EQ","1,330.00","1,340.00","1,290.00","1,299.90","1,299.00","1,297.35","1,305.70","1,469.00","1,004.45","85,091","11,11,03,056.40","10,634"
"06-Aug-2024","EQ","1,251.75","1,320.00","1,251.75","1,257.60","1,302.55","1,299.90","1,300.70","1,469.00","1,004.45","1,87,858","24,43,46,753.20","20,343"
"05-Aug-2024","EQ","1,220.20","1,310.60","1,220.20","1,333.15","1,268.80","1,257.60","1,273.33","1,469.00","1,004.45","2,32,385","29,59,01,867.20","25,282"
"02-Aug-2024","EQ","1,340.00","1,365.90","1,320.00","1,350.15","1,338.90","1,333.15","1,345.01","1,469.00","1,004.45","1,74,984","23,53,55,225.80","15,794"
"01-Aug-2024","EQ","1,347.95","1,365.00","1,340.00","1,337.95","1,350.00","1,350.15","1,351.51","1,469.00","1,004.45","1,95,159","26,37,60,286.90","13,069"
"31-Jul-2024","EQ","1,350.00","1,350.00","1,326.80","1,337.85","1,336.30","1,337.95","1,336.20","1,469.00","1,004.45","1,60,628","21,46,31,743.65","17,764"
"30-Jul-2024","EQ","1,379.00","1,379.00","1,335.00","1,359.25","1,338.00","1,337.85","1,347.30","1,469.00","1,004.45","2,04,686","27,57,74,297.40","21,081"
"29-Jul-2024","EQ","1,380.00","1,380.00","1,338.00","1,315.20","1,363.70","1,359.25","1,355.36","1,469.00","1,004.45","1,47,752","20,02,57,209.40","17,166"
