"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","4.22","4.22","4.22","4.45","4.22","4.22","4.22","5.60","3.45","5,730","24,180.60","45"
"19-Aug-2024","BE","4.45","4.45","4.45","4.69","4.45","4.45","4.45","5.60","3.45","8,064","35,884.80","41"
"12-Aug-2024","BE","4.69","4.69","4.69","4.94","4.69","4.69","4.69","5.60","3.45","11,402","53,475.38","19"
"08-Aug-2024","BE","5.39","5.39","4.94","5.21","4.94","4.94","5.04","5.60","3.45","1,71,128","8,61,691.33","306"
"07-Aug-2024","BE","5.20","5.21","5.00","4.97","5.21","5.21","5.20","5.60","3.45","2,60,181","13,54,021.05","267"
"06-Aug-2024","BE","4.85","4.97","4.85","4.74","4.97","4.97","4.96","5.60","3.45","2,01,076","9,97,393.15","245"
"05-Aug-2024","BE","4.74","4.74","4.30","4.52","4.74","4.74","4.73","5.60","3.45","4,90,299","23,20,443.09","497"
"02-Aug-2024","BE","4.31","4.52","4.16","4.31","4.52","4.52","4.45","5.60","3.45","2,80,555","12,49,165.85","258"
"01-Aug-2024","BE","4.15","4.35","4.09","4.15","4.35","4.31","4.32","5.60","3.45","5,76,757","24,89,848.78","297"
"31-Jul-2024","BE","4.17","4.24","4.06","4.17","4.12","4.15","4.15","5.60","3.45","57,692","2,39,241.15","151"
"30-Jul-2024","BE","4.03","4.24","4.03","4.15","4.18","4.17","4.10","5.60","3.45","85,256","3,49,184.28","151"
"29-Jul-2024","BE","4.07","4.30","4.07","4.19","4.18","4.15","4.17","5.60","3.45","79,003","3,29,323.34","170"
