"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","36.62","36.62","36.62","37.37","36.62","36.62","36.62","68.00","30.00","18,720","6,85,526.40","133"
"23-Aug-2024","BE","38.40","38.40","37.00","36.94","37.60","37.37","37.82","68.00","30.00","2,54,360","96,20,263.56","1,271"
"22-Aug-2024","BE","36.65","36.94","35.30","35.19","36.94","36.94","36.78","68.00","30.00","3,01,459","1,10,86,860.61","962"
"21-Aug-2024","BE","33.50","35.38","33.30","33.70","35.00","35.19","34.75","68.00","30.00","2,88,314","1,00,20,198.65","1,214"
"20-Aug-2024","BE","32.11","33.70","32.11","32.10","33.70","33.70","33.66","68.00","30.00","1,64,646","55,42,390.92","431"
"19-Aug-2024","BE","31.15","32.32","30.10","30.79","32.32","32.10","31.48","68.00","30.00","1,05,272","33,14,348.78","522"
"16-Aug-2024","BE","30.89","31.04","30.61","30.58","30.82","30.79","30.77","68.00","30.00","49,037","15,08,964.10","338"
"14-Aug-2024","BE","31.11","31.45","30.15","31.04","30.50","30.58","30.46","68.00","30.00","89,815","27,36,157.60","545"
"13-Aug-2024","BE","32.30","32.30","30.95","31.73","31.05","31.04","31.36","68.00","30.00","82,941","26,01,057.21","666"
"12-Aug-2024","BE","32.00","32.30","31.45","32.37","31.90","31.73","31.76","68.00","30.00","81,915","26,01,300.05","609"
"09-Aug-2024","BE","32.64","32.70","32.00","32.21","32.50","32.37","32.27","68.00","30.00","63,049","20,34,707.33","332"
"08-Aug-2024","BE","32.85","32.85","32.02","32.30","32.38","32.21","32.27","68.00","30.00","40,778","13,15,928.14","394"
"07-Aug-2024","BE","32.15","32.70","31.85","32.15","32.39","32.30","32.22","68.00","30.00","54,680","17,61,843.98","521"
"06-Aug-2024","BE","32.94","32.94","32.05","32.14","32.10","32.15","32.30","68.00","30.00","61,540","19,87,655.69","406"
"05-Aug-2024","BE","32.25","32.93","32.00","33.01","32.35","32.14","32.25","68.00","30.00","84,959","27,40,098.03","714"
"02-Aug-2024","BE","33.12","33.32","31.50","33.12","33.12","33.01","32.64","68.00","30.00","64,002","20,89,238.62","471"
"01-Aug-2024","BE","34.00","34.00","32.90","33.73","33.26","33.12","33.28","68.00","30.00","1,17,196","39,00,794.01","703"
"31-Jul-2024","BE","34.00","34.19","33.50","33.65","33.80","33.73","33.91","68.00","30.00","1,50,496","51,03,960.05","552"
"30-Jul-2024","BE","34.14","34.14","33.50","33.50","33.66","33.65","33.72","68.00","30.00","75,937","25,60,637.51","486"
"29-Jul-2024","BE","34.34","34.34","33.00","33.50","33.50","33.50","33.57","68.00","30.00","1,08,388","36,38,106.29","598"
