"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","782.30","788.90","772.00","781.35","773.00","776.10","779.78","1,106.30","720.40","1,20,282","9,37,93,931.95","5,108"
"23-Aug-2024","EQ","795.00","800.45","775.05","800.70","777.15","781.35","785.27","1,106.30","720.40","1,29,511","10,17,01,467.55","8,176"
"22-Aug-2024","EQ","807.65","809.40","791.95","807.40","797.50","800.70","800.54","1,106.30","720.40","1,56,594","12,53,59,100.15","7,438"
"21-Aug-2024","EQ","805.00","808.85","801.00","805.30","807.05","807.40","805.07","1,106.30","720.40","61,518","4,95,26,445.55","2,761"
"20-Aug-2024","EQ","802.50","808.25","800.25","802.50","803.00","805.30","803.45","1,106.30","720.40","76,801","6,17,05,808.70","3,871"
"19-Aug-2024","EQ","809.95","809.95","799.75","804.55","801.00","802.50","802.29","1,106.30","720.40","80,991","6,49,78,488.45","4,702"
"16-Aug-2024","EQ","783.50","808.00","780.15","787.30","803.00","804.55","796.44","1,106.30","720.40","1,78,541","14,21,97,770.25","10,356"
"14-Aug-2024","EQ","758.05","796.00","733.35","774.85","781.15","787.30","768.71","1,106.30","720.40","3,72,894","28,66,49,201.00","19,517"
"13-Aug-2024","EQ","776.00","780.50","763.00","772.40","772.05","774.85","770.76","1,106.30","720.40","1,37,767","10,61,85,586.50","9,139"
"12-Aug-2024","EQ","772.25","777.95","770.25","779.45","770.25","772.40","773.63","1,106.30","720.40","58,367","4,51,54,710.10","3,522"
"09-Aug-2024","EQ","784.90","784.90","770.80","779.15","780.00","779.45","777.31","1,106.30","720.40","1,09,111","8,48,13,185.70","6,980"
"08-Aug-2024","EQ","781.80","784.40","775.60","781.75","775.60","779.15","780.85","1,106.30","720.40","70,930","5,53,85,477.95","4,148"
"07-Aug-2024","EQ","784.00","784.00","776.40","779.80","782.70","781.75","780.53","1,106.30","720.40","60,724","4,73,97,180.75","3,461"
"06-Aug-2024","EQ","780.15","785.00","775.75","780.15","778.00","779.80","780.50","1,106.30","720.40","1,11,255","8,68,34,828.90","6,925"
"05-Aug-2024","EQ","778.05","784.70","760.05","789.10","782.90","780.15","773.44","1,106.30","720.40","2,25,735","17,45,91,634.45","11,526"
"02-Aug-2024","EQ","790.00","794.40","784.30","795.80","785.80","789.10","788.49","1,106.30","720.40","2,12,391","16,74,68,821.00","9,629"
"01-Aug-2024","EQ","786.40","819.90","786.40","783.95","796.00","795.80","804.20","1,106.30","720.40","11,76,382","94,60,49,487.25","34,743"
"31-Jul-2024","EQ","780.50","787.45","779.30","782.50","783.00","783.95","781.69","1,106.30","720.40","4,95,911","38,76,46,292.60","14,198"
"30-Jul-2024","EQ","781.45","788.00","779.50","781.40","782.00","782.50","781.99","1,106.30","720.40","3,33,386","26,07,05,231.60","17,366"
"29-Jul-2024","EQ","780.05","788.60","778.00","782.90","781.90","781.40","781.64","1,106.30","720.40","3,77,892","29,53,76,688.95","9,962"
