"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","192.31","195.30","189.80","192.31","189.80","190.32","191.16","231.95","154.30","10,714","20,48,080.23","694"
"23-Aug-2024","EQ","190.70","196.00","189.79","189.74","191.00","192.31","193.11","231.95","154.30","21,578","41,66,930.14","1,636"
"22-Aug-2024","EQ","190.90","193.18","188.80","189.88","190.01","189.74","190.35","231.95","154.30","19,756","37,60,531.96","1,378"
"21-Aug-2024","EQ","187.93","191.89","186.77","187.89","189.10","189.88","189.55","231.95","154.30","24,162","45,79,832.38","756"
"20-Aug-2024","EQ","185.25","189.00","184.36","184.57","189.00","187.89","186.28","231.95","154.30","21,862","40,72,527.32","644"
"19-Aug-2024","EQ","185.80","186.80","183.00","185.62","185.00","184.57","185.10","231.95","154.30","9,760","18,06,569.00","508"
"16-Aug-2024","EQ","184.00","185.90","182.50","183.05","185.80","185.62","184.59","231.95","154.30","12,009","22,16,709.97","750"
"14-Aug-2024","EQ","183.00","190.00","179.92","182.47","185.20","183.05","184.52","231.95","154.30","18,353","33,86,579.74","872"
"13-Aug-2024","EQ","186.20","188.10","180.80","186.13","180.80","182.47","184.67","231.95","154.30","7,782","14,37,087.93","436"
"12-Aug-2024","EQ","186.41","189.30","185.40","186.41","186.65","186.13","186.97","231.95","154.30","8,666","16,20,260.60","695"
"09-Aug-2024","EQ","190.24","190.79","185.50","189.32","185.50","186.41","187.51","231.95","154.30","14,364","26,93,457.99","1,067"
"08-Aug-2024","EQ","188.00","192.17","188.00","192.21","188.57","189.32","189.53","231.95","154.30","19,204","36,39,689.55","729"
"07-Aug-2024","EQ","189.54","194.24","186.51","188.75","193.60","192.21","191.05","231.95","154.30","12,307","23,51,274.48","855"
"06-Aug-2024","EQ","191.10","195.69","188.00","190.06","192.00","188.75","191.77","231.95","154.30","23,767","45,57,708.72","1,464"
"05-Aug-2024","EQ","193.50","193.50","187.00","193.62","188.65","190.06","189.94","231.95","154.30","19,005","36,09,849.10","1,239"
"02-Aug-2024","EQ","193.00","198.79","192.90","199.41","196.00","193.62","195.58","231.95","154.30","26,933","52,67,439.25","2,044"
"01-Aug-2024","EQ","204.90","205.07","199.00","203.79","199.00","199.41","201.36","231.95","154.30","17,471","35,17,975.97","1,443"
"31-Jul-2024","EQ","199.70","204.59","198.16","198.68","203.43","203.79","203.24","231.95","154.30","38,531","78,31,150.59","3,212"
"30-Jul-2024","EQ","204.38","208.41","196.25","201.13","198.01","198.68","203.42","231.95","154.30","40,638","82,66,496.49","2,397"
"29-Jul-2024","EQ","202.85","202.85","198.72","198.07","201.00","201.13","201.08","231.95","154.30","14,361","28,87,676.16","585"
