"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","132.02","140.00","132.02","138.26","134.00","136.07","135.64","153.00","76.15","26,173","35,50,087.68","220"
"23-Aug-2024","BE","140.62","140.62","135.00","140.62","135.50","138.26","136.85","153.00","76.15","20,958","28,68,067.66","260"
"22-Aug-2024","BE","145.00","146.00","139.00","143.71","140.01","140.62","141.68","153.00","76.15","32,478","46,01,638.09","239"
"21-Aug-2024","EQ","147.69","151.60","141.71","144.54","144.90","143.71","146.61","153.00","76.15","93,728","1,37,41,348.43","1,472"
"20-Aug-2024","EQ","145.89","153.00","142.55","142.61","144.25","144.54","148.43","153.00","76.15","1,46,632","2,17,65,113.76","2,661"
"19-Aug-2024","EQ","140.03","148.89","138.45","140.03","142.00","142.61","144.16","150.95","76.15","1,16,746","1,68,30,006.64","1,957"
"16-Aug-2024","EQ","130.36","142.00","129.60","129.61","139.00","140.03","136.66","150.95","76.15","1,75,105","2,39,30,369.23","2,795"
"14-Aug-2024","EQ","136.00","138.05","128.20","135.99","129.99","129.61","132.23","150.95","76.15","82,952","1,09,68,412.21","2,104"
"13-Aug-2024","EQ","138.80","144.00","121.70","140.36","136.20","135.99","134.78","150.95","76.15","3,43,956","4,63,58,794.19","4,561"
"12-Aug-2024","EQ","140.99","145.00","135.40","139.82","139.90","140.36","140.98","150.95","76.15","1,37,985","1,94,53,687.35","2,330"
"09-Aug-2024","EQ","142.50","148.38","136.42","139.28","138.00","139.82","143.67","150.95","76.15","4,28,172","6,15,17,544.21","5,249"
"08-Aug-2024","EQ","136.50","150.95","133.53","136.73","139.49","139.28","144.68","150.95","76.15","4,97,662","7,20,00,469.71","7,911"
"07-Aug-2024","EQ","141.60","147.00","128.03","140.67","134.70","136.73","137.72","148.40","76.15","7,46,452","10,27,98,724.50","12,179"
"06-Aug-2024","EQ","118.99","145.69","114.32","121.41","139.10","140.67","132.22","148.40","76.15","13,68,718","18,09,68,938.68","15,364"
"05-Aug-2024","EQ","105.00","121.78","102.60","101.49","121.49","121.41","116.23","148.40","76.15","14,78,752","17,18,81,055.28","15,886"
"02-Aug-2024","BE","100.60","103.00","99.00","101.89","101.70","101.49","101.47","148.40","76.15","34,263","34,76,702.24","132"
"01-Aug-2024","BE","103.99","103.99","101.00","103.39","102.00","101.89","102.69","148.40","76.15","25,360","26,04,179.70","169"
"31-Jul-2024","BE","103.50","106.00","102.00","103.34","103.99","103.39","103.42","148.40","76.15","39,609","40,96,489.52","201"
"30-Jul-2024","BE","101.85","103.34","100.00","98.42","103.34","103.34","102.91","148.40","76.15","55,041","56,63,996.75","284"
"29-Jul-2024","BE","95.30","98.89","94.75","95.30","98.80","98.42","97.42","148.40","76.15","15,883","15,47,259.20","146"
