"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","55.00","55.42","53.20","52.79","55.42","55.18","54.36","79.80","36.60","10,798","5,86,961.18","110"
"23-Aug-2024","BE","54.40","55.85","52.71","54.40","53.96","52.79","53.21","79.80","36.60","4,928","2,62,201.62","80"
"22-Aug-2024","BE","52.90","55.89","52.86","53.99","54.50","54.40","54.31","79.80","36.60","6,796","3,69,083.51","73"
"21-Aug-2024","BE","55.00","57.00","52.60","55.37","54.00","53.99","53.71","79.80","36.60","9,285","4,98,665.39","120"
"20-Aug-2024","BE","51.80","56.39","51.80","53.71","56.39","55.37","53.68","79.80","36.60","13,821","7,41,852.21","131"
"19-Aug-2024","BE","51.71","56.99","51.71","54.43","55.89","53.71","53.84","79.80","36.60","7,333","3,94,772.28","89"
"16-Aug-2024","BE","58.01","59.48","54.43","57.30","54.43","54.43","55.47","79.80","36.60","17,203","9,54,208.50","178"
"14-Aug-2024","BE","57.30","58.63","57.30","60.32","57.30","57.30","57.40","79.80","36.60","7,712","4,42,676.31","142"
"13-Aug-2024","BE","65.90","65.90","60.32","63.50","60.32","60.32","60.58","79.80","36.60","5,962","3,61,203.56","103"
"12-Aug-2024","EQ","65.30","67.96","63.50","70.56","63.50","63.50","63.70","79.80","36.60","58,702","37,39,162.71","465"
"09-Aug-2024","EQ","79.00","79.80","70.56","78.40","70.56","70.56","73.59","79.80","36.60","1,02,075","75,11,533.85","976"
"08-Aug-2024","EQ","74.00","78.40","73.00","65.34","78.40","78.40","77.27","78.40","36.60","9,51,509","7,35,21,620.32","6,305"
"07-Aug-2024","EQ","60.45","65.34","60.45","54.45","65.34","65.34","64.78","65.34","36.60","61,177","39,63,131.93","262"
"06-Aug-2024","EQ","49.59","54.99","49.59","53.18","54.78","54.45","53.59","57.78","36.60","60,375","32,35,576.28","3,490"
"05-Aug-2024","EQ","54.84","54.86","51.04","54.84","53.28","53.18","53.08","57.78","36.60","45,051","23,91,272.07","2,293"
"02-Aug-2024","EQ","52.90","55.50","52.00","53.52","54.50","54.84","53.96","57.78","36.60","24,546","13,24,451.56","783"
"01-Aug-2024","EQ","53.00","57.78","53.00","52.81","54.30","53.52","55.26","57.78","36.60","80,297","44,37,498.04","2,287"
"31-Jul-2024","EQ","49.89","53.95","49.88","51.00","53.79","52.81","51.98","55.65","36.60","32,084","16,67,850.14","784"
"30-Jul-2024","EQ","50.10","52.60","49.11","50.30","50.90","51.00","51.06","55.65","36.60","19,898","10,15,978.71","820"
"29-Jul-2024","EQ","50.89","50.90","48.32","50.87","50.10","50.30","49.63","55.65","36.60","10,031","4,97,799.16","429"
