"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","307.55","313.60","303.00","303.00","305.20","304.75","308.36","342.70","158.05","1,80,500","5,56,59,800.05","6,558"
"23-Aug-2024","EQ","311.80","312.00","301.00","309.80","304.00","303.00","305.43","342.70","158.05","1,57,861","4,82,15,380.45","6,359"
"22-Aug-2024","EQ","312.80","323.00","307.15","316.00","310.10","309.80","314.45","342.70","158.05","5,14,262","16,17,10,381.85","20,306"
"21-Aug-2024","EQ","274.05","326.00","273.25","273.70","313.80","316.00","310.11","342.70","158.05","14,65,146","45,43,54,376.70","37,698"
"20-Aug-2024","EQ","275.00","275.50","271.10","273.80","275.00","273.70","273.48","342.70","158.05","49,993","1,36,71,873.25","2,651"
"19-Aug-2024","EQ","274.85","279.05","272.05","272.25","273.35","273.80","275.17","342.70","158.05","66,464","1,82,89,053.35","3,688"
"16-Aug-2024","EQ","279.90","282.20","271.00","278.15","273.60","272.25","274.86","342.70","158.05","91,688","2,52,01,630.90","4,903"
"14-Aug-2024","EQ","293.00","295.00","276.15","283.65","276.50","278.15","285.93","342.70","158.05","2,28,217","6,52,54,309.80","9,833"
"13-Aug-2024","EQ","283.80","294.80","278.20","283.10","287.90","283.65","287.86","342.70","158.05","2,03,602","5,86,09,581.40","8,065"
"12-Aug-2024","EQ","271.50","289.15","268.55","275.30","282.40","283.10","280.71","342.70","158.05","1,88,128","5,28,09,354.40","8,758"
"09-Aug-2024","EQ","276.00","280.20","273.00","271.85","275.80","275.30","276.67","342.70","158.05","54,181","1,49,89,993.65","3,141"
"08-Aug-2024","EQ","277.60","277.60","267.10","276.20","272.00","271.85","271.70","342.70","158.05","1,09,977","2,98,80,383.75","5,414"
"07-Aug-2024","EQ","272.40","278.00","264.60","264.60","275.00","276.20","271.23","342.70","158.05","80,932","2,19,51,587.00","4,570"
"06-Aug-2024","EQ","271.95","280.00","262.80","269.25","264.50","264.60","272.61","342.70","158.05","1,07,282","2,92,46,364.55","5,022"
"05-Aug-2024","EQ","288.00","288.90","267.25","297.50","268.50","269.25","276.00","342.70","158.05","2,43,934","6,73,26,328.50","9,910"
"02-Aug-2024","EQ","289.35","304.60","288.15","293.75","298.00","297.50","299.04","342.70","158.05","1,99,591","5,96,86,110.25","7,566"
"01-Aug-2024","EQ","301.40","307.95","291.35","300.10","293.90","293.75","298.77","342.70","158.05","1,88,732","5,63,86,757.45","8,342"
"31-Jul-2024","EQ","293.90","308.00","290.05","292.55","299.00","300.10","301.87","342.70","158.05","5,70,275","17,21,50,548.30","20,141"
"30-Jul-2024","EQ","277.80","297.80","275.70","276.85","293.00","292.55","291.09","342.70","158.05","3,83,915","11,17,53,298.55","13,833"
"29-Jul-2024","EQ","284.00","286.90","275.95","284.30","277.00","276.85","281.32","342.70","158.05","62,454","1,75,69,426.80","3,880"
