"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,695.00","1,720.00","1,624.90","1,685.75","1,705.00","1,700.90","1,682.20","2,680.00","1,604.15","1,81,931","30,60,44,913.60","19,047"
"23-Aug-2024","EQ","1,674.65","1,705.00","1,636.60","1,670.10","1,668.20","1,685.75","1,673.35","2,680.00","1,604.15","96,135","16,08,67,489.90","7,811"
"22-Aug-2024","EQ","1,630.50","1,767.00","1,612.00","1,613.45","1,669.90","1,670.10","1,678.76","2,680.00","1,604.15","2,38,819","40,09,19,523.60","21,763"
"21-Aug-2024","EQ","1,632.55","1,632.55","1,604.15","1,616.40","1,621.80","1,613.45","1,615.75","2,680.00","1,604.15","72,146","11,65,69,630.20","5,667"
"20-Aug-2024","EQ","1,637.45","1,653.95","1,605.25","1,632.50","1,615.00","1,616.40","1,626.90","2,680.00","1,605.25","74,725","12,15,70,124.80","5,795"
"19-Aug-2024","EQ","1,703.95","1,708.80","1,627.15","1,692.75","1,635.00","1,632.50","1,645.29","2,680.00","1,627.15","99,241","16,32,80,633.45","8,558"
"16-Aug-2024","EQ","1,700.05","1,710.00","1,633.15","1,798.40","1,700.80","1,692.75","1,679.75","2,680.00","1,633.15","1,24,001","20,82,90,902.65","12,787"
"14-Aug-2024","EQ","1,770.00","1,809.95","1,745.00","1,750.25","1,800.00","1,798.40","1,792.68","2,680.00","1,674.80","39,799","7,13,46,827.00","4,499"
"13-Aug-2024","EQ","1,758.50","1,786.00","1,741.35","1,741.15","1,750.00","1,750.25","1,762.77","2,680.00","1,674.80","28,129","4,95,85,095.65","3,947"
"12-Aug-2024","EQ","1,760.00","1,776.90","1,732.00","1,756.35","1,745.00","1,741.15","1,751.16","2,680.00","1,674.80","18,408","3,22,35,430.30","3,301"
"09-Aug-2024","EQ","1,730.10","1,780.00","1,730.05","1,713.05","1,744.00","1,756.35","1,758.87","2,680.00","1,674.80","18,788","3,30,45,694.00","3,338"
"08-Aug-2024","EQ","1,750.00","1,760.00","1,704.65","1,741.40","1,712.00","1,713.05","1,721.41","2,680.00","1,674.80","26,458","4,55,45,099.15","5,034"
"07-Aug-2024","EQ","1,768.15","1,800.00","1,735.10","1,767.40","1,743.00","1,741.40","1,758.37","2,680.00","1,674.80","31,442","5,52,86,525.20","5,200"
"06-Aug-2024","EQ","1,790.25","1,813.95","1,754.15","1,790.25","1,766.00","1,767.40","1,774.21","2,680.00","1,674.80","32,429","5,75,35,966.40","5,741"
"05-Aug-2024","EQ","1,830.05","1,830.05","1,761.30","1,861.05","1,788.10","1,790.25","1,789.07","2,680.00","1,674.80","61,925","11,07,88,153.70","11,690"
"02-Aug-2024","EQ","1,780.00","1,890.05","1,770.25","1,779.70","1,879.00","1,861.05","1,847.74","2,680.00","1,674.80","65,532","12,10,86,251.50","10,227"
"01-Aug-2024","EQ","1,674.90","1,849.95","1,674.80","1,874.05","1,773.00","1,779.70","1,782.33","2,680.00","1,674.80","1,51,436","26,99,08,574.25","21,539"
"31-Jul-2024","EQ","1,929.70","1,955.00","1,871.00","1,910.60","1,879.00","1,874.05","1,912.26","2,680.00","1,696.60","41,293","7,89,62,820.80","6,470"
"30-Jul-2024","EQ","1,904.15","1,923.20","1,902.00","1,904.15","1,913.85","1,910.60","1,910.50","2,680.00","1,696.60","14,027","2,67,98,617.05","2,355"
"29-Jul-2024","EQ","1,900.00","1,925.00","1,898.10","1,900.95","1,907.00","1,904.15","1,911.02","2,680.00","1,696.60","20,365","3,89,17,866.95","2,775"
