"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","900.05","937.00","891.40","893.95","901.90","899.15","918.80","1,027.00","335.05","2,06,693","18,99,09,333.55","11,944"
"23-Aug-2024","EQ","839.00","916.90","831.00","833.55","894.00","893.95","888.87","1,027.00","335.05","3,97,682","35,34,89,235.55","13,212"
"22-Aug-2024","EQ","839.55","850.00","820.00","833.05","835.90","833.55","834.08","1,027.00","335.05","84,560","7,05,29,829.25","6,052"
"21-Aug-2024","EQ","819.95","854.00","812.00","817.30","831.00","833.05","835.47","1,027.00","335.05","1,08,360","9,05,31,001.35","6,288"
"20-Aug-2024","EQ","839.00","839.00","803.10","832.20","819.65","817.30","815.18","1,027.00","335.05","84,174","6,86,16,951.15","5,429"
"19-Aug-2024","EQ","833.95","859.20","819.30","827.95","829.00","832.20","835.44","1,027.00","335.05","83,985","7,01,64,214.60","5,566"
"16-Aug-2024","EQ","854.95","878.00","812.35","841.70","826.95","827.95","838.55","1,027.00","335.05","1,10,543","9,26,95,556.95","7,060"
"14-Aug-2024","EQ","882.00","886.00","827.45","878.55","842.95","841.70","842.78","1,027.00","335.05","1,60,558","13,53,15,631.95","8,067"
"13-Aug-2024","EQ","922.45","926.20","861.20","908.00","866.00","878.55","882.01","1,027.00","335.05","1,76,095","15,53,17,853.30","9,904"
"12-Aug-2024","EQ","853.00","938.00","852.05","854.95","913.70","908.00","902.15","1,027.00","335.05","3,47,827","31,37,91,773.50","14,931"
"09-Aug-2024","EQ","840.00","891.20","837.00","810.20","857.45","854.95","877.75","1,027.00","335.05","6,30,431","55,33,62,750.35","14,395"
"08-Aug-2024","EQ","839.00","884.80","802.35","832.85","812.90","810.20","850.43","1,027.00","335.05","4,08,861","34,77,08,576.30","14,274"
"07-Aug-2024","EQ","848.00","850.10","793.60","849.00","839.80","832.85","823.84","1,027.00","335.05","4,95,433","40,81,58,433.40","18,309"
"06-Aug-2024","EQ","995.00","1,027.00","849.00","943.30","849.00","849.00","922.56","1,027.00","335.05","20,08,823","1,85,32,63,805.45","53,523"
"05-Aug-2024","EQ","850.00","943.30","835.05","786.10","943.30","943.30","918.00","943.30","335.05","18,23,114","1,67,36,10,356.60","34,784"
"02-Aug-2024","EQ","728.00","795.00","719.30","733.70","787.00","786.10","770.22","795.00","335.05","2,89,254","22,27,88,636.25","20,086"
"01-Aug-2024","EQ","746.75","773.25","729.05","743.10","737.90","733.70","750.79","793.00","335.05","1,39,594","10,48,05,330.60","12,427"
"31-Jul-2024","EQ","727.05","793.00","727.05","717.20","741.75","743.10","754.89","793.00","335.05","7,04,766","53,20,21,405.10","42,889"
"30-Jul-2024","EQ","666.10","733.00","647.30","666.05","725.00","717.20","703.93","733.00","335.05","3,30,059","23,23,39,169.95","27,909"
"29-Jul-2024","EQ","652.00","681.20","638.30","646.00","670.05","666.05","665.90","698.00","335.05","1,46,772","9,77,35,451.25","13,821"
