"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","19.26","20.20","18.60","19.26","19.99","19.87","19.68","26.75","17.25","26,181","5,15,310.45","69"
"23-Aug-2024","BE","19.38","19.50","18.50","18.74","19.26","19.26","19.10","26.75","17.25","7,967","1,52,191.77","40"
"22-Aug-2024","BE","19.14","19.30","18.05","18.46","18.90","18.74","18.70","26.75","17.25","31,924","5,96,842.80","75"
"21-Aug-2024","BE","18.75","19.50","18.05","18.73","18.50","18.46","18.52","26.75","17.25","78,530","14,54,499.75","126"
"20-Aug-2024","BE","18.85","18.99","17.35","18.09","18.75","18.73","18.78","26.75","17.25","37,634","7,06,732.07","120"
"19-Aug-2024","BE","18.35","18.35","17.25","17.99","18.00","18.09","17.99","26.75","17.25","36,446","6,55,771.94","90"
"16-Aug-2024","BE","18.48","18.49","17.55","18.48","17.99","17.99","18.03","26.75","17.40","42,318","7,63,105.79","145"
"14-Aug-2024","BE","18.60","19.00","18.40","19.00","18.40","18.48","18.54","26.75","17.40","46,688","8,65,391.30","103"
"13-Aug-2024","BE","18.75","19.60","18.75","18.75","19.00","19.00","19.28","26.75","17.40","3,515","67,774.13","31"
"12-Aug-2024","BE","19.00","19.62","18.50","19.27","18.90","18.75","18.74","26.75","17.40","5,620","1,05,303.33","76"
"09-Aug-2024","BE","19.18","19.40","18.90","19.18","19.28","19.27","19.08","26.75","17.40","4,710","89,888.22","36"
"08-Aug-2024","BE","18.93","19.60","18.51","18.93","19.18","19.18","18.92","26.75","17.40","2,803","53,024.27","49"
"07-Aug-2024","BE","19.00","19.49","18.82","19.00","19.00","18.93","19.08","26.75","17.40","1,905","36,341.23","38"
"06-Aug-2024","BE","19.28","20.24","18.47","19.28","19.00","19.00","19.06","26.75","17.40","17,441","3,32,397.67","78"
"05-Aug-2024","BE","19.55","19.99","18.65","19.58","19.25","19.28","19.51","26.75","17.40","26,046","5,08,278.27","135"
"02-Aug-2024","BE","20.48","20.48","19.10","19.51","19.26","19.58","19.86","26.75","17.40","28,487","5,65,753.57","103"
"01-Aug-2024","BE","19.50","20.19","18.51","19.28","20.00","19.51","19.47","26.75","17.40","17,254","3,35,863.71","98"
"31-Jul-2024","BE","19.06","19.86","18.87","19.87","19.68","19.28","19.21","26.75","17.40","33,197","6,37,866.95","123"
"30-Jul-2024","BE","20.58","21.00","19.81","20.58","19.83","19.87","20.06","26.75","17.40","21,987","4,41,086.61","120"
"29-Jul-2024","BE","20.66","21.19","19.80","20.66","20.60","20.58","20.04","26.75","17.40","37,297","7,47,496.41","117"
