"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","551.80","560.00","508.90","549.40","520.00","520.90","526.69","588.95","218.35","47,898","2,52,27,263.60","3,318"
"23-Aug-2024","EQ","588.95","588.95","542.90","569.45","554.00","549.40","564.23","588.95","218.35","68,102","3,84,25,012.15","4,383"
"22-Aug-2024","EQ","538.00","581.45","528.20","528.60","581.45","569.45","556.29","583.80","218.35","82,078","4,56,59,483.85","3,159"
"21-Aug-2024","EQ","519.00","537.00","519.00","519.00","525.00","528.60","526.71","583.80","218.35","17,320","91,22,537.90","1,276"
"20-Aug-2024","EQ","527.15","531.50","516.00","525.85","523.00","519.00","523.40","583.80","218.35","16,150","84,52,831.60","2,056"
"19-Aug-2024","EQ","522.00","537.00","519.60","519.80","522.10","525.85","526.59","583.80","218.35","18,719","98,57,199.95","1,495"
"16-Aug-2024","EQ","546.00","557.85","513.50","539.55","521.00","519.80","522.62","583.80","218.35","49,017","2,56,17,304.75","3,457"
"14-Aug-2024","EQ","523.00","548.10","504.30","499.90","543.20","539.55","525.41","583.80","218.35","47,463","2,49,37,628.15","3,256"
"13-Aug-2024","EQ","523.80","523.80","498.10","514.85","498.15","499.90","506.35","583.80","218.35","16,564","83,87,231.45","1,399"
"12-Aug-2024","EQ","535.00","535.00","510.00","521.15","514.75","514.85","518.38","583.80","218.35","16,593","86,01,483.65","1,767"
"09-Aug-2024","EQ","518.90","532.95","515.95","515.45","524.90","521.15","522.32","583.80","218.35","17,252","90,10,990.00","1,270"
"08-Aug-2024","EQ","532.65","550.00","512.90","532.65","514.00","515.45","523.27","583.80","218.35","22,987","1,20,28,355.15","1,427"
"07-Aug-2024","EQ","530.00","540.50","511.05","519.80","538.30","532.65","526.14","583.80","218.35","18,027","94,84,781.05","1,062"
"06-Aug-2024","EQ","565.00","565.00","515.40","546.10","523.75","519.80","545.53","583.80","218.35","33,221","1,81,22,895.35","1,666"
"05-Aug-2024","EQ","502.00","570.15","492.00","518.35","551.00","546.10","537.48","583.80","218.35","1,62,357","8,72,63,934.05","6,908"
"02-Aug-2024","EQ","529.90","529.90","511.60","531.30","518.00","518.35","521.00","583.80","218.35","26,837","1,39,82,170.65","1,499"
"01-Aug-2024","EQ","548.00","578.00","528.00","552.50","531.00","531.30","548.80","583.80","218.35","61,394","3,36,93,264.85","2,777"
"31-Jul-2024","EQ","560.50","564.15","541.00","572.50","552.70","552.50","550.94","583.80","218.35","1,43,238","7,89,15,559.85","6,537"
"30-Jul-2024","EQ","549.90","583.80","539.10","493.85","563.10","572.50","565.77","583.80","218.35","12,83,844","72,63,54,982.35","43,970"
"29-Jul-2024","EQ","480.00","493.85","456.35","411.55","493.85","493.85","480.36","496.00","218.35","1,80,707","8,68,04,234.25","5,810"
