"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","37.62","37.62","37.62","38.39","37.62","37.62","37.62","51.60","12.60","40,154","15,10,593.48","187"
"23-Aug-2024","BE","40.55","41.42","38.30","39.91","38.30","38.39","39.31","51.60","12.60","3,49,294","1,37,29,386.34","1,231"
"22-Aug-2024","BE","40.33","40.50","39.25","39.23","39.60","39.91","40.00","51.60","12.60","2,88,021","1,15,20,234.99","4,936"
"21-Aug-2024","BE","37.57","39.50","37.15","37.62","39.50","39.23","38.63","51.60","12.60","4,73,244","1,82,79,215.24","1,308"
"20-Aug-2024","BE","38.40","38.70","35.71","37.57","37.90","37.62","37.54","51.60","12.60","4,33,982","1,62,92,213.13","1,669"
"19-Aug-2024","BE","36.60","37.57","36.05","35.79","37.57","37.57","37.02","51.60","12.60","4,50,121","1,66,62,185.59","1,207"
"16-Aug-2024","BE","32.38","35.79","32.38","34.09","35.79","35.79","34.52","51.60","12.60","8,47,421","2,92,49,021.44","2,111"
"14-Aug-2024","BE","35.65","35.65","34.09","35.89","34.09","34.09","34.26","51.60","12.60","2,08,586","71,46,455.67","826"
"13-Aug-2024","EQ","35.89","36.89","35.89","37.78","35.89","35.89","36.04","51.60","12.60","21,14,198","7,61,99,511.71","4,104"
"12-Aug-2024","EQ","37.78","37.78","37.78","39.77","37.78","37.78","37.78","51.60","12.60","2,27,323","85,88,262.94","1,078"
"09-Aug-2024","EQ","39.77","41.69","39.77","41.87","39.77","39.77","39.83","51.60","12.60","13,75,481","5,47,92,194.45","2,154"
"08-Aug-2024","EQ","44.79","45.80","41.87","44.08","41.87","41.87","43.57","51.60","12.60","14,82,119","6,45,71,446.79","5,298"
"07-Aug-2024","EQ","42.95","44.18","42.32","42.08","44.18","44.08","43.37","51.60","12.60","9,39,867","4,07,58,019.70","3,851"
"06-Aug-2024","EQ","40.70","42.74","40.70","40.71","41.90","42.08","42.28","51.60","12.60","11,70,313","4,94,80,338.88","4,130"
"05-Aug-2024","EQ","40.85","41.78","40.60","42.74","40.60","40.71","40.88","51.60","12.60","8,58,328","3,50,86,403.57","4,121"
"02-Aug-2024","EQ","40.85","43.38","40.84","42.08","42.95","42.74","42.34","51.60","12.50","5,71,945","2,42,18,808.99","4,542"
"01-Aug-2024","EQ","43.99","44.42","41.82","43.63","42.19","42.08","42.71","51.60","12.50","7,73,528","3,30,36,153.11","4,442"
"31-Jul-2024","EQ","43.49","44.21","43.01","43.27","43.90","43.63","43.65","51.60","12.50","6,44,852","2,81,49,439.24","2,945"
"30-Jul-2024","EQ","44.84","45.17","42.72","44.84","43.37","43.27","43.45","51.60","12.50","12,07,632","5,24,67,870.05","4,441"
"29-Jul-2024","EQ","46.41","47.55","44.20","46.11","44.60","44.84","45.65","51.60","12.50","10,08,855","4,60,50,145.35","3,974"
