"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","92.95","96.50","92.95","92.95","94.50","94.14","94.90","98.20","51.00","30,02,369","28,49,38,289.50","21,607"
"23-Aug-2024","EQ","94.80","96.00","92.51","94.30","92.89","92.95","94.26","98.20","51.00","31,30,922","29,51,25,375.31","22,140"
"22-Aug-2024","EQ","92.00","98.20","91.01","91.38","94.29","94.30","95.71","98.20","51.00","1,32,00,608","1,26,34,38,744.17","61,277"
"21-Aug-2024","EQ","88.02","93.45","86.69","88.02","91.68","91.38","91.05","93.45","51.00","99,40,472","90,50,34,171.54","52,456"
"20-Aug-2024","EQ","81.70","88.75","81.51","81.71","87.71","88.02","86.15","90.39","51.00","70,94,858","61,12,17,799.35","38,432"
"19-Aug-2024","EQ","80.05","84.30","80.05","79.74","81.60","81.71","82.53","90.39","51.00","28,42,993","23,46,37,835.98","18,429"
"16-Aug-2024","EQ","78.40","80.79","77.37","77.80","79.35","79.74","78.61","90.39","47.10","19,12,195","15,03,10,061.99","18,736"
"14-Aug-2024","EQ","78.90","79.72","76.99","78.29","77.35","77.80","78.32","90.39","47.10","15,76,592","12,34,82,362.81","11,581"
"13-Aug-2024","EQ","78.25","83.30","77.67","78.16","78.43","78.29","80.73","90.39","47.10","35,17,852","28,39,88,704.35","25,077"
"12-Aug-2024","EQ","75.71","79.75","74.80","75.94","77.76","78.16","77.99","90.39","47.10","27,55,668","21,49,21,449.86","21,966"
"09-Aug-2024","EQ","73.80","76.40","73.22","72.60","75.45","75.94","75.05","90.39","45.75","20,62,317","15,47,69,619.80","13,771"
"08-Aug-2024","EQ","76.05","77.63","72.09","76.41","72.69","72.60","74.85","90.39","45.75","29,85,963","22,35,06,468.34","14,939"
"07-Aug-2024","EQ","77.80","77.98","74.31","74.84","76.82","76.41","75.85","90.39","45.75","24,89,492","18,88,39,859.25","14,938"
"06-Aug-2024","EQ","79.80","81.00","74.15","77.42","75.48","74.84","76.80","90.39","45.75","48,97,230","37,61,12,221.99","22,457"
"05-Aug-2024","EQ","79.00","80.90","77.09","81.88","77.50","77.42","78.82","90.39","45.75","38,72,141","30,52,05,935.20","24,087"
"02-Aug-2024","EQ","86.35","89.40","80.46","86.77","81.85","81.88","84.07","90.39","44.20","1,44,95,712","1,21,87,21,698.83","60,656"
"01-Aug-2024","EQ","84.97","90.39","84.30","84.41","86.50","86.77","87.84","90.39","44.20","67,27,067","59,08,73,405.65","41,233"
"31-Jul-2024","EQ","86.70","86.70","84.10","85.64","84.26","84.41","85.15","86.70","44.20","26,66,317","22,70,38,470.41","17,969"
"30-Jul-2024","EQ","82.00","85.95","81.32","81.56","85.70","85.64","84.44","86.10","44.20","50,26,262","42,44,07,963.89","27,887"
"29-Jul-2024","EQ","81.50","83.70","79.61","79.93","81.80","81.56","81.57","86.10","44.20","32,82,819","26,77,94,299.24","18,971"
