"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","18.48","18.48","17.55","17.60","18.48","18.42","18.15","28.75","9.75","42,85,100","7,77,58,084.16","6,486"
"23-Aug-2024","EQ","17.10","17.60","16.70","16.77","17.60","17.60","17.30","28.75","9.75","37,60,672","6,50,46,214.26","3,738"
"22-Aug-2024","EQ","16.58","16.86","16.00","16.06","16.86","16.77","16.65","28.75","9.75","17,45,995","2,90,75,448.47","3,751"
"21-Aug-2024","EQ","16.41","16.59","15.95","16.41","16.25","16.06","16.15","28.75","9.75","11,31,265","1,82,69,255.98","2,186"
"20-Aug-2024","EQ","16.91","16.98","16.25","16.42","16.45","16.41","16.48","28.75","9.75","8,93,569","1,47,25,214.48","1,856"
"19-Aug-2024","EQ","16.40","16.69","16.17","15.90","16.60","16.42","16.47","28.75","9.75","15,06,758","2,48,10,730.30","2,520"
"16-Aug-2024","EQ","15.90","16.14","15.70","15.67","15.76","15.90","15.93","28.75","9.75","8,49,988","1,35,40,137.04","2,178"
"14-Aug-2024","EQ","15.77","16.00","15.67","16.50","15.67","15.67","15.68","28.75","9.75","12,15,717","1,90,65,160.41","1,373"
"13-Aug-2024","EQ","17.74","18.23","16.50","17.37","16.50","16.50","17.18","28.75","9.75","53,29,765","9,15,91,287.64","5,353"
"12-Aug-2024","EQ","18.38","18.50","17.20","17.98","17.40","17.37","17.82","28.75","9.75","28,34,272","5,04,93,035.28","4,743"
"09-Aug-2024","EQ","17.34","18.85","17.34","18.26","17.94","17.98","17.90","28.75","9.75","77,75,440","13,91,76,792.02","5,397"
"08-Aug-2024","EQ","18.26","18.26","18.26","19.23","18.26","18.26","18.26","28.75","9.75","2,29,218","41,85,520.68","576"
"07-Aug-2024","EQ","19.23","19.23","19.23","20.25","19.23","19.23","19.23","28.75","9.75","3,47,959","66,91,251.57","552"
"06-Aug-2024","EQ","20.25","20.25","20.25","20.67","20.25","20.25","20.25","28.75","9.75","40,450","8,19,112.50","273"
"05-Aug-2024","EQ","20.67","20.67","20.67","21.10","20.67","20.67","20.67","28.75","9.75","74,312","15,36,029.04","417"
"02-Aug-2024","EQ","21.10","21.20","21.10","21.54","21.10","21.10","21.10","28.75","9.75","21,89,540","4,62,00,178.75","1,341"
"01-Aug-2024","EQ","22.15","22.40","21.54","21.98","21.54","21.54","22.03","28.75","9.75","33,16,567","7,30,50,382.90","2,393"
"31-Jul-2024","EQ","22.40","22.59","21.86","22.31","21.98","21.98","22.21","28.75","9.75","44,63,915","9,91,42,026.47","3,475"
"30-Jul-2024","EQ","22.60","22.75","22.22","22.31","22.30","22.31","22.49","28.75","9.75","1,03,55,473","23,28,68,537.45","4,610"
"29-Jul-2024","EQ","22.01","22.32","22.00","21.89","22.32","22.31","22.17","28.75","9.75","35,36,707","7,84,02,861.25","3,372"
