"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","631.75","639.05","629.00","625.80","633.00","633.45","633.40","813.40","553.70","25,56,753","1,61,94,52,048.70","74,635"
"26-Aug-2024","BL","630.00","630.00","630.00","612.50","630.00","630.00","630.00","630.00","630.00","1,27,56,118","8,03,63,54,340.00","5"
"23-Aug-2024","EQ","630.25","636.00","622.90","633.40","626.00","625.80","629.31","813.40","553.70","11,01,563","69,32,29,495.55","38,095"
"22-Aug-2024","EQ","632.00","637.35","629.30","625.20","633.20","633.40","633.13","813.40","553.70","12,14,623","76,90,17,595.80","36,714"
"21-Aug-2024","EQ","618.00","627.50","615.70","621.15","626.00","625.20","621.83","813.40","553.70","31,07,738","1,93,24,80,890.10","86,330"
"20-Aug-2024","EQ","621.40","626.05","618.65","615.25","620.75","621.15","622.23","813.40","553.70","20,26,046","1,26,06,73,908.60","41,301"
"19-Aug-2024","EQ","614.10","622.55","610.00","613.20","622.55","615.25","613.99","813.40","553.70","22,73,232","1,39,57,34,405.90","68,072"
"16-Aug-2024","EQ","607.00","614.00","605.80","603.05","613.50","613.20","609.58","813.40","553.70","12,65,653","77,15,14,908.55","33,282"
"14-Aug-2024","EQ","612.00","615.85","600.25","611.95","606.00","603.05","605.25","813.40","553.70","18,23,476","1,10,36,67,725.00","85,256"
"13-Aug-2024","EQ","609.75","615.45","606.90","609.75","610.10","611.95","611.51","813.40","553.70","23,26,446","1,42,26,53,039.30","57,216"
"12-Aug-2024","EQ","620.10","621.40","605.15","625.95","609.50","609.75","610.49","813.40","553.70","57,07,504","3,48,43,68,222.35","1,31,764"
"09-Aug-2024","EQ","635.00","636.00","623.25","626.10","626.40","625.95","626.40","813.40","553.70","11,45,143","71,73,14,521.00","28,531"
"08-Aug-2024","EQ","629.00","635.30","624.55","630.85","626.10","626.10","629.60","813.40","553.70","13,74,881","86,56,24,086.60","55,644"
"07-Aug-2024","EQ","640.50","643.90","626.30","635.90","633.75","630.85","630.88","813.40","553.70","25,92,406","1,63,54,90,490.35","90,788"
"06-Aug-2024","EQ","635.30","644.90","633.00","632.00","635.00","635.90","639.24","813.40","553.70","16,35,549","1,04,55,15,409.00","65,185"
"05-Aug-2024","EQ","629.90","637.90","622.30","637.60","630.10","632.00","628.64","813.40","553.70","21,73,993","1,36,66,53,635.55","91,321"
"02-Aug-2024","EQ","638.00","650.95","635.50","644.75","637.75","637.60","642.57","813.40","553.70","30,36,465","1,95,11,28,584.90","58,064"
"01-Aug-2024","EQ","646.75","659.85","641.95","646.05","644.05","644.75","650.96","813.40","553.70","16,37,829","1,06,61,65,546.20","43,795"
"31-Jul-2024","EQ","653.45","653.45","637.35","651.45","646.00","646.05","643.60","813.40","553.70","37,23,813","2,39,66,31,760.30","99,166"
"30-Jul-2024","EQ","652.00","661.50","649.15","650.05","652.00","651.45","655.40","813.40","553.70","20,07,413","1,31,56,60,504.50","68,052"
"29-Jul-2024","EQ","655.00","658.10","644.35","650.40","654.10","650.05","651.63","813.40","553.70","47,93,665","3,12,37,12,210.45","1,22,519"
