"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","704.00","708.95","669.00","700.80","674.40","674.05","683.29","855.00","479.55","1,02,322","6,99,15,827.95","6,296"
"23-Aug-2024","EQ","727.90","737.40","693.95","721.45","707.50","700.80","709.39","855.00","479.55","2,14,879","15,24,33,234.90","13,366"
"22-Aug-2024","EQ","718.00","734.55","713.70","714.55","723.25","721.45","724.56","855.00","479.55","1,78,337","12,92,15,012.95","10,690"
"21-Aug-2024","EQ","715.00","720.00","708.05","710.10","714.05","714.55","715.00","855.00","479.55","1,48,168","10,59,39,748.40","9,889"
"20-Aug-2024","EQ","683.00","715.00","676.50","680.00","713.00","710.10","700.70","855.00","479.55","4,01,761","28,15,12,837.20","21,873"
"19-Aug-2024","EQ","666.40","697.35","665.00","662.15","681.05","680.00","686.85","855.00","479.55","2,97,654","20,44,42,539.40","14,870"
"16-Aug-2024","EQ","644.35","675.00","640.80","636.65","662.00","662.15","663.12","855.00","479.55","1,98,275","13,14,79,173.05","16,397"
"14-Aug-2024","EQ","659.90","659.90","634.05","659.35","635.85","636.65","642.09","855.00","479.55","1,07,624","6,91,04,088.60","10,157"
"13-Aug-2024","EQ","647.00","675.90","641.55","646.95","658.10","659.35","661.11","855.00","479.55","4,14,621","27,41,10,911.50","29,035"
"12-Aug-2024","EQ","617.00","659.00","602.00","597.40","649.80","646.95","628.52","855.00","479.55","5,73,330","36,03,50,957.75","32,850"
"09-Aug-2024","EQ","611.85","616.00","594.00","608.80","599.80","597.40","602.74","855.00","479.55","54,713","3,29,77,842.20","7,836"
"08-Aug-2024","EQ","609.70","620.90","605.00","609.70","609.80","608.80","613.04","855.00","479.55","60,542","3,71,14,674.20","5,380"
"07-Aug-2024","EQ","593.50","612.00","589.30","581.90","611.00","609.70","600.73","855.00","479.55","78,248","4,70,05,972.10","7,247"
"06-Aug-2024","EQ","599.00","606.60","572.90","590.30","583.00","581.90","593.26","855.00","479.55","64,519","3,82,76,801.40","6,239"
"05-Aug-2024","EQ","603.00","622.85","585.00","630.10","588.00","590.30","598.34","855.00","479.55","1,12,603","6,73,75,030.80","10,334"
"02-Aug-2024","EQ","624.00","643.00","616.90","630.65","631.50","630.10","629.42","855.00","479.55","65,550","4,12,58,424.20","6,057"
"01-Aug-2024","EQ","646.40","647.85","628.20","642.65","631.15","630.65","634.42","855.00","479.55","63,899","4,05,38,739.95","4,943"
"31-Jul-2024","EQ","645.40","662.75","640.00","643.65","642.25","642.65","650.92","855.00","479.55","1,39,635","9,08,90,654.30","11,379"
"30-Jul-2024","EQ","633.00","646.00","631.00","634.65","645.10","643.65","640.40","855.00","479.55","87,241","5,58,69,334.80","6,723"
"29-Jul-2024","EQ","636.00","646.00","630.05","629.05","635.95","634.65","638.35","855.00","479.55","1,19,055","7,59,99,248.05","8,377"
