"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","522.70","522.70","495.10","515.15","506.70","506.35","510.36","620.00","425.00","1,25,667","6,41,34,968.55","8,703"
"23-Aug-2024","EQ","513.00","517.50","510.00","513.40","516.00","515.15","513.75","620.00","425.00","44,715","2,29,72,440.65","2,618"
"22-Aug-2024","EQ","512.15","520.00","508.00","514.90","514.00","513.40","513.07","620.00","425.00","48,661","2,49,66,612.05","3,870"
"21-Aug-2024","EQ","524.95","525.00","507.30","518.00","514.25","514.90","513.88","620.00","425.00","1,15,840","5,95,27,974.55","10,432"
"20-Aug-2024","EQ","483.05","527.80","483.05","481.25","523.00","518.00","508.96","620.00","425.00","3,03,275","15,43,56,296.45","19,284"
"19-Aug-2024","EQ","489.05","492.45","480.00","488.80","483.00","481.25","485.26","620.00","425.00","55,789","2,70,72,008.05","5,564"
"16-Aug-2024","EQ","468.00","495.30","467.00","465.80","487.10","488.80","484.60","620.00","425.00","2,15,859","10,46,05,241.60","11,856"
"14-Aug-2024","EQ","460.05","467.10","450.65","459.75","467.00","465.80","458.95","620.00","425.00","87,520","4,01,67,654.40","7,345"
"13-Aug-2024","EQ","473.15","474.20","458.10","470.00","459.60","459.75","463.29","620.00","425.00","78,285","3,62,68,455.45","7,377"
"12-Aug-2024","EQ","471.95","475.00","465.90","473.10","471.00","470.00","472.65","620.00","425.00","2,15,655","10,19,28,582.00","9,592"
"09-Aug-2024","EQ","425.15","485.00","425.00","493.80","473.95","473.10","471.87","620.00","425.00","7,64,465","36,07,29,593.70","32,017"
"08-Aug-2024","EQ","496.95","497.50","487.10","491.90","494.40","493.80","492.86","620.00","449.25","61,024","3,00,76,206.45","7,560"
"07-Aug-2024","EQ","497.00","505.80","490.75","494.15","495.00","491.90","494.20","620.00","449.25","38,363","1,89,58,841.25","6,568"
"06-Aug-2024","EQ","494.00","504.25","490.00","488.40","495.00","494.15","496.79","620.00","449.25","50,054","2,48,66,411.20","8,402"
"05-Aug-2024","EQ","491.00","502.00","485.00","514.55","487.00","488.40","493.31","620.00","449.25","93,533","4,61,40,784.50","11,655"
"02-Aug-2024","EQ","515.00","519.80","507.30","522.95","517.50","514.55","515.80","620.00","449.25","46,310","2,38,86,718.50","4,546"
"01-Aug-2024","EQ","527.15","527.15","518.00","521.95","525.00","522.95","520.44","620.00","449.25","1,01,445","5,27,95,676.45","4,356"
"31-Jul-2024","EQ","534.00","534.20","521.00","528.35","530.00","521.95","526.23","620.00","449.25","38,682","2,03,55,545.15","4,215"
"30-Jul-2024","EQ","518.45","532.90","517.80","518.45","527.05","528.35","527.49","620.00","449.25","72,141","3,80,54,007.45","6,710"
"29-Jul-2024","EQ","527.00","527.00","514.10","522.50","519.90","518.45","521.14","620.00","449.25","56,622","2,95,07,798.05","4,355"
