"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","13.58","13.58","13.58","13.32","13.58","13.58","13.58","140.95","11.81","16,491","2,23,947.78","33"
"23-Aug-2024","BE","13.32","13.32","13.32","13.06","13.32","13.32","13.32","140.95","11.81","83,359","11,10,341.88","38"
"22-Aug-2024","BE","12.80","13.06","12.80","12.81","13.06","13.06","12.98","140.95","11.81","54,268","7,04,277.16","66"
"21-Aug-2024","BE","12.75","12.81","12.75","13.01","12.81","12.81","12.75","140.95","11.81","1,27,281","16,23,271.51","187"
"20-Aug-2024","BE","13.19","13.19","13.00","13.27","13.01","13.01","13.02","140.95","11.81","60,665","7,89,890.00","133"
"19-Aug-2024","BE","13.49","13.49","13.27","13.55","13.27","13.27","13.31","140.95","11.81","68,952","9,17,809.61","140"
"16-Aug-2024","BE","13.44","13.55","13.44","13.72","13.55","13.55","13.47","140.95","11.81","1,11,359","14,99,894.27","126"
"14-Aug-2024","BE","13.72","13.72","13.72","14.01","13.72","13.72","13.72","140.95","11.81","1,50,972","20,71,335.84","120"
"13-Aug-2024","BE","14.01","14.01","14.01","14.30","14.01","14.01","14.01","140.95","11.81","77,701","10,88,591.01","92"
"12-Aug-2024","BE","14.30","14.30","14.30","14.60","14.30","14.30","14.30","140.95","11.81","28,198","4,03,231.40","82"
"09-Aug-2024","BE","14.60","14.60","14.33","14.33","14.60","14.60","14.47","140.95","11.81","1,63,514","23,65,308.37","111"
"08-Aug-2024","BE","14.63","14.63","14.33","14.63","14.33","14.33","14.37","140.95","11.81","96,267","13,83,291.21","110"
"07-Aug-2024","BE","14.63","14.63","14.63","14.93","14.63","14.63","14.63","140.95","11.81","46,093","6,74,340.59","77"
"06-Aug-2024","BE","15.05","15.05","14.93","15.24","14.93","14.93","14.94","140.95","11.81","1,25,139","18,69,838.83","92"
"05-Aug-2024","BE","15.24","15.24","15.24","15.56","15.24","15.24","15.24","140.95","11.81","24,831","3,78,424.44","67"
"02-Aug-2024","BE","15.56","15.56","15.56","15.88","15.56","15.56","15.56","140.95","11.81","3,24,195","50,44,474.20","130"
"01-Aug-2024","BE","15.88","15.88","15.88","16.21","15.88","15.88","15.88","140.95","11.81","60,215","9,56,214.20","99"
"31-Jul-2024","BE","16.67","16.70","15.90","16.05","16.11","16.21","16.33","140.95","11.81","5,26,584","85,98,813.24","954"
"30-Jul-2024","BE","16.09","16.10","14.80","15.34","16.10","16.05","15.69","140.95","11.81","7,69,703","1,20,76,460.74","1,084"
"29-Jul-2024","BE","14.85","15.34","14.85","14.61","15.34","15.34","15.30","140.95","11.81","5,96,420","91,25,047.22","829"
