"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","888.00","888.00","771.00","899.90","788.00","791.30","818.22","946.00","371.40","14,30,402","1,17,03,85,566.85","78,757"
"23-Aug-2024","EQ","868.00","932.70","865.65","861.70","901.00","899.90","905.52","946.00","371.40","17,72,225","1,60,47,82,682.00","92,102"
"22-Aug-2024","EQ","800.00","946.00","800.00","788.35","861.00","861.70","893.30","946.00","371.40","39,46,638","3,52,55,22,989.05","1,23,716"
"21-Aug-2024","EQ","794.80","819.90","780.25","794.80","785.00","788.35","798.84","856.00","371.40","3,13,294","25,02,72,096.85","19,502"
"20-Aug-2024","EQ","789.95","856.00","765.50","744.85","792.00","794.80","813.89","856.00","371.40","18,75,484","1,52,64,44,881.00","89,635"
"19-Aug-2024","EQ","727.00","760.00","702.30","720.10","759.00","744.85","726.26","760.00","371.40","2,20,556","16,01,80,369.70","18,860"
"16-Aug-2024","EQ","739.25","739.25","712.00","708.50","718.00","720.10","721.96","757.85","371.40","2,85,146","20,58,64,846.35","22,224"
"14-Aug-2024","EQ","700.00","746.65","676.55","670.95","715.00","708.50","705.72","757.85","371.40","10,20,405","72,01,24,512.40","61,587"
"13-Aug-2024","EQ","688.20","704.90","665.55","687.05","669.60","670.95","685.10","757.85","371.40","1,45,954","9,99,93,085.30","12,117"
"12-Aug-2024","EQ","690.00","710.00","680.00","696.10","685.05","687.05","698.22","757.85","371.40","2,19,656","15,33,68,123.75","24,519"
"09-Aug-2024","EQ","690.00","712.00","678.05","668.35","695.00","696.10","694.19","757.85","371.40","2,52,655","17,53,90,822.60","21,067"
"08-Aug-2024","EQ","640.05","683.00","631.65","629.25","676.00","668.35","666.77","757.85","371.40","2,89,766","19,32,07,766.90","27,071"
"07-Aug-2024","EQ","634.00","656.00","621.20","626.55","631.00","629.25","630.40","757.85","371.40","91,400","5,76,18,662.15","11,422"
"06-Aug-2024","EQ","629.40","648.30","612.55","625.70","625.00","626.55","627.81","757.85","371.40","1,21,162","7,60,67,274.15","10,217"
"05-Aug-2024","EQ","651.00","662.00","620.05","670.00","626.30","625.70","636.68","757.85","371.40","2,07,233","13,19,40,547.00","19,046"
"02-Aug-2024","EQ","670.00","675.80","648.05","681.05","672.00","670.00","665.28","757.85","371.40","1,19,527","7,95,19,503.90","10,086"
"01-Aug-2024","EQ","693.95","695.10","660.60","691.20","681.90","681.05","680.07","757.85","371.40","1,02,852","6,99,46,244.45","8,096"
"31-Jul-2024","EQ","685.75","697.50","676.00","682.20","689.95","691.20","688.97","757.85","371.40","1,17,753","8,11,27,742.65","7,825"
"30-Jul-2024","EQ","695.40","706.15","674.50","695.40","681.00","682.20","686.88","757.85","371.40","1,65,313","11,35,50,593.00","11,941"
"29-Jul-2024","EQ","694.90","701.00","656.35","639.95","698.05","695.40","684.90","757.85","371.40","3,74,205","25,62,94,252.40","18,530"
