"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","62.40","62.40","60.60","60.56","61.20","61.10","60.93","64.90","47.51","1,08,084","65,85,326.75","1,492"
"23-Aug-2024","EQ","60.70","60.70","60.29","60.77","60.55","60.56","60.36","64.90","47.51","2,79,257","1,68,56,681.88","1,174"
"22-Aug-2024","EQ","60.98","60.98","60.51","60.76","60.80","60.77","60.73","64.90","47.51","1,35,196","82,09,844.81","1,292"
"21-Aug-2024","EQ","61.08","61.09","60.70","60.96","60.80","60.76","60.93","64.90","47.51","3,34,236","2,03,63,526.48","1,333"
"20-Aug-2024","EQ","61.09","61.16","60.40","60.80","61.15","60.96","60.70","64.90","47.51","2,10,102","1,27,53,016.88","1,700"
"19-Aug-2024","EQ","59.92","61.27","59.92","59.78","60.83","60.80","60.77","64.90","47.51","8,26,296","5,02,17,072.36","1,691"
"16-Aug-2024","EQ","59.55","60.70","59.48","59.83","59.89","59.78","59.67","64.90","47.51","1,41,694","84,54,357.08","1,536"
"14-Aug-2024","EQ","60.47","60.47","59.55","59.75","59.82","59.83","59.74","64.90","47.51","1,09,220","65,24,952.59","948"
"13-Aug-2024","EQ","60.47","60.50","59.48","59.29","59.87","59.75","59.79","64.90","47.51","1,20,647","72,13,324.67","1,066"
"12-Aug-2024","EQ","59.90","60.00","58.92","59.15","59.26","59.29","59.20","64.90","47.51","17,79,106","10,53,27,246.05","1,757"
"09-Aug-2024","EQ","60.15","60.15","58.71","58.40","59.15","59.15","58.97","64.90","47.51","1,23,205","72,65,645.40","1,088"
"08-Aug-2024","EQ","58.59","58.98","58.24","58.59","58.40","58.40","58.47","64.90","47.51","22,11,455","12,92,97,612.40","2,131"
"07-Aug-2024","EQ","58.79","58.80","58.23","58.90","58.60","58.59","58.58","64.90","47.51","2,07,847","1,21,75,598.57","1,858"
"06-Aug-2024","EQ","59.90","59.94","58.54","59.27","58.91","58.90","58.63","64.90","47.51","18,28,846","10,72,22,600.59","2,183"
"05-Aug-2024","EQ","60.01","60.89","58.20","60.01","59.40","59.27","59.41","64.90","47.51","3,71,933","2,20,96,882.55","2,603"
"02-Aug-2024","EQ","60.40","60.40","59.48","59.48","60.08","60.01","59.90","64.90","47.51","1,87,556","1,12,33,772.45","1,361"
"01-Aug-2024","EQ","60.85","60.85","59.18","59.06","59.42","59.48","59.50","64.90","47.51","1,63,278","97,15,526.77","1,931"
"31-Jul-2024","EQ","58.91","59.58","58.51","58.88","59.14","59.06","59.02","64.90","47.51","7,49,121","4,42,16,123.96","1,746"
"30-Jul-2024","EQ","60.79","60.98","58.38","60.29","59.13","58.88","58.73","64.90","47.51","8,61,946","5,06,25,560.12","5,072"
"29-Jul-2024","EQ","62.55","62.55","59.98","60.72","60.50","60.29","60.60","64.90","47.51","3,28,526","1,99,08,827.34","3,078"
