"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","441.96","443.99","439.87","437.15","443.37","442.65","441.50","453.94","315.00","5,318","23,47,881.41","159"
"23-Aug-2024","EQ","439.99","439.99","435.24","440.84","439.00","437.15","437.57","453.94","315.00","8,109","35,48,269.68","134"
"22-Aug-2024","EQ","448.99","448.99","439.00","440.22","439.00","440.84","442.68","453.94","315.00","1,03,311","4,57,33,563.59","281"
"21-Aug-2024","EQ","439.01","442.59","432.39","439.87","432.39","440.22","441.01","453.94","315.00","1,25,888","5,55,17,935.01","199"
"20-Aug-2024","EQ","439.33","443.48","439.03","437.49","440.11","439.87","441.00","453.94","315.00","1,04,321","4,60,05,672.07","284"
"19-Aug-2024","EQ","438.70","441.98","431.35","438.75","436.48","437.49","436.82","453.94","315.00","42,480","1,85,56,324.12","375"
"16-Aug-2024","EQ","423.12","453.94","423.12","422.56","439.83","438.75","431.97","453.94","314.06","72,869","3,14,77,033.51","1,094"
"14-Aug-2024","EQ","415.50","423.12","415.31","415.40","423.12","422.56","422.15","438.20","314.06","11,832","49,94,851.59","177"
"13-Aug-2024","EQ","414.16","417.99","413.81","415.86","416.10","415.40","415.54","438.20","314.06","486","2,01,952.10","60"
"12-Aug-2024","EQ","405.66","419.97","405.66","413.94","419.97","415.86","413.43","438.20","314.06","1,397","5,77,564.40","85"
"09-Aug-2024","EQ","415.00","416.43","404.51","407.83","412.70","413.94","408.31","438.20","314.05","39,135","1,59,79,346.47","190"
"08-Aug-2024","EQ","414.06","415.43","406.00","414.84","413.00","407.83","410.18","438.20","314.05","2,477","10,16,010.48","97"
"07-Aug-2024","EQ","415.08","416.66","413.72","408.10","414.64","414.84","415.73","438.20","314.05","2,769","11,51,149.63","77"
"06-Aug-2024","EQ","411.78","418.08","402.17","409.58","404.00","408.10","409.29","438.20","314.05","7,450","30,49,231.25","92"
"05-Aug-2024","EQ","414.61","418.01","402.22","422.20","410.90","409.58","408.08","438.20","314.05","10,564","43,10,933.26","343"
"02-Aug-2024","EQ","428.42","430.38","421.20","432.33","423.00","422.20","425.79","438.20","306.99","8,361","35,60,063.31","192"
"01-Aug-2024","EQ","433.54","434.92","430.01","434.14","430.50","432.33","433.60","438.20","306.99","8,855","38,39,496.16","137"
"31-Jul-2024","EQ","433.72","435.79","430.81","433.80","435.77","434.14","434.53","438.20","306.99","8,218","35,70,947.41","67"
"30-Jul-2024","EQ","433.45","434.38","429.56","432.78","430.80","433.80","433.50","438.20","306.99","24,915","1,08,00,619.44","113"
"29-Jul-2024","EQ","431.95","438.20","431.11","427.82","434.96","432.78","434.56","438.20","306.99","5,357","23,27,922.66","97"
