"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","985.00","998.40","973.00","979.45","977.50","974.55","982.29","1,224.00","820.15","46,577","4,57,52,117.70","5,464"
"23-Aug-2024","EQ","979.25","984.60","966.95","972.25","973.70","979.45","979.68","1,224.00","820.15","52,584","5,15,15,240.60","3,988"
"22-Aug-2024","EQ","981.70","986.00","967.55","977.05","973.35","972.25","973.74","1,224.00","820.15","44,441","4,32,73,866.20","4,174"
"21-Aug-2024","EQ","968.45","985.15","966.80","961.15","978.00","977.05","975.65","1,224.00","820.15","5,54,969","54,14,55,309.55","7,475"
"20-Aug-2024","EQ","956.55","967.00","946.60","951.70","964.60","961.15","952.40","1,224.00","820.15","3,94,892","37,60,96,278.35","8,685"
"19-Aug-2024","EQ","991.80","1,002.25","947.25","985.55","956.95","951.70","962.51","1,224.00","820.15","1,39,814","13,45,72,617.45","9,938"
"16-Aug-2024","EQ","957.55","1,005.00","957.55","957.50","991.50","985.55","992.94","1,224.00","820.15","1,92,037","19,06,81,935.75","10,408"
"14-Aug-2024","EQ","992.00","992.00","947.25","978.75","955.00","957.50","963.81","1,224.00","820.15","67,821","6,53,66,280.45","4,813"
"13-Aug-2024","EQ","990.00","1,010.95","975.00","987.95","978.00","978.75","994.78","1,224.00","820.15","92,065","9,15,84,554.45","6,096"
"12-Aug-2024","EQ","985.90","1,015.80","978.40","978.40","993.20","987.95","1,001.53","1,224.00","820.15","60,045","6,01,36,636.90","10,890"
"09-Aug-2024","EQ","968.20","985.00","967.30","964.40","980.00","978.40","978.17","1,270.00","820.15","27,505","2,69,04,586.25","5,340"
"08-Aug-2024","EQ","968.95","975.00","962.45","960.20","966.30","964.40","967.12","1,270.00","820.15","18,333","1,77,30,210.35","3,771"
"07-Aug-2024","EQ","967.90","977.10","932.50","966.30","961.50","960.20","964.41","1,270.00","820.15","46,409","4,47,57,384.75","7,367"
"06-Aug-2024","EQ","966.65","994.90","932.10","962.75","967.00","966.30","959.38","1,270.00","820.15","2,75,235","26,40,56,006.45","27,568"
"05-Aug-2024","EQ","980.05","983.25","960.35","995.90","964.60","962.75","970.35","1,270.00","820.15","39,719","3,85,41,420.80","8,089"
"02-Aug-2024","EQ","992.70","1,009.40","992.00","1,000.35","995.00","995.90","1,001.27","1,274.00","820.15","26,525","2,65,58,594.70","5,794"
"01-Aug-2024","EQ","1,004.60","1,019.70","995.00","998.70","1,008.95","1,000.35","1,004.32","1,274.00","820.15","54,182","5,44,15,894.20","8,208"
"31-Jul-2024","EQ","1,012.50","1,014.00","994.00","1,007.60","1,000.40","998.70","999.89","1,274.00","820.15","84,289","8,42,79,571.90","6,405"
"30-Jul-2024","EQ","1,024.70","1,028.55","1,000.00","1,019.00","1,011.50","1,007.60","1,023.96","1,274.00","820.15","2,40,729","24,64,97,695.30","24,005"
"29-Jul-2024","EQ","1,020.00","1,030.00","1,010.80","1,003.60","1,022.00","1,019.00","1,020.98","1,274.00","820.15","51,426","5,25,04,968.20","7,288"
