"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","97.97","99.45","97.49","97.20","98.25","98.36","98.40","119.95","81.70","6,101","6,00,341.84","333"
"23-Aug-2024","EQ","99.05","99.26","96.10","98.15","97.45","97.20","98.04","119.95","81.70","6,696","6,56,476.95","352"
"22-Aug-2024","EQ","98.77","99.05","97.00","97.49","98.85","98.15","98.09","119.95","81.70","6,041","5,92,565.29","312"
"21-Aug-2024","EQ","98.17","99.34","96.10","97.32","98.17","97.49","97.72","119.95","81.70","9,769","9,54,647.39","573"
"20-Aug-2024","EQ","97.97","98.57","96.51","96.73","98.30","97.32","97.41","119.95","81.70","5,402","5,26,205.72","392"
"19-Aug-2024","EQ","98.50","100.30","96.00","97.34","97.64","96.73","97.41","119.95","81.70","7,702","7,50,225.50","533"
"16-Aug-2024","EQ","100.97","100.97","97.00","99.38","97.13","97.34","98.34","119.95","81.70","9,598","9,43,831.89","521"
"14-Aug-2024","EQ","100.44","102.50","98.30","99.16","100.00","99.38","100.00","119.95","81.70","9,948","9,94,832.17","508"
"13-Aug-2024","EQ","101.60","103.85","98.00","98.26","98.00","99.16","101.93","119.95","81.70","31,031","31,63,101.44","943"
"12-Aug-2024","EQ","98.30","100.00","97.11","99.64","97.37","98.26","98.11","119.95","81.70","11,129","10,91,819.47","488"
"09-Aug-2024","EQ","100.21","102.19","97.85","96.95","99.01","99.64","99.78","119.95","81.70","9,235","9,21,453.54","842"
"08-Aug-2024","EQ","99.17","100.01","96.00","98.90","97.85","96.95","98.37","119.95","81.70","4,610","4,53,472.99","414"
"07-Aug-2024","EQ","101.95","103.82","98.05","98.51","100.49","98.90","100.03","119.95","81.70","7,618","7,62,015.41","345"
"06-Aug-2024","EQ","101.88","101.88","96.16","97.16","99.10","98.51","99.54","119.95","81.70","12,771","12,71,232.53","590"
"05-Aug-2024","EQ","99.97","100.59","94.00","100.62","95.72","97.16","97.25","119.95","81.70","17,994","17,49,973.57","834"
"02-Aug-2024","EQ","103.98","103.98","100.00","101.11","100.00","100.62","101.09","119.95","81.70","17,960","18,15,640.70","213"
"01-Aug-2024","EQ","101.98","104.99","101.00","100.79","101.30","101.11","101.84","119.95","81.70","15,677","15,96,522.39","268"
"31-Jul-2024","EQ","103.52","103.52","100.00","101.24","101.00","100.79","100.86","119.95","81.70","13,838","13,95,689.38","579"
"30-Jul-2024","EQ","101.39","103.98","101.00","100.86","101.00","101.24","101.85","119.95","81.70","14,723","14,99,486.42","667"
"29-Jul-2024","EQ","104.34","104.34","100.51","101.22","100.60","100.86","102.26","119.95","81.70","13,864","14,17,723.26","529"
