"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","520.00","530.00","508.00","517.75","525.00","523.60","525.13","584.00","176.65","2,06,261","10,83,13,286.15","2,390"
"23-Aug-2024","BE","527.00","527.00","516.00","522.05","518.00","517.75","520.15","584.00","176.65","1,04,164","5,41,80,818.70","1,652"
"22-Aug-2024","BE","522.95","527.90","515.00","518.85","523.00","522.05","522.95","584.00","176.65","2,19,770","11,49,29,643.35","2,721"
"21-Aug-2024","BE","522.60","529.95","515.00","523.20","519.00","518.85","521.23","584.00","176.65","86,248","4,49,55,209.60","1,923"
"20-Aug-2024","BE","540.00","541.60","519.00","530.95","524.80","523.20","525.28","584.00","176.65","1,19,565","6,28,05,541.60","2,933"
"19-Aug-2024","BE","520.00","535.80","520.00","520.70","532.50","530.95","528.93","584.00","176.65","1,95,339","10,33,20,573.05","3,154"
"16-Aug-2024","BE","503.95","523.80","481.00","505.85","520.00","520.70","497.78","584.00","176.65","2,61,527","13,01,82,706.55","6,611"
"14-Aug-2024","BE","526.50","526.50","503.85","530.35","512.50","505.85","506.41","584.00","176.65","2,31,066","11,70,14,065.05","4,673"
"13-Aug-2024","BE","529.00","540.10","505.00","524.70","523.00","530.35","524.58","584.00","176.65","1,75,557","9,20,94,378.10","3,259"
"12-Aug-2024","BE","540.10","545.40","521.00","545.40","530.15","524.70","532.31","584.00","176.65","1,66,158","8,84,46,877.50","4,191"
"09-Aug-2024","BE","551.00","563.90","540.00","543.45","549.50","545.40","551.84","584.00","176.65","1,50,032","8,27,93,289.20","2,399"
"08-Aug-2024","BE","552.00","560.05","530.00","548.10","540.00","543.45","547.96","584.00","176.65","1,79,367","9,82,85,410.55","3,181"
"07-Aug-2024","BE","565.00","569.00","520.00","543.85","545.80","548.10","540.00","584.00","176.65","2,11,920","11,44,36,469.55","4,343"
"06-Aug-2024","BE","583.95","583.95","537.05","565.25","546.00","543.85","557.63","584.00","176.65","4,70,191","26,21,94,159.25","7,599"
"05-Aug-2024","BE","531.25","584.00","531.00","558.90","575.00","565.25","558.94","584.00","176.65","7,56,442","42,28,03,213.90","12,196"
"02-Aug-2024","BE","515.00","558.90","515.00","532.30","558.90","558.90","547.29","558.90","176.65","4,00,811","21,93,58,427.35","5,688"
"01-Aug-2024","BE","515.00","537.90","495.20","512.40","535.10","532.30","524.82","537.90","176.65","4,24,239","22,26,49,487.40","7,044"
"31-Jul-2024","BE","484.00","513.50","464.60","489.05","513.50","512.40","487.68","513.50","176.65","5,87,764","28,66,42,959.85","8,792"
"30-Jul-2024","BE","489.90","496.70","477.00","473.05","492.90","489.05","492.76","496.70","176.65","4,56,356","22,48,74,580.50","6,824"
"29-Jul-2024","BE","460.00","473.05","457.10","450.55","473.05","473.05","471.99","473.05","176.65","1,63,737","7,72,81,634.90","1,802"
