"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","38.78","38.78","36.27","38.03","37.10","37.23","37.22","58.90","31.53","87,433","32,54,448.92","1,650"
"23-Aug-2024","EQ","38.99","38.99","37.55","37.90","38.14","38.03","38.11","58.90","31.53","59,380","22,63,097.70","770"
"22-Aug-2024","EQ","38.55","38.90","37.65","38.41","37.81","37.90","38.13","58.90","31.53","65,389","24,93,038.29","1,252"
"21-Aug-2024","EQ","38.80","38.81","37.81","38.20","38.55","38.41","38.49","58.90","31.53","57,496","22,13,008.68","713"
"20-Aug-2024","EQ","39.30","39.30","37.80","38.39","38.20","38.20","38.35","58.90","31.53","60,366","23,15,296.86","1,111"
"19-Aug-2024","EQ","38.04","39.39","38.01","38.04","38.50","38.39","38.57","58.90","31.53","39,332","15,17,212.99","423"
"16-Aug-2024","EQ","38.70","38.70","36.31","38.32","38.02","38.04","37.91","58.90","31.53","59,830","22,68,168.17","962"
"14-Aug-2024","EQ","38.20","38.90","35.99","37.30","37.50","38.32","38.03","58.90","31.53","1,05,481","40,11,781.43","1,038"
"13-Aug-2024","EQ","38.57","38.80","37.00","37.81","37.42","37.30","37.56","58.90","31.53","52,597","19,75,383.25","1,485"
"12-Aug-2024","EQ","35.80","38.45","34.76","35.29","38.25","37.81","36.33","58.90","31.53","1,46,655","53,27,671.63","2,251"
"09-Aug-2024","EQ","35.68","36.90","35.00","35.68","35.40","35.29","35.61","58.90","31.53","59,548","21,20,683.26","1,240"
"08-Aug-2024","EQ","35.01","36.30","35.01","35.51","35.40","35.68","35.71","58.90","31.53","59,691","21,31,305.72","1,385"
"07-Aug-2024","EQ","35.80","36.03","34.76","35.10","35.98","35.51","35.55","58.90","31.53","61,725","21,94,491.51","1,297"
"06-Aug-2024","EQ","34.50","37.00","34.50","35.29","34.75","35.10","35.56","58.90","31.53","64,568","22,96,253.78","895"
"05-Aug-2024","EQ","34.40","36.13","34.40","36.65","35.10","35.29","35.41","58.90","31.53","54,303","19,23,054.37","849"
"02-Aug-2024","EQ","36.45","37.49","36.10","37.03","36.50","36.65","36.95","58.90","31.53","73,097","27,00,683.20","1,235"
"01-Aug-2024","EQ","37.15","38.60","36.60","37.69","37.25","37.03","37.64","58.90","31.53","58,442","21,99,594.35","1,065"
"31-Jul-2024","EQ","37.17","38.70","36.62","37.17","37.00","37.69","37.96","58.90","31.53","1,74,647","66,28,821.93","2,505"
"30-Jul-2024","EQ","38.10","38.10","36.70","37.55","37.40","37.17","37.52","58.90","31.53","57,503","21,57,419.80","1,362"
"29-Jul-2024","EQ","38.20","38.99","37.01","38.20","37.65","37.55","37.97","58.90","31.53","91,310","34,67,396.07","1,711"
