"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,544.65","1,608.75","1,511.40","1,540.95","1,595.00","1,599.40","1,570.98","1,608.75","918.00","4,76,748","74,89,62,456.65","35,897"
"23-Aug-2024","EQ","1,534.00","1,548.00","1,518.00","1,525.95","1,538.80","1,540.95","1,534.33","1,565.95","918.00","2,19,568","33,68,90,808.00","18,934"
"22-Aug-2024","EQ","1,451.20","1,535.00","1,449.05","1,451.15","1,528.00","1,525.95","1,508.94","1,565.95","918.00","3,99,200","60,23,67,507.90","23,618"
"21-Aug-2024","EQ","1,457.00","1,474.00","1,441.00","1,458.10","1,455.90","1,451.15","1,457.01","1,565.95","918.00","60,552","8,82,25,168.65","5,544"
"20-Aug-2024","EQ","1,475.35","1,479.00","1,450.00","1,475.35","1,457.00","1,458.10","1,462.97","1,565.95","918.00","81,387","11,90,66,462.30","9,814"
"19-Aug-2024","EQ","1,460.00","1,508.00","1,448.30","1,460.55","1,475.95","1,475.35","1,488.63","1,565.95","918.00","2,45,003","36,47,18,888.75","23,777"
"16-Aug-2024","EQ","1,442.50","1,495.00","1,442.45","1,440.05","1,456.00","1,460.55","1,474.89","1,565.95","918.00","2,98,486","44,02,32,564.80","26,067"
"14-Aug-2024","EQ","1,414.05","1,451.00","1,406.00","1,414.25","1,442.00","1,440.05","1,432.92","1,565.95","918.00","1,10,439","15,82,49,982.35","13,475"
"13-Aug-2024","EQ","1,459.15","1,466.40","1,405.20","1,459.15","1,413.90","1,414.25","1,444.15","1,565.95","918.00","1,39,274","20,11,32,165.90","14,982"
"12-Aug-2024","EQ","1,415.00","1,465.00","1,400.90","1,414.35","1,454.00","1,459.15","1,443.96","1,565.95","918.00","1,95,100","28,17,17,041.80","24,283"
"09-Aug-2024","EQ","1,342.05","1,423.50","1,342.05","1,339.95","1,419.65","1,414.35","1,401.29","1,565.95","918.00","3,74,197","52,43,57,899.45","21,393"
"08-Aug-2024","EQ","1,355.00","1,358.90","1,327.95","1,347.40","1,340.00","1,339.95","1,340.46","1,565.95","918.00","73,762","9,88,74,842.90","10,543"
"07-Aug-2024","EQ","1,334.55","1,364.80","1,331.00","1,334.70","1,347.00","1,347.40","1,348.00","1,565.95","918.00","76,439","10,30,39,593.55","10,686"
"06-Aug-2024","EQ","1,349.90","1,360.45","1,327.30","1,323.45","1,338.00","1,334.70","1,338.06","1,565.95","918.00","86,129","11,52,45,773.10","11,115"
"05-Aug-2024","EQ","1,322.35","1,364.95","1,318.55","1,394.90","1,325.00","1,323.45","1,333.79","1,565.95","918.00","2,59,798","34,65,15,683.85","32,726"
"02-Aug-2024","EQ","1,367.00","1,432.60","1,314.20","1,382.10","1,370.00","1,394.90","1,362.82","1,565.95","861.20","3,33,785","45,48,87,543.30","38,178"
"01-Aug-2024","EQ","1,402.35","1,418.90","1,376.75","1,402.35","1,389.95","1,382.10","1,391.60","1,565.95","861.20","1,10,800","15,41,89,056.70","12,130"
"31-Jul-2024","EQ","1,413.15","1,427.45","1,400.00","1,413.15","1,400.00","1,402.35","1,411.17","1,565.95","861.20","78,520","11,08,04,956.90","11,406"
"30-Jul-2024","EQ","1,424.00","1,432.75","1,409.55","1,421.40","1,417.60","1,413.15","1,419.81","1,565.95","861.20","53,736","7,62,95,058.70","7,640"
"29-Jul-2024","EQ","1,419.95","1,459.90","1,405.00","1,412.85","1,425.85","1,421.40","1,428.28","1,565.95","861.20","1,67,244","23,88,71,656.65","16,562"
