"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","308.70","308.90","305.80","306.00","306.60","306.70","307.18","340.50","127.00","1,52,80,637","4,69,39,05,703.95","1,17,141"
"23-Aug-2024","EQ","305.50","309.20","304.10","304.50","306.10","306.00","306.76","340.50","127.00","2,18,91,698","6,71,53,92,732.40","1,41,433"
"22-Aug-2024","EQ","306.40","306.90","303.50","305.40","304.20","304.50","304.89","340.50","127.00","1,30,74,829","3,98,63,40,437.60","92,353"
"21-Aug-2024","EQ","303.00","306.75","302.55","303.15","306.30","305.40","304.31","340.50","127.00","1,18,62,616","3,60,98,89,376.15","98,031"
"20-Aug-2024","EQ","302.15","304.50","297.80","302.15","302.75","303.15","301.51","340.50","127.00","1,41,83,642","4,27,65,23,117.30","1,09,619"
"19-Aug-2024","EQ","304.80","305.55","301.10","303.30","302.50","302.15","303.35","340.50","127.00","1,22,32,725","3,71,08,01,334.15","1,07,693"
"16-Aug-2024","EQ","296.50","303.90","296.00","293.70","303.55","303.30","300.35","340.50","126.75","2,13,53,408","6,41,35,52,333.55","1,31,914"
"14-Aug-2024","EQ","296.15","297.05","290.65","296.15","294.65","293.70","293.70","340.50","126.75","1,66,41,055","4,88,74,01,137.35","1,30,227"
"13-Aug-2024","EQ","302.00","302.65","295.40","301.40","296.10","296.15","299.82","340.50","126.75","1,47,46,085","4,42,11,44,528.75","1,90,100"
"12-Aug-2024","EQ","299.00","303.65","298.25","302.20","301.30","301.40","301.52","340.50","126.75","1,53,61,379","4,63,18,12,090.35","1,78,931"
"09-Aug-2024","EQ","302.50","305.00","300.65","298.25","301.90","302.20","302.87","340.50","126.60","1,55,51,076","4,70,99,79,893.30","1,14,363"
"08-Aug-2024","EQ","301.00","302.70","297.15","300.20","297.80","298.25","299.38","340.50","126.60","2,19,63,656","6,57,55,58,038.15","1,51,421"
"07-Aug-2024","EQ","295.50","301.00","289.80","287.25","300.65","300.20","295.97","340.50","126.60","2,21,99,473","6,57,03,90,811.00","1,73,796"
"06-Aug-2024","EQ","292.00","302.60","286.35","290.25","287.80","287.25","293.76","340.50","126.60","3,91,71,936","11,50,72,76,878.70","3,41,869"
"05-Aug-2024","EQ","289.85","297.45","285.00","302.95","289.35","290.25","291.31","340.50","126.60","5,03,90,560","14,67,92,41,428.70","5,34,296"
"02-Aug-2024","EQ","305.30","308.70","301.70","311.15","303.15","302.95","304.78","340.50","123.50","2,61,55,604","7,97,17,22,287.35","2,85,981"
"01-Aug-2024","EQ","317.70","317.70","308.05","316.05","311.50","311.15","312.01","340.50","123.50","2,81,41,436","8,78,04,75,983.15","2,50,799"
"31-Jul-2024","EQ","319.90","320.60","315.45","318.10","316.30","316.05","317.09","340.50","123.50","2,57,09,971","8,15,22,64,097.05","2,00,287"
"30-Jul-2024","EQ","325.20","326.55","317.60","321.35","317.80","318.10","321.12","340.50","123.50","4,11,11,245","13,20,14,53,383.20","2,88,057"
"29-Jul-2024","EQ","312.80","325.60","310.85","309.90","321.30","321.35","318.88","340.50","123.50","5,13,91,698","16,38,76,95,590.30","3,63,672"
