"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","12,690.00","12,880.00","12,600.00","12,486.85","12,810.90","12,801.30","12,725.49","13,289.95","8,332.75","7,496","9,53,90,251.20","2,410"
"23-Aug-2024","EQ","12,305.00","12,736.40","12,238.55","12,304.35","12,491.00","12,486.85","12,503.21","13,289.95","8,332.75","7,592","9,49,24,378.20","3,119"
"22-Aug-2024","EQ","12,419.05","12,580.15","12,200.00","12,314.20","12,305.00","12,304.35","12,423.14","13,289.95","8,332.75","6,011","7,46,75,522.40","2,441"
"21-Aug-2024","EQ","12,300.00","12,553.90","12,151.00","12,537.70","12,315.00","12,314.20","12,318.56","13,289.95","8,332.75","6,740","8,30,27,122.50","2,582"
"20-Aug-2024","EQ","12,752.25","12,752.25","12,270.80","12,434.35","12,480.00","12,537.70","12,498.38","13,289.95","8,332.75","12,990","16,23,53,899.95","5,042"
"19-Aug-2024","EQ","13,071.30","13,071.30","12,338.00","13,071.30","12,500.00","12,434.35","12,664.58","13,289.95","8,332.75","15,299","19,37,55,454.20","5,125"
"16-Aug-2024","EQ","12,172.80","13,289.95","12,172.80","12,172.80","13,001.00","13,071.30","12,869.13","13,289.95","8,332.75","28,883","37,16,98,993.40","10,058"
"14-Aug-2024","EQ","12,048.60","12,869.95","11,845.70","12,048.60","12,148.60","12,172.80","12,400.33","13,276.90","8,332.75","22,609","28,03,58,987.25","8,188"
"13-Aug-2024","EQ","12,700.00","12,700.00","11,873.70","12,568.00","12,015.15","12,048.60","12,346.21","13,276.90","8,332.75","18,941","23,38,49,656.90","6,527"
"12-Aug-2024","EQ","12,808.00","13,028.25","11,922.15","12,815.15","12,300.00","12,568.00","12,474.55","13,276.90","8,332.75","47,210","58,89,23,622.50","15,566"
"09-Aug-2024","EQ","12,000.00","12,815.15","12,000.00","10,679.30","12,815.15","12,815.15","12,731.21","13,276.90","8,332.75","74,352","94,65,90,698.90","6,216"
"08-Aug-2024","EQ","10,655.30","10,750.05","10,565.05","10,518.70","10,700.00","10,679.30","10,661.83","13,276.90","8,332.75","3,323","3,54,29,254.45","1,560"
"07-Aug-2024","EQ","10,661.50","10,761.95","10,469.10","10,503.95","10,511.05","10,518.70","10,586.43","13,276.90","8,332.75","5,719","6,05,43,817.10","1,867"
"06-Aug-2024","EQ","10,713.75","10,906.00","10,333.10","10,713.75","10,600.00","10,503.95","10,721.59","13,276.90","8,332.75","7,098","7,61,01,867.40","2,279"
"05-Aug-2024","EQ","10,600.00","10,948.30","10,271.00","10,789.40","10,735.00","10,713.75","10,559.72","13,276.90","8,332.75","8,164","8,62,09,574.35","3,530"
"02-Aug-2024","EQ","10,900.00","11,083.70","10,750.00","10,858.45","10,800.00","10,789.40","10,863.58","13,276.90","8,332.75","7,111","7,72,50,901.65","2,310"
"01-Aug-2024","EQ","11,320.25","11,366.60","10,655.55","11,292.85","10,979.90","10,858.45","10,898.44","13,276.90","8,332.75","17,171","18,71,37,168.55","5,703"
"31-Jul-2024","EQ","11,250.10","11,732.00","11,250.10","11,219.35","11,308.25","11,292.85","11,455.64","13,276.90","8,332.75","11,333","12,98,26,797.35","3,979"
"30-Jul-2024","EQ","11,142.05","11,279.30","11,038.75","11,141.10","11,220.00","11,219.35","11,165.92","13,276.90","8,332.75","11,921","13,31,08,901.75","3,561"
"29-Jul-2024","EQ","11,195.80","11,351.00","10,950.00","11,092.05","11,240.00","11,141.10","11,182.62","13,276.90","8,332.75","14,634","16,36,46,412.25","3,908"
