"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","264.05","280.00","261.05","263.60","280.00","277.95","274.99","400.60","202.05","8,75,678","24,08,03,101.30","22,028"
"23-Aug-2024","EQ","264.75","270.25","259.55","260.25","263.50","263.60","264.94","400.60","199.75","4,14,380","10,97,85,230.10","13,261"
"22-Aug-2024","EQ","267.00","267.25","257.25","265.55","260.00","260.25","261.06","400.60","199.75","2,68,533","7,01,03,398.70","8,663"
"21-Aug-2024","EQ","272.00","272.50","262.25","270.85","265.50","265.55","265.76","400.60","199.75","2,26,502","6,01,95,086.25","10,565"
"20-Aug-2024","EQ","273.05","274.40","260.95","271.70","273.00","270.85","268.68","400.60","199.75","5,78,706","15,54,87,580.45","26,553"
"19-Aug-2024","EQ","227.55","274.90","226.60","230.60","271.50","271.70","262.24","400.60","199.75","15,98,355","41,91,49,748.65","46,500"
"16-Aug-2024","EQ","229.50","232.30","226.05","225.85","232.30","230.60","229.19","400.60","199.75","61,855","1,41,76,435.20","4,446"
"14-Aug-2024","EQ","233.40","234.95","223.65","233.40","228.50","225.85","229.05","400.60","199.75","1,16,459","2,66,74,825.25","8,007"
"13-Aug-2024","EQ","243.00","243.00","233.00","242.45","234.00","233.40","237.03","400.60","199.75","1,74,658","4,13,98,673.00","8,243"
"12-Aug-2024","EQ","251.10","251.10","241.25","245.10","243.00","242.45","246.17","400.60","199.75","92,030","2,26,55,359.00","5,365"
"09-Aug-2024","EQ","243.90","251.00","243.15","240.65","244.60","245.10","247.42","400.60","199.75","1,45,440","3,59,85,248.70","8,575"
"08-Aug-2024","EQ","242.90","244.05","239.15","239.30","241.55","240.65","241.37","400.60","199.75","63,410","1,53,05,160.75","3,389"
"07-Aug-2024","EQ","238.55","242.05","235.95","233.75","239.45","239.30","238.50","400.60","199.75","85,006","2,02,73,728.70","5,579"
"06-Aug-2024","EQ","239.00","246.00","232.50","240.25","234.85","233.75","240.05","400.60","199.75","1,45,809","3,50,02,105.20","7,573"
"05-Aug-2024","EQ","248.00","250.60","235.35","255.20","240.00","240.25","241.98","400.60","199.75","2,82,246","6,82,99,039.20","10,507"
"02-Aug-2024","EQ","251.15","263.65","250.50","264.70","254.80","255.20","256.23","400.60","199.75","4,76,204","12,20,18,974.90","14,189"
"01-Aug-2024","EQ","263.00","274.00","260.35","260.95","266.00","264.70","268.20","400.60","199.75","4,43,509","11,89,50,479.75","17,191"
"31-Jul-2024","EQ","265.00","265.05","258.55","263.35","263.00","260.95","261.26","400.60","199.75","1,66,153","4,34,08,661.75","5,885"
"30-Jul-2024","EQ","265.00","267.00","262.00","262.70","265.00","263.35","264.47","400.60","199.75","1,25,244","3,31,23,034.90","6,157"
"29-Jul-2024","EQ","260.00","267.55","254.55","259.10","264.80","262.70","263.13","400.60","199.75","2,80,655","7,38,47,925.85","11,033"
