"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","297.75","304.00","294.60","296.20","297.30","297.30","298.82","335.35","106.05","1,55,60,440","4,64,98,07,691.80","1,04,681"
"23-Aug-2024","EQ","299.95","301.35","295.25","299.65","295.80","296.20","298.78","335.35","97.50","75,28,035","2,24,92,22,133.40","59,113"
"22-Aug-2024","EQ","298.00","302.50","296.85","296.65","299.25","299.65","300.09","335.35","97.50","1,20,84,994","3,62,66,13,513.50","79,646"
"21-Aug-2024","EQ","296.30","297.70","294.85","296.40","297.05","296.65","296.26","335.35","97.50","48,98,623","1,45,12,69,868.80","45,409"
"20-Aug-2024","EQ","294.35","296.90","291.65","293.75","296.15","296.40","294.40","335.35","97.50","74,15,963","2,18,32,45,320.50","60,390"
"19-Aug-2024","EQ","297.90","299.50","293.35","296.55","293.90","293.75","295.92","335.35","97.50","98,09,448","2,90,28,16,370.80","72,060"
"16-Aug-2024","EQ","293.00","297.65","289.30","290.00","296.10","296.55","293.53","335.35","97.50","1,01,18,811","2,97,01,56,590.80","72,393"
"14-Aug-2024","EQ","291.85","293.40","286.30","289.95","290.50","290.00","289.95","335.35","97.50","1,06,43,943","3,08,61,74,560.60","82,678"
"13-Aug-2024","EQ","300.55","301.35","289.00","298.70","290.25","289.95","295.02","335.35","97.50","1,14,61,814","3,38,14,99,889.75","87,795"
"12-Aug-2024","EQ","300.05","302.65","296.55","302.20","298.50","298.70","299.53","335.35","97.50","1,18,27,604","3,54,27,58,824.30","79,554"
"09-Aug-2024","EQ","302.00","305.80","299.15","297.85","302.00","302.20","302.28","335.35","94.80","1,28,05,164","3,87,07,68,876.90","79,468"
"08-Aug-2024","EQ","304.90","304.90","297.10","304.60","297.50","297.85","300.47","335.35","94.80","1,16,40,751","3,49,77,38,561.85","79,436"
"07-Aug-2024","EQ","293.40","305.60","292.30","287.55","305.50","304.60","299.38","335.35","94.80","1,89,11,910","5,66,18,61,327.65","1,24,973"
"06-Aug-2024","EQ","292.00","301.90","285.70","291.65","287.75","287.55","295.18","335.35","94.80","1,77,19,054","5,23,03,10,701.65","1,35,606"
"05-Aug-2024","EQ","292.00","295.90","285.00","301.65","290.20","291.65","290.67","335.35","94.80","2,57,62,827","7,48,84,91,457.35","2,27,127"
"02-Aug-2024","EQ","303.40","309.60","300.60","308.50","301.50","301.65","304.48","335.35","94.80","1,68,99,884","5,14,56,15,845.45","1,32,502"
"01-Aug-2024","EQ","314.70","319.95","305.85","315.25","308.60","308.50","312.69","335.35","94.80","2,38,14,781","7,44,66,62,180.75","1,47,405"
"31-Jul-2024","EQ","316.40","319.45","311.85","317.40","315.00","315.25","315.42","335.35","94.80","2,68,45,162","8,46,74,28,366.05","1,68,729"
"30-Jul-2024","EQ","323.00","327.00","316.60","323.05","317.60","317.40","321.82","335.35","94.80","1,63,17,537","5,25,12,97,240.30","1,28,875"
"29-Jul-2024","EQ","327.00","327.00","319.10","317.30","323.60","323.05","322.54","335.35","94.80","2,58,20,136","8,32,79,25,862.60","1,63,156"
