"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","352.00","355.75","352.00","351.60","352.60","353.25","353.80","376.80","217.50","13,50,106","47,76,63,560.80","15,813"
"23-Aug-2024","EQ","358.00","358.00","350.85","356.50","352.00","351.60","353.07","376.80","217.50","13,12,131","46,32,71,588.80","14,249"
"22-Aug-2024","EQ","357.40","359.05","353.70","355.00","356.50","356.50","356.26","376.80","217.50","23,68,633","84,38,54,908.80","34,586"
"21-Aug-2024","EQ","346.65","356.45","345.55","346.75","356.20","355.00","352.49","376.80","217.50","35,48,478","1,25,08,19,709.80","27,049"
"20-Aug-2024","EQ","346.50","350.90","343.30","344.80","346.65","346.75","347.24","376.80","217.50","42,96,486","1,49,19,02,927.10","31,091"
"19-Aug-2024","EQ","342.00","347.40","340.65","340.95","344.85","344.80","344.52","376.80","217.50","34,53,510","1,18,98,12,438.65","33,140"
"16-Aug-2024","EQ","330.00","342.00","328.10","327.65","340.90","340.95","335.29","376.80","217.50","30,40,369","1,01,94,15,313.90","31,067"
"14-Aug-2024","EQ","337.60","338.00","323.35","337.10","327.60","327.65","328.56","376.80","217.50","37,13,151","1,21,99,91,989.70","38,419"
"13-Aug-2024","EQ","338.00","342.00","334.05","337.85","335.60","337.10","338.45","376.80","217.50","33,60,380","1,13,73,11,921.25","40,222"
"12-Aug-2024","EQ","330.25","342.00","330.25","336.95","337.60","337.85","338.14","376.80","217.50","42,81,522","1,44,77,46,066.25","61,843"
"09-Aug-2024","EQ","339.15","345.00","332.65","339.15","338.40","336.95","337.47","376.80","217.50","1,00,05,232","3,37,64,75,329.75","71,900"
"08-Aug-2024","EQ","346.90","349.55","336.85","346.85","338.00","339.15","343.96","376.80","217.50","40,03,614","1,37,70,63,232.30","35,324"
"07-Aug-2024","EQ","342.00","348.05","335.30","334.50","347.15","346.85","342.36","376.80","217.50","36,45,534","1,24,80,79,515.30","48,960"
"06-Aug-2024","EQ","341.40","349.40","332.25","340.40","334.65","334.50","341.77","376.80","217.50","29,81,838","1,01,91,16,982.95","29,291"
"05-Aug-2024","EQ","344.05","352.85","333.70","356.10","337.85","340.40","342.17","376.80","217.50","56,20,180","1,92,30,32,239.80","55,428"
"02-Aug-2024","EQ","350.15","362.70","348.05","354.75","356.00","356.10","355.72","376.80","217.50","38,28,727","1,36,19,71,530.20","42,360"
"01-Aug-2024","EQ","362.50","370.45","353.50","362.35","355.35","354.75","361.19","376.80","217.50","41,77,876","1,50,90,21,733.65","40,330"
"31-Jul-2024","EQ","360.55","366.80","360.40","359.45","361.75","362.35","364.07","376.80","217.50","26,99,613","98,28,60,106.70","27,346"
"30-Jul-2024","EQ","361.90","364.55","358.40","361.85","360.55","359.45","361.14","376.80","217.50","16,60,024","59,95,05,663.95","18,452"
"29-Jul-2024","EQ","370.80","370.80","359.80","368.50","361.90","361.85","362.83","376.80","217.50","40,52,190","1,47,02,75,500.35","32,957"
