"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","277.15","289.45","273.00","274.95","285.95","285.60","283.21","377.45","151.20","3,91,753","11,09,47,509.35","15,475"
"23-Aug-2024","EQ","278.70","279.80","274.00","277.40","274.45","274.95","276.34","377.45","151.20","1,42,171","3,92,87,519.35","6,569"
"22-Aug-2024","EQ","279.95","284.20","275.85","279.70","277.15","277.40","280.19","377.45","151.20","1,85,987","5,21,11,487.10","6,550"
"21-Aug-2024","EQ","280.40","284.85","277.85","278.80","279.15","279.70","281.25","377.45","151.20","1,39,077","3,91,15,440.85","5,284"
"20-Aug-2024","EQ","282.70","284.95","278.00","280.90","278.45","278.80","280.11","377.45","151.20","1,00,187","2,80,63,231.80","4,268"
"19-Aug-2024","EQ","283.55","287.40","279.35","281.30","281.65","280.90","283.29","377.45","151.20","1,71,144","4,84,84,220.95","7,574"
"16-Aug-2024","EQ","278.40","284.75","275.15","274.10","280.95","281.30","280.09","377.45","151.20","1,44,561","4,04,89,741.55","7,103"
"14-Aug-2024","EQ","281.70","283.70","273.00","280.75","274.40","274.10","276.08","377.45","151.20","1,54,311","4,26,01,523.95","7,217"
"13-Aug-2024","EQ","288.00","290.20","277.00","286.95","284.00","280.75","283.52","377.45","151.20","1,81,849","5,15,57,097.60","7,981"
"12-Aug-2024","EQ","286.00","292.30","284.05","290.20","287.25","286.95","288.44","377.45","151.20","2,04,502","5,89,87,386.25","7,875"
"09-Aug-2024","EQ","293.60","294.00","286.00","287.90","288.10","290.20","289.80","377.45","151.20","1,27,984","3,70,90,390.70","5,253"
"08-Aug-2024","EQ","290.00","294.45","287.00","294.00","287.50","287.90","290.88","377.45","151.20","1,03,844","3,02,05,922.20","5,266"
"07-Aug-2024","EQ","286.90","296.65","285.00","282.30","296.65","294.00","290.72","377.45","151.20","2,40,433","6,98,98,421.15","9,516"
"06-Aug-2024","EQ","296.00","302.15","280.20","293.30","284.00","282.30","290.11","377.45","151.20","3,43,218","9,95,69,560.25","13,501"
"05-Aug-2024","EQ","291.00","304.05","290.65","314.95","293.00","293.30","295.43","377.45","151.20","5,00,897","14,79,78,072.90","19,288"
"02-Aug-2024","EQ","311.00","319.90","308.45","314.05","314.50","314.95","315.38","377.45","151.20","2,51,383","7,92,81,458.80","10,795"
"01-Aug-2024","EQ","333.10","334.05","311.95","331.05","314.95","314.05","318.28","377.45","151.20","4,71,568","15,00,88,872.30","21,970"
"31-Jul-2024","EQ","339.80","342.70","328.10","337.50","330.05","331.05","334.19","377.45","151.20","2,65,917","8,88,66,098.15","10,160"
"30-Jul-2024","EQ","328.60","344.05","327.50","328.35","338.30","337.50","339.31","377.45","151.20","7,04,077","23,88,97,920.95","27,413"
"29-Jul-2024","EQ","326.05","336.50","326.05","324.90","329.00","328.35","331.62","377.45","151.20","3,93,554","13,05,09,596.45","15,499"
