"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","114.70","115.81","112.95","114.64","113.50","113.26","114.15","120.21","47.00","7,92,585","9,04,77,259.39","10,330"
"23-Aug-2024","EQ","116.15","116.15","112.82","115.14","114.28","114.64","114.31","120.21","47.00","7,79,182","8,90,71,732.43","9,234"
"22-Aug-2024","EQ","117.00","117.79","114.36","116.20","115.40","115.14","115.88","120.21","47.00","9,64,555","11,17,73,365.47","9,477"
"21-Aug-2024","EQ","116.40","117.49","114.00","112.80","115.92","116.20","116.01","120.21","47.00","18,56,696","21,53,91,821.33","15,214"
"20-Aug-2024","EQ","112.10","114.00","110.53","111.70","113.99","112.80","112.08","120.21","47.00","8,55,029","9,58,35,152.98","7,793"
"19-Aug-2024","EQ","111.51","113.51","110.51","111.97","112.50","111.70","111.79","120.21","47.00","9,32,133","10,41,99,341.17","8,097"
"16-Aug-2024","EQ","113.40","114.00","109.30","113.80","110.70","111.97","112.02","120.21","42.00","17,38,733","19,47,65,295.56","16,087"
"14-Aug-2024","EQ","112.45","116.40","107.26","111.70","111.10","113.80","111.46","120.21","42.00","36,81,392","41,03,38,105.72","29,301"
"13-Aug-2024","EQ","114.48","120.21","110.95","113.99","111.45","111.70","115.96","120.21","42.00","31,60,960","36,65,31,552.61","24,795"
"12-Aug-2024","EQ","111.51","117.40","109.01","113.07","114.00","113.99","113.64","117.40","42.00","23,67,999","26,90,87,916.17","28,306"
"09-Aug-2024","EQ","110.95","116.00","110.95","110.25","113.57","113.07","113.24","116.00","40.90","22,02,898","24,94,58,125.73","20,730"
"08-Aug-2024","EQ","110.00","113.40","107.00","109.01","110.40","110.25","110.83","113.40","40.90","25,15,312","27,87,59,869.43","21,134"
"07-Aug-2024","EQ","102.65","110.00","100.25","99.89","109.15","109.01","106.87","113.40","40.90","28,09,798","30,02,84,579.87","26,126"
"06-Aug-2024","EQ","105.00","105.14","99.50","101.87","100.10","99.89","102.28","113.40","40.90","13,86,487","14,18,16,439.39","15,459"
"05-Aug-2024","EQ","98.00","103.75","97.80","103.10","101.80","101.87","100.61","113.40","40.90","23,41,555","23,55,86,805.83","21,978"
"02-Aug-2024","EQ","101.50","105.00","101.00","103.97","104.25","103.10","103.43","113.40","38.80","8,38,891","8,67,65,810.57","9,652"
"01-Aug-2024","EQ","106.00","108.30","103.01","106.44","104.20","103.97","105.79","113.40","38.80","9,40,692","9,95,11,771.04","11,382"
"31-Jul-2024","EQ","109.97","110.00","106.12","108.97","106.54","106.44","107.14","113.40","38.80","7,69,440","8,24,39,802.15","7,169"
"30-Jul-2024","EQ","108.25","111.00","106.99","108.29","109.60","108.97","108.80","113.40","38.80","10,83,126","11,78,41,872.21","10,911"
"29-Jul-2024","EQ","108.09","113.40","107.00","106.21","108.29","108.29","109.76","113.40","38.80","21,89,059","24,02,71,767.38","20,770"
