"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,723.60","1,736.60","1,671.00","1,723.60","1,705.00","1,688.95","1,693.17","1,897.80","710.00","4,34,665","73,59,60,048.55","34,446"
"23-Aug-2024","EQ","1,759.70","1,759.70","1,711.10","1,746.50","1,719.70","1,723.60","1,724.95","1,897.80","701.70","2,28,930","39,48,92,791.20","43,434"
"22-Aug-2024","EQ","1,724.85","1,779.00","1,711.40","1,706.15","1,747.05","1,746.50","1,747.81","1,897.80","701.70","7,52,669","1,31,55,19,221.70","58,553"
"21-Aug-2024","EQ","1,710.40","1,719.65","1,684.50","1,707.55","1,704.90","1,706.15","1,697.68","1,897.80","701.70","2,93,187","49,77,38,846.65","30,128"
"20-Aug-2024","EQ","1,741.00","1,757.90","1,671.50","1,731.90","1,712.00","1,707.55","1,708.32","1,897.80","701.70","5,06,173","86,47,04,752.25","57,478"
"19-Aug-2024","EQ","1,723.25","1,747.10","1,702.85","1,718.65","1,729.80","1,731.90","1,728.88","1,897.80","701.70","2,90,352","50,19,83,252.00","33,212"
"16-Aug-2024","EQ","1,728.35","1,749.00","1,700.05","1,723.75","1,713.90","1,718.65","1,722.97","1,897.80","701.70","5,82,461","1,00,35,60,295.70","45,099"
"14-Aug-2024","EQ","1,730.00","1,735.55","1,674.50","1,713.70","1,712.50","1,723.75","1,715.87","1,897.80","701.70","4,39,338","75,38,46,335.80","29,532"
"13-Aug-2024","EQ","1,640.50","1,729.00","1,630.60","1,617.60","1,710.05","1,713.70","1,703.78","1,897.80","701.70","13,43,852","2,28,96,32,035.65","86,948"
"12-Aug-2024","EQ","1,601.00","1,630.00","1,565.05","1,604.80","1,622.20","1,617.60","1,598.06","1,897.80","701.70","3,63,911","58,15,52,480.15","33,755"
"09-Aug-2024","EQ","1,640.00","1,650.00","1,596.00","1,619.05","1,606.00","1,604.80","1,611.60","1,897.80","701.70","2,06,295","33,24,65,741.10","25,547"
"08-Aug-2024","EQ","1,620.90","1,648.00","1,594.95","1,622.05","1,618.40","1,619.05","1,619.43","1,897.80","701.70","2,88,203","46,67,23,367.25","32,873"
"07-Aug-2024","EQ","1,606.00","1,629.00","1,539.10","1,589.35","1,624.10","1,622.05","1,581.30","1,897.80","701.70","7,05,684","1,11,58,96,042.65","63,963"
"06-Aug-2024","EQ","1,656.95","1,656.95","1,548.15","1,626.95","1,562.00","1,589.35","1,595.59","1,897.80","701.70","7,65,159","1,22,08,82,226.30","64,190"
"05-Aug-2024","EQ","1,656.00","1,668.85","1,603.55","1,715.15","1,622.05","1,626.95","1,629.44","1,897.80","701.70","4,73,647","77,17,80,218.55","66,214"
"02-Aug-2024","EQ","1,745.00","1,747.25","1,705.05","1,756.25","1,711.00","1,715.15","1,724.65","1,897.80","701.70","1,36,180","23,48,63,307.50","21,029"
"01-Aug-2024","EQ","1,737.95","1,763.95","1,727.35","1,723.70","1,761.00","1,756.25","1,750.46","1,897.80","701.70","2,99,348","52,39,97,789.95","38,523"
"31-Jul-2024","EQ","1,720.60","1,753.80","1,715.65","1,723.55","1,728.00","1,723.70","1,730.72","1,897.80","701.70","2,47,262","42,79,40,435.15","30,601"
"30-Jul-2024","EQ","1,745.00","1,765.00","1,715.05","1,741.95","1,725.00","1,723.55","1,749.48","1,897.80","701.70","2,00,143","35,01,45,370.25","26,765"
"29-Jul-2024","EQ","1,715.00","1,760.00","1,685.00","1,713.50","1,755.00","1,741.95","1,720.90","1,897.80","701.70","2,50,121","43,04,34,433.05","23,778"
