"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","433.15","433.80","422.10","431.40","428.05","428.40","426.70","446.80","285.25","1,95,803","8,35,49,617.10","8,681"
"23-Aug-2024","EQ","428.25","436.90","424.05","427.25","431.00","431.40","431.31","446.80","285.25","2,26,874","9,78,53,983.80","10,874"
"22-Aug-2024","EQ","443.10","446.55","425.25","443.05","429.00","427.25","432.59","446.80","285.25","2,42,807","10,50,35,705.60","11,992"
"21-Aug-2024","EQ","415.10","446.80","415.00","414.20","443.10","443.05","438.10","446.80","285.25","11,49,511","50,36,04,619.95","35,119"
"20-Aug-2024","EQ","414.85","418.70","411.30","414.80","414.30","414.20","415.48","435.00","285.25","2,27,882","9,46,79,583.65","6,969"
"19-Aug-2024","EQ","408.00","417.80","406.60","410.85","413.50","414.80","413.45","435.00","285.25","3,16,758","13,09,62,317.40","13,222"
"16-Aug-2024","EQ","411.05","435.00","399.20","400.20","406.10","410.85","416.94","435.00","285.25","17,97,020","74,92,40,890.95","58,979"
"14-Aug-2024","EQ","388.70","410.70","376.60","387.15","406.00","400.20","394.41","420.00","285.25","3,22,810","12,73,19,945.70","13,364"
"13-Aug-2024","EQ","396.60","399.15","383.30","396.70","389.00","387.15","390.84","420.00","285.25","1,37,514","5,37,45,511.85","9,629"
"12-Aug-2024","EQ","399.00","407.00","388.25","397.15","395.00","396.70","400.45","420.00","285.25","4,04,650","16,20,43,058.45","19,762"
"09-Aug-2024","EQ","398.80","401.60","392.55","396.85","396.65","397.15","396.35","420.00","285.25","2,20,667","8,74,62,209.85","12,696"
"08-Aug-2024","EQ","383.10","407.50","382.55","382.80","396.00","396.85","399.82","420.00","285.25","14,61,365","58,42,76,144.05","52,586"
"07-Aug-2024","EQ","365.50","383.70","361.40","361.60","382.50","382.80","376.13","420.00","285.25","3,12,099","11,73,88,935.60","14,740"
"06-Aug-2024","EQ","366.00","376.70","356.10","363.10","364.00","361.60","366.96","420.00","285.25","2,17,334","7,97,52,969.20","14,223"
"05-Aug-2024","EQ","374.85","374.85","359.00","379.65","360.25","363.10","365.51","420.00","285.25","2,83,979","10,37,97,250.00","18,535"
"02-Aug-2024","EQ","373.95","388.00","369.10","378.30","378.10","379.65","375.89","420.00","285.25","1,89,460","7,12,16,987.25","12,299"
"01-Aug-2024","EQ","380.00","388.90","374.95","377.75","380.00","378.30","382.32","420.00","285.25","5,43,192","20,76,72,084.50","26,517"
"31-Jul-2024","EQ","373.90","383.15","367.85","370.10","379.80","377.75","377.76","420.00","285.25","4,74,037","17,90,71,369.25","15,897"
"30-Jul-2024","EQ","360.00","374.00","356.40","359.70","370.00","370.10","365.92","420.00","285.25","3,31,444","12,12,82,659.05","13,731"
"29-Jul-2024","EQ","367.20","368.00","355.70","364.35","360.10","359.70","360.63","420.00","285.25","2,55,188","9,20,27,692.80","9,009"
