"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","39.40","39.77","39.32","39.44","39.60","39.64","39.63","40.08","24.20","98,572","39,06,336.40","1,065"
"23-Aug-2024","EQ","39.67","39.68","39.33","39.52","39.49","39.44","39.51","40.08","24.20","1,28,587","50,80,523.84","792"
"22-Aug-2024","EQ","39.35","39.72","39.35","39.36","39.40","39.52","39.52","40.08","24.20","98,436","38,89,869.43","981"
"21-Aug-2024","EQ","39.16","39.48","39.15","39.15","39.40","39.36","39.36","40.08","24.20","2,19,063","86,22,279.04","843"
"20-Aug-2024","EQ","39.01","39.34","38.70","39.01","39.10","39.15","39.02","40.08","24.20","1,46,502","57,15,861.57","814"
"19-Aug-2024","EQ","38.94","39.10","38.66","38.65","38.96","39.01","39.02","40.08","24.20","1,04,064","40,60,189.99","1,081"
"16-Aug-2024","EQ","38.22","38.74","38.22","38.23","38.70","38.65","38.66","40.08","24.20","9,98,828","3,86,16,888.11","994"
"14-Aug-2024","EQ","38.45","38.65","38.02","38.33","38.26","38.23","38.11","40.08","24.20","1,86,944","71,23,950.49","831"
"13-Aug-2024","EQ","38.94","38.94","38.31","38.58","38.36","38.33","38.56","40.08","24.20","69,521","26,80,669.19","940"
"12-Aug-2024","EQ","38.87","38.88","38.30","38.50","38.65","38.58","38.57","40.08","24.20","2,50,825","96,75,356.24","1,233"
"09-Aug-2024","EQ","38.38","38.99","38.38","38.39","38.54","38.50","38.62","40.08","24.20","72,145","27,86,050.51","774"
"08-Aug-2024","EQ","38.78","38.78","38.30","38.39","38.35","38.39","38.43","40.08","24.20","88,112","33,86,543.48","859"
"07-Aug-2024","EQ","38.57","38.57","38.16","37.92","38.40","38.39","38.30","40.08","24.20","1,39,557","53,45,685.45","843"
"06-Aug-2024","EQ","39.90","39.90","37.90","38.73","37.91","37.92","38.26","40.08","24.20","26,54,600","10,15,59,094.39","1,638"
"05-Aug-2024","EQ","38.78","39.52","36.85","39.28","38.95","38.73","37.84","40.08","24.20","21,11,300","7,98,88,144.60","2,877"
"02-Aug-2024","EQ","39.59","39.59","39.07","39.55","39.28","39.28","39.28","40.08","24.20","1,56,856","61,61,489.92","1,285"
"01-Aug-2024","EQ","39.96","40.08","39.41","39.64","39.60","39.55","39.65","40.08","24.20","74,640","29,59,776.81","1,086"
"31-Jul-2024","EQ","39.41","39.87","39.35","39.48","39.67","39.64","39.64","39.87","24.20","98,544","39,06,562.27","968"
"30-Jul-2024","EQ","39.40","39.65","39.27","39.39","39.52","39.48","39.52","39.65","24.20","1,25,245","49,49,242.21","809"
"29-Jul-2024","EQ","39.50","39.58","39.13","39.11","39.35","39.39","39.44","39.58","24.20","1,70,444","67,21,873.95","1,083"
