"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","2,755.40","2,767.00","2,710.10","2,741.65","2,725.80","2,727.65","2,727.19","3,264.70","893.00","3,84,051","1,04,73,80,411.60","31,893"
"23-Aug-2024","EQ","2,726.85","2,800.00","2,701.10","2,726.85","2,745.85","2,741.65","2,760.67","3,264.70","863.65","13,97,860","3,85,90,32,743.00","93,256"
"22-Aug-2024","EQ","2,692.00","2,750.00","2,669.50","2,689.90","2,725.00","2,726.85","2,719.60","3,264.70","863.65","7,64,611","2,07,94,39,753.45","49,978"
"21-Aug-2024","EQ","2,718.00","2,754.50","2,662.30","2,703.00","2,686.25","2,689.90","2,695.27","3,264.70","863.65","5,43,111","1,46,38,30,586.85","40,819"
"20-Aug-2024","EQ","2,683.50","2,763.00","2,652.00","2,676.20","2,712.45","2,703.00","2,716.08","3,264.70","863.65","13,49,232","3,66,46,17,577.65","82,525"
"19-Aug-2024","EQ","2,671.95","2,720.00","2,646.00","2,645.95","2,680.00","2,676.20","2,683.60","3,264.70","863.65","7,90,797","2,12,21,84,938.10","56,793"
"16-Aug-2024","EQ","2,573.00","2,677.00","2,542.55","2,559.70","2,643.00","2,645.95","2,626.12","3,264.70","835.50","12,87,709","3,38,16,81,920.50","92,023"
"14-Aug-2024","EQ","2,610.00","2,611.00","2,525.00","2,592.05","2,565.00","2,559.70","2,553.66","3,264.70","835.50","4,16,027","1,06,23,90,945.90","37,468"
"13-Aug-2024","EQ","2,588.00","2,617.80","2,544.00","2,571.65","2,591.00","2,592.05","2,578.04","3,264.70","835.50","6,23,188","1,60,66,04,104.60","40,436"
"12-Aug-2024","EQ","2,600.00","2,645.00","2,566.00","2,650.50","2,573.00","2,571.65","2,594.64","3,264.70","835.50","6,51,385","1,69,01,10,339.65","49,849"
"09-Aug-2024","EQ","2,624.95","2,681.00","2,562.15","2,599.80","2,642.00","2,650.50","2,647.59","3,264.70","835.50","17,73,232","4,69,47,90,113.45","1,21,255"
"08-Aug-2024","EQ","2,657.00","2,657.00","2,530.00","2,398.55","2,589.00","2,599.80","2,596.28","3,264.70","835.50","36,43,222","9,45,88,32,470.95","2,17,318"
"07-Aug-2024","EQ","2,380.00","2,416.00","2,341.90","2,317.35","2,400.40","2,398.55","2,388.11","3,264.70","835.50","6,14,984","1,46,86,51,057.80","59,329"
"06-Aug-2024","EQ","2,435.35","2,490.00","2,306.10","2,387.60","2,323.00","2,317.35","2,385.01","3,264.70","835.50","9,12,824","2,17,70,97,645.80","86,304"
"05-Aug-2024","EQ","2,444.00","2,488.60","2,340.00","2,563.70","2,384.90","2,387.60","2,399.14","3,264.70","835.50","15,03,846","3,60,79,30,971.15","1,34,820"
"02-Aug-2024","EQ","2,575.00","2,619.00","2,556.85","2,643.25","2,565.00","2,563.70","2,586.51","3,264.70","790.15","7,36,612","1,90,52,54,239.75","71,532"
"01-Aug-2024","EQ","2,611.00","2,660.00","2,571.25","2,556.45","2,640.00","2,643.25","2,630.34","3,264.70","790.15","18,08,504","4,75,69,72,507.40","1,40,257"
"31-Jul-2024","EQ","2,375.10","2,607.70","2,374.00","2,412.30","2,559.00","2,556.45","2,564.22","3,264.70","790.15","34,26,971","8,78,74,98,684.80","2,04,310"
"30-Jul-2024","EQ","2,440.00","2,459.95","2,407.75","2,440.25","2,412.55","2,412.30","2,431.86","3,264.70","790.15","3,17,927","77,31,53,641.05","32,127"
"29-Jul-2024","EQ","2,466.30","2,472.95","2,424.00","2,447.50","2,436.95","2,440.25","2,443.88","3,264.70","790.15","4,42,791","1,08,21,26,910.30","35,648"
