"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","877.10","1,036.95","877.10","883.50","978.00","958.05","974.71","1,308.40","674.90","2,45,272","23,90,69,245.00","14,260"
"23-Aug-2024","EQ","878.00","890.00","877.10","876.50","878.00","883.50","880.31","1,308.40","674.90","13,823","1,21,68,574.25","1,054"
"22-Aug-2024","EQ","880.00","890.00","866.65","874.55","876.65","876.50","877.03","1,308.40","674.90","10,696","93,80,677.55","1,228"
"21-Aug-2024","EQ","859.45","879.30","857.35","856.45","876.65","874.55","870.52","1,308.40","674.90","11,823","1,02,92,191.30","1,821"
"20-Aug-2024","EQ","856.90","884.95","851.55","863.70","855.20","856.45","872.82","1,308.40","674.90","11,077","96,68,253.00","1,274"
"19-Aug-2024","EQ","861.40","874.95","858.25","861.40","863.25","863.70","866.58","1,308.40","674.90","8,120","70,36,593.80","1,005"
"16-Aug-2024","EQ","845.25","867.90","845.25","853.00","865.00","861.40","862.68","1,308.40","674.90","6,830","58,92,122.70","895"
"14-Aug-2024","EQ","866.65","879.60","845.15","866.65","852.65","853.00","862.18","1,308.40","674.90","9,813","84,60,565.00","1,136"
"13-Aug-2024","EQ","880.00","883.00","858.20","867.00","858.20","866.65","873.45","1,308.40","674.90","16,998","1,48,46,876.35","825"
"12-Aug-2024","EQ","861.85","888.00","854.05","869.75","865.00","867.00","871.39","1,308.40","674.90","17,097","1,48,98,089.60","1,839"
"09-Aug-2024","EQ","857.95","879.90","857.00","857.95","870.00","869.75","869.56","1,308.40","674.90","15,570","1,35,39,106.70","1,162"
"08-Aug-2024","EQ","860.00","865.75","836.10","865.75","859.00","857.95","855.50","1,308.40","674.90","12,859","1,10,00,873.15","1,556"
"07-Aug-2024","EQ","837.10","875.95","837.05","837.10","862.50","865.75","861.39","1,308.40","674.90","10,255","88,33,563.35","1,316"
"06-Aug-2024","EQ","822.00","842.90","815.05","840.30","835.00","837.10","832.03","1,308.40","674.90","11,022","91,70,626.10","1,146"
"05-Aug-2024","EQ","864.80","864.80","820.50","875.85","850.60","840.30","847.23","1,308.40","674.90","8,033","68,05,763.30","1,269"
"02-Aug-2024","EQ","867.30","881.75","850.70","875.25","876.60","875.85","874.00","1,308.40","674.90","12,336","1,07,81,654.90","1,313"
"01-Aug-2024","EQ","876.45","883.40","872.75","876.40","876.00","875.25","876.04","1,308.40","674.90","11,213","98,23,042.70","959"
"31-Jul-2024","EQ","863.30","887.00","860.50","864.35","876.00","876.40","876.98","1,308.40","674.90","11,500","1,00,85,246.70","1,097"
"30-Jul-2024","EQ","868.65","900.00","860.00","855.80","870.00","864.35","881.31","1,308.40","674.90","21,605","1,90,40,776.50","3,105"
"29-Jul-2024","EQ","857.05","869.30","854.00","865.50","857.20","855.80","858.70","1,308.40","674.90","9,686","83,17,350.20","991"
