"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","66.50","66.77","63.83","63.88","65.74","64.93","65.35","77.00","34.85","24,851","16,23,944.09","517"
"23-Aug-2024","EQ","64.79","66.92","63.00","64.79","65.00","63.88","65.16","77.00","34.85","35,773","23,30,814.66","930"
"22-Aug-2024","EQ","66.90","67.00","63.70","65.73","65.46","64.79","66.11","77.00","34.85","25,059","16,56,540.55","619"
"21-Aug-2024","EQ","68.70","69.38","65.41","67.66","65.97","65.73","66.62","77.00","34.85","40,975","27,29,880.21","846"
"20-Aug-2024","EQ","67.00","68.00","64.65","65.44","67.99","67.66","66.63","77.00","34.85","41,757","27,82,299.42","992"
"19-Aug-2024","EQ","64.10","66.60","64.00","64.75","65.84","65.44","65.40","77.00","34.85","27,336","17,87,660.03","868"
"16-Aug-2024","EQ","67.60","67.60","64.00","64.03","65.00","64.75","65.36","77.00","34.85","21,758","14,22,105.57","430"
"14-Aug-2024","EQ","67.70","67.70","63.00","65.44","63.80","64.03","64.04","77.00","34.85","29,910","19,15,548.74","1,042"
"13-Aug-2024","EQ","68.50","68.59","64.20","67.61","65.00","65.44","66.56","77.00","34.85","31,809","21,17,328.62","1,057"
"12-Aug-2024","EQ","64.90","69.80","61.40","63.86","67.99","67.61","66.92","77.00","34.85","54,429","36,42,183.72","1,163"
"09-Aug-2024","EQ","64.46","66.18","63.10","64.46","64.90","63.86","64.79","77.00","33.35","9,935","6,43,671.71","319"
"08-Aug-2024","EQ","66.74","68.48","63.20","65.26","63.98","64.46","65.97","77.00","33.35","35,501","23,42,059.85","974"
"07-Aug-2024","EQ","64.35","67.88","63.31","63.09","65.25","65.26","65.72","77.00","33.35","76,881","50,52,613.20","1,485"
"06-Aug-2024","EQ","63.00","65.90","62.85","63.24","62.85","63.09","64.46","77.00","33.35","42,418","27,34,286.08","1,193"
"05-Aug-2024","EQ","64.70","68.69","62.12","68.09","63.90","63.24","64.05","77.00","33.35","90,610","58,03,383.20","2,176"
"02-Aug-2024","EQ","67.00","70.33","65.55","67.43","68.10","68.09","68.30","77.00","32.90","49,951","34,11,730.11","1,904"
"01-Aug-2024","EQ","70.99","70.99","66.06","69.85","67.59","67.43","67.71","77.00","32.90","48,493","32,83,671.90","1,723"
"31-Jul-2024","EQ","69.50","71.50","68.82","70.28","69.90","69.85","70.13","77.00","32.90","55,936","39,22,547.17","1,331"
"30-Jul-2024","EQ","73.85","73.85","69.53","69.74","70.40","70.28","70.61","77.00","32.90","93,294","65,87,208.44","2,362"
"29-Jul-2024","EQ","74.00","76.00","68.05","71.98","70.42","69.74","72.72","77.00","32.90","1,49,342","1,08,60,322.80","3,185"
