"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","113.16","113.19","111.17","112.10","111.45","111.41","111.86","632.90","96.20","1,56,58,016","1,75,15,79,387.98","90,267"
"23-Aug-2024","EQ","112.60","112.99","111.81","112.33","112.00","112.10","112.40","632.90","96.20","1,32,24,117","1,48,63,88,904.04","86,914"
"22-Aug-2024","EQ","112.00","112.66","111.81","111.63","112.32","112.33","112.24","632.90","96.20","1,39,67,447","1,56,77,29,965.28","56,252"
"21-Aug-2024","EQ","111.36","111.90","110.67","111.36","111.75","111.63","111.28","632.90","96.20","1,53,79,494","1,71,14,41,773.29","85,698"
"20-Aug-2024","EQ","110.30","111.96","109.60","109.90","111.36","111.36","111.09","632.90","96.20","2,42,47,603","2,69,37,03,804.51","93,361"
"19-Aug-2024","EQ","108.30","111.25","108.08","107.62","109.85","109.90","109.90","632.90","96.20","2,77,92,179","3,05,44,86,265.79","1,12,163"
"16-Aug-2024","EQ","108.00","108.41","106.52","105.65","107.65","107.62","107.22","632.90","96.20","3,02,54,042","3,24,38,55,316.01","76,441"
"14-Aug-2024","EQ","106.75","107.06","105.50","106.69","105.74","105.65","106.03","632.90","96.20","1,30,61,546","1,38,49,62,513.94","74,105"
"13-Aug-2024","EQ","109.00","110.14","106.25","109.55","106.51","106.69","108.08","632.90","96.20","1,99,54,825","2,15,67,39,639.39","86,099"
"12-Aug-2024","EQ","109.90","110.76","108.40","110.65","109.59","109.55","109.57","632.90","96.20","2,22,38,178","2,43,67,26,968.81","1,06,266"
"09-Aug-2024","EQ","108.00","112.54","107.65","107.15","110.80","110.65","110.18","632.90","96.20","2,98,58,732","3,28,96,97,763.51","1,22,321"
"08-Aug-2024","EQ","108.00","108.56","106.50","108.22","107.10","107.15","107.43","632.90","96.20","1,73,99,682","1,86,91,75,916.16","79,080"
"07-Aug-2024","EQ","106.60","108.56","105.45","105.03","108.35","108.22","106.83","632.90","96.20","2,42,92,529","2,59,50,57,104.70","77,573"
"06-Aug-2024","EQ","106.75","108.18","104.80","105.26","105.08","105.03","106.78","632.90","96.20","1,87,60,783","2,00,33,62,181.16","97,982"
"05-Aug-2024","EQ","108.44","108.44","104.04","110.49","104.90","105.26","105.49","632.90","96.20","5,76,45,213","6,08,09,84,523.14","2,10,056"
"02-Aug-2024","EQ","112.00","112.00","110.05","112.69","110.48","110.49","110.90","632.90","96.20","2,79,44,377","3,09,90,27,208.06","1,26,100"
"01-Aug-2024","EQ","115.50","115.60","112.05","114.71","112.70","112.69","113.61","632.90","96.20","2,59,58,910","2,94,90,69,354.37","99,497"
"31-Jul-2024","EQ","116.00","116.19","114.26","115.77","114.63","114.71","115.24","632.90","96.20","1,66,89,282","1,92,32,32,850.21","58,157"
"30-Jul-2024","EQ","115.91","116.45","115.12","115.91","115.70","115.77","115.84","632.90","96.20","1,76,64,352","2,04,62,53,222.68","69,067"
"29-Jul-2024","EQ","115.20","117.82","115.01","113.86","115.98","115.91","116.70","632.90","96.20","5,10,72,326","5,96,02,78,132.42","1,66,348"
