"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","998.70","1,006.95","979.00","997.70","988.00","989.20","989.08","1,263.95","800.95","67,573","6,68,35,292.40","6,342"
"23-Aug-2024","EQ","999.00","1,004.00","987.20","993.20","995.00","997.70","995.60","1,263.95","774.00","29,193","2,90,64,531.70","5,531"
"22-Aug-2024","EQ","1,000.00","1,013.90","979.60","995.35","994.50","993.20","990.29","1,263.95","774.00","37,344","3,69,81,251.55","4,346"
"21-Aug-2024","EQ","994.00","1,003.55","982.15","992.15","997.00","995.35","993.23","1,263.95","774.00","38,647","3,83,85,292.60","3,511"
"20-Aug-2024","EQ","980.00","1,017.00","980.00","978.15","994.90","992.15","1,000.92","1,263.95","774.00","47,352","4,73,95,618.20","5,581"
"19-Aug-2024","EQ","970.20","1,000.00","970.00","974.45","977.90","978.15","978.79","1,263.95","774.00","50,563","4,94,90,601.70","13,163"
"16-Aug-2024","EQ","975.60","990.00","965.65","971.40","974.90","974.45","975.29","1,263.95","737.75","26,459","2,58,05,132.70","2,547"
"14-Aug-2024","EQ","975.85","978.40","955.00","971.00","960.10","971.40","963.91","1,263.95","737.75","78,556","7,57,20,779.95","6,612"
"13-Aug-2024","EQ","972.50","986.00","967.00","972.25","970.00","971.00","972.55","1,263.95","737.75","29,876","2,90,55,761.70","2,529"
"12-Aug-2024","EQ","983.10","992.35","969.05","983.10","973.55","972.25","975.23","1,263.95","737.75","55,330","5,39,59,649.90","5,261"
"09-Aug-2024","EQ","1,000.00","1,007.50","976.00","990.15","985.00","983.10","989.19","1,263.95","711.00","67,391","6,66,62,653.65","9,171"
"08-Aug-2024","EQ","971.70","1,002.00","967.00","957.35","991.00","990.15","989.38","1,263.95","711.00","1,32,868","13,14,56,981.95","11,447"
"07-Aug-2024","EQ","954.00","971.00","921.80","938.20","959.00","957.35","936.48","1,263.95","711.00","1,10,303","10,32,96,211.05","7,852"
"06-Aug-2024","EQ","956.35","968.55","931.45","952.55","938.70","938.20","943.33","1,263.95","711.00","45,015","4,24,64,138.20","7,848"
"05-Aug-2024","EQ","969.55","984.45","945.20","979.55","947.90","952.55","959.18","1,263.95","711.00","77,661","7,44,90,507.20","12,450"
"02-Aug-2024","EQ","998.00","998.00","974.00","986.40","976.00","979.55","978.34","1,263.95","699.70","72,552","7,09,80,400.35","7,583"
"01-Aug-2024","EQ","995.30","1,009.05","985.00","990.30","990.90","986.40","988.76","1,263.95","699.70","69,079","6,83,02,293.85","5,740"
"31-Jul-2024","EQ","1,005.75","1,016.65","987.00","1,012.75","989.00","990.30","998.33","1,263.95","699.70","1,53,567","15,33,10,960.40","7,861"
"30-Jul-2024","EQ","1,028.35","1,033.50","1,007.65","1,028.35","1,015.70","1,012.75","1,021.44","1,263.95","699.70","36,781","3,75,69,669.40","4,779"
"29-Jul-2024","EQ","1,022.00","1,036.00","1,021.95","1,018.20","1,035.00","1,028.35","1,026.83","1,263.95","699.70","40,404","4,14,87,931.05","6,779"
