"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,600.00","1,615.00","1,531.00","1,568.50","1,538.00","1,539.10","1,551.93","2,989.00","1,107.35","42,34,039","6,57,09,35,324.15","1,78,506"
"23-Aug-2024","EQ","1,500.00","1,664.40","1,485.65","2,898.10","1,585.00","1,568.50","1,580.08","2,989.00","1,107.35","2,06,75,572","32,66,89,68,717.75","6,69,732"
"22-Aug-2024","EQ","2,882.70","2,989.00","2,867.45","2,866.10","2,890.00","2,898.10","2,927.59","2,989.00","1,107.35","29,07,470","8,51,18,76,391.70","1,65,471"
"21-Aug-2024","EQ","2,905.00","2,923.15","2,851.00","2,886.10","2,872.55","2,866.10","2,881.67","2,955.00","1,107.35","16,11,512","4,64,38,37,732.50","99,967"
"20-Aug-2024","EQ","2,902.00","2,934.00","2,855.00","2,876.15","2,891.00","2,886.10","2,897.53","2,955.00","1,107.35","22,43,572","6,50,08,16,445.50","1,25,247"
"19-Aug-2024","EQ","2,855.00","2,955.00","2,840.00","2,788.15","2,883.00","2,876.15","2,890.15","2,955.00","1,107.35","44,11,644","12,75,03,09,275.20","2,25,522"
"16-Aug-2024","EQ","2,588.00","2,812.00","2,580.35","2,560.60","2,806.00","2,788.15","2,721.40","2,812.00","1,107.35","63,76,190","17,35,21,68,846.50","2,91,416"
"14-Aug-2024","EQ","2,545.00","2,591.00","2,508.00","2,528.25","2,564.00","2,560.60","2,545.12","2,667.95","1,107.35","12,65,092","3,21,98,14,173.30","81,795"
"13-Aug-2024","EQ","2,590.00","2,593.70","2,520.00","2,573.80","2,527.90","2,528.25","2,551.75","2,667.95","1,107.35","9,81,571","2,50,47,20,329.95","63,516"
"12-Aug-2024","EQ","2,590.90","2,667.95","2,569.45","2,565.25","2,574.90","2,573.80","2,615.80","2,667.95","1,107.35","25,71,971","6,72,77,59,047.70","1,37,988"
"09-Aug-2024","EQ","2,505.00","2,594.85","2,468.00","2,453.20","2,566.15","2,565.25","2,550.79","2,594.85","1,107.35","34,18,980","8,72,10,86,690.65","1,55,810"
"08-Aug-2024","EQ","2,355.45","2,495.00","2,352.10","2,349.05","2,450.00","2,453.20","2,449.41","2,594.20","1,107.35","34,75,027","8,51,17,76,966.20","1,78,745"
"07-Aug-2024","EQ","2,351.85","2,360.50","2,279.20","2,292.85","2,360.00","2,349.05","2,324.78","2,594.20","1,107.35","8,20,767","1,90,80,98,922.30","56,150"
"06-Aug-2024","EQ","2,355.55","2,390.00","2,284.50","2,310.90","2,307.00","2,292.85","2,323.76","2,594.20","1,107.35","14,94,638","3,47,31,78,035.25","97,237"
"05-Aug-2024","EQ","2,450.00","2,451.95","2,301.75","2,453.20","2,312.50","2,310.90","2,367.02","2,594.20","1,107.35","29,25,600","6,92,49,51,428.65","1,97,744"
"02-Aug-2024","EQ","2,404.75","2,468.00","2,391.30","2,437.80","2,453.00","2,453.20","2,439.41","2,594.20","1,107.35","9,64,648","2,35,31,69,109.00","62,150"
"01-Aug-2024","EQ","2,525.00","2,530.00","2,430.00","2,501.50","2,447.00","2,437.80","2,455.99","2,594.20","1,107.35","15,12,643","3,71,50,38,611.50","94,768"
"31-Jul-2024","EQ","2,463.00","2,594.20","2,455.00","2,453.00","2,510.00","2,501.50","2,539.21","2,594.20","1,107.35","37,24,359","9,45,69,45,374.40","1,81,009"
"30-Jul-2024","EQ","2,459.00","2,512.45","2,445.90","2,446.00","2,452.90","2,453.00","2,470.22","2,538.65","1,107.35","11,09,877","2,74,16,44,312.10","66,441"
"29-Jul-2024","EQ","2,471.25","2,507.00","2,440.00","2,446.80","2,442.00","2,446.00","2,473.81","2,538.65","1,107.35","11,35,069","2,80,79,42,005.65","73,858"
