"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","37.96","38.07","37.16","37.74","37.41","37.33","37.52","46.50","20.40","3,41,002","1,27,92,723.35","2,604"
"23-Aug-2024","EQ","37.62","38.18","37.45","37.62","38.10","37.74","37.70","46.50","20.40","5,21,301","1,96,50,573.84","3,086"
"22-Aug-2024","EQ","38.10","38.40","37.39","37.90","37.74","37.62","37.89","46.50","20.40","4,29,106","1,62,57,074.57","4,061"
"21-Aug-2024","EQ","37.58","38.46","37.57","37.58","37.90","37.90","38.05","46.50","20.40","4,08,795","1,55,55,207.85","3,364"
"20-Aug-2024","EQ","38.19","38.67","37.21","37.96","37.56","37.58","38.04","46.50","20.40","7,44,809","2,83,30,614.87","7,854"
"19-Aug-2024","EQ","37.06","38.58","37.06","36.75","37.90","37.96","37.84","46.50","20.40","7,61,592","2,88,22,142.40","5,147"
"16-Aug-2024","EQ","36.00","38.20","35.25","38.20","37.30","36.75","36.13","46.50","20.40","20,26,052","7,32,01,404.31","12,812"
"14-Aug-2024","EQ","39.17","39.36","37.85","39.14","38.29","38.20","38.39","46.50","20.40","8,25,154","3,16,77,982.94","6,123"
"13-Aug-2024","EQ","40.22","40.90","38.20","40.22","39.02","39.14","39.87","46.50","20.40","5,06,988","2,02,13,646.70","4,592"
"12-Aug-2024","EQ","39.60","40.69","37.99","39.60","40.06","40.22","39.57","46.50","20.40","7,65,614","3,02,97,622.95","6,516"
"09-Aug-2024","EQ","40.34","40.48","39.10","39.69","39.17","39.60","39.94","46.50","20.40","6,12,067","2,44,48,167.16","5,932"
"08-Aug-2024","EQ","39.45","40.50","39.20","40.04","40.00","39.69","39.73","46.50","20.40","5,93,837","2,35,92,422.56","4,501"
"07-Aug-2024","EQ","39.15","40.55","38.66","38.66","39.76","40.04","39.62","46.50","20.40","6,99,907","2,77,32,374.30","6,483"
"06-Aug-2024","EQ","39.90","40.95","38.54","40.26","38.90","38.66","39.67","46.50","20.40","7,53,903","2,99,04,444.54","5,704"
"05-Aug-2024","EQ","35.00","42.08","35.00","41.36","39.35","40.26","38.85","46.50","20.40","28,23,729","10,96,94,182.92","15,672"
"02-Aug-2024","EQ","41.20","42.25","40.83","41.92","41.38","41.36","41.51","46.50","20.40","8,55,439","3,55,06,628.24","5,253"
"01-Aug-2024","EQ","43.50","43.50","41.64","42.91","42.00","41.92","42.36","46.50","20.40","10,51,231","4,45,31,468.94","6,298"
"31-Jul-2024","EQ","43.19","43.50","42.20","42.96","42.60","42.91","42.83","46.50","20.40","7,39,170","3,16,55,112.99","4,921"
"30-Jul-2024","EQ","42.10","43.71","41.72","42.12","42.74","42.96","43.03","46.50","20.40","19,13,593","8,23,48,745.07","11,043"
"29-Jul-2024","EQ","43.10","43.85","41.61","42.84","42.23","42.12","42.69","46.50","20.40","21,80,272","9,30,66,231.26","12,831"
