"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","2,365.00","2,449.95","2,325.10","2,350.35","2,375.00","2,376.35","2,392.64","2,449.95","990.45","8,41,375","2,01,31,08,562.00","49,283"
"23-Aug-2024","EQ","2,344.90","2,383.45","2,323.05","2,335.35","2,340.50","2,350.35","2,351.12","2,443.00","963.35","7,52,391","1,76,89,60,088.75","34,384"
"22-Aug-2024","EQ","2,319.00","2,350.00","2,282.00","2,306.30","2,328.00","2,335.35","2,319.27","2,443.00","963.35","4,18,505","97,06,25,669.95","23,082"
"21-Aug-2024","EQ","2,145.00","2,443.00","2,145.00","2,151.60","2,300.00","2,306.30","2,362.91","2,443.00","963.35","33,51,740","7,91,98,60,369.80","1,82,634"
"20-Aug-2024","EQ","2,130.05","2,159.00","2,121.35","2,133.00","2,159.00","2,151.60","2,142.99","2,420.00","963.35","1,03,209","22,11,75,762.95","10,323"
"19-Aug-2024","EQ","2,132.00","2,155.00","2,114.35","2,130.70","2,149.95","2,133.00","2,135.01","2,420.00","963.35","75,998","16,22,56,225.70","6,433"
"16-Aug-2024","EQ","2,129.45","2,156.25","2,110.10","2,106.05","2,124.00","2,130.70","2,124.90","2,420.00","963.35","1,11,516","23,69,59,853.95","8,396"
"14-Aug-2024","EQ","2,215.00","2,215.00","2,090.00","2,200.95","2,101.15","2,106.05","2,118.24","2,420.00","963.35","1,89,437","40,12,72,514.20","21,608"
"13-Aug-2024","EQ","2,233.80","2,233.80","2,191.35","2,206.80","2,196.00","2,200.95","2,202.67","2,420.00","963.35","1,24,207","27,35,87,410.75","11,427"
"12-Aug-2024","EQ","2,196.95","2,229.00","2,182.75","2,190.95","2,210.00","2,206.80","2,208.19","2,420.00","963.35","1,02,390","22,60,96,711.90","12,009"
"09-Aug-2024","EQ","2,195.00","2,220.55","2,179.85","2,167.40","2,195.00","2,190.95","2,200.63","2,420.00","963.35","1,06,381","23,41,05,343.65","16,104"
"08-Aug-2024","EQ","2,161.80","2,224.80","2,156.10","2,161.55","2,169.00","2,167.40","2,175.34","2,420.00","963.35","1,64,890","35,86,91,077.95","14,283"
"07-Aug-2024","EQ","2,154.45","2,208.55","2,145.95","2,137.50","2,163.00","2,161.55","2,168.82","2,420.00","963.35","1,44,214","31,27,73,663.10","13,157"
"06-Aug-2024","EQ","2,160.00","2,265.85","2,115.00","2,167.65","2,140.00","2,137.50","2,193.21","2,420.00","963.35","2,25,290","49,41,08,499.25","29,454"
"05-Aug-2024","EQ","2,205.00","2,220.00","2,133.90","2,251.50","2,152.00","2,167.65","2,165.44","2,420.00","963.35","1,42,343","30,82,35,440.40","17,750"
"02-Aug-2024","EQ","2,289.95","2,289.95","2,240.50","2,295.95","2,249.95","2,251.50","2,261.06","2,420.00","963.35","91,136","20,60,64,139.95","11,292"
"01-Aug-2024","EQ","2,345.00","2,373.80","2,279.20","2,335.50","2,298.00","2,295.95","2,328.86","2,420.00","963.35","1,40,097","32,62,66,808.95","12,927"
"31-Jul-2024","EQ","2,355.00","2,385.10","2,311.55","2,351.10","2,346.20","2,335.50","2,349.69","2,420.00","963.35","1,98,134","46,55,53,002.20","18,021"
"30-Jul-2024","EQ","2,361.00","2,366.00","2,315.05","2,337.80","2,328.00","2,351.10","2,343.69","2,420.00","963.35","1,42,444","33,38,44,295.50","13,303"
"29-Jul-2024","EQ","2,360.00","2,418.05","2,306.10","2,346.60","2,340.25","2,337.80","2,348.25","2,420.00","963.35","4,54,673","1,06,76,85,320.15","22,348"
