"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,497.90","1,499.95","1,451.35","1,483.05","1,462.00","1,461.60","1,472.19","1,626.70","1,130.00","6,358","93,60,179.50","1,397"
"23-Aug-2024","EQ","1,505.00","1,507.20","1,480.05","1,500.05","1,480.05","1,483.05","1,489.66","1,626.70","1,130.00","5,987","89,18,584.75","970"
"22-Aug-2024","EQ","1,495.10","1,516.00","1,490.00","1,495.10","1,492.50","1,500.05","1,501.67","1,626.70","1,130.00","9,341","1,40,27,107.10","1,746"
"21-Aug-2024","EQ","1,490.50","1,511.15","1,480.05","1,488.85","1,496.50","1,495.10","1,493.33","1,626.70","1,130.00","5,613","83,82,048.55","1,258"
"20-Aug-2024","EQ","1,524.00","1,526.00","1,481.00","1,509.50","1,489.00","1,488.85","1,504.09","1,626.70","1,130.00","14,627","2,20,00,297.85","2,634"
"19-Aug-2024","EQ","1,480.00","1,519.95","1,466.85","1,437.45","1,510.00","1,509.50","1,492.67","1,626.70","1,130.00","40,468","6,04,05,392.95","6,472"
"16-Aug-2024","EQ","1,414.75","1,447.00","1,385.00","1,414.75","1,445.00","1,437.45","1,413.00","1,626.70","1,130.00","11,083","1,56,60,267.45","2,189"
"14-Aug-2024","EQ","1,407.70","1,430.00","1,396.05","1,406.20","1,420.00","1,414.75","1,407.81","1,626.70","1,130.00","5,673","79,86,515.70","1,503"
"13-Aug-2024","EQ","1,426.00","1,426.00","1,401.00","1,413.85","1,415.50","1,406.20","1,411.66","1,626.70","1,130.00","4,458","62,93,194.90","1,825"
"12-Aug-2024","EQ","1,436.00","1,440.00","1,396.75","1,444.15","1,417.60","1,413.85","1,416.49","1,626.70","1,130.00","8,011","1,13,47,534.30","2,124"
"09-Aug-2024","EQ","1,515.00","1,515.00","1,437.00","1,487.90","1,437.00","1,444.15","1,458.82","1,626.70","1,130.00","13,939","2,03,34,546.25","3,388"
"08-Aug-2024","EQ","1,455.00","1,570.25","1,425.00","1,458.85","1,488.00","1,487.90","1,515.10","1,626.70","1,130.00","81,548","12,35,53,646.05","13,290"
"07-Aug-2024","EQ","1,494.95","1,539.95","1,451.35","1,471.30","1,470.00","1,458.85","1,492.83","1,626.70","1,130.00","27,300","4,07,54,188.60","5,599"
"06-Aug-2024","EQ","1,370.00","1,515.00","1,355.15","1,360.45","1,460.00","1,471.30","1,472.06","1,626.70","1,130.00","83,463","12,28,62,757.15","17,232"
"05-Aug-2024","EQ","1,360.05","1,449.00","1,342.05","1,389.95","1,363.50","1,360.45","1,365.04","1,626.70","1,130.00","6,777","92,50,843.75","1,998"
"02-Aug-2024","EQ","1,424.00","1,424.00","1,385.50","1,404.55","1,400.00","1,389.95","1,392.67","1,626.70","1,130.00","3,235","45,05,303.35","898"
"01-Aug-2024","EQ","1,427.80","1,427.80","1,395.00","1,417.65","1,401.00","1,404.55","1,404.82","1,626.70","1,130.00","7,925","1,11,33,164.75","997"
"31-Jul-2024","EQ","1,420.00","1,425.00","1,396.50","1,412.60","1,417.00","1,417.65","1,410.11","1,626.70","1,130.00","9,239","1,30,28,047.40","1,539"
"30-Jul-2024","EQ","1,410.00","1,450.00","1,391.10","1,396.70","1,414.40","1,412.60","1,422.35","1,626.70","1,130.00","13,750","1,95,57,270.05","2,428"
"29-Jul-2024","EQ","1,396.00","1,419.05","1,378.10","1,386.55","1,394.50","1,396.70","1,400.35","1,626.70","1,130.00","6,206","86,90,586.60","1,596"
