"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,570.00","1,596.00","1,566.55","1,574.55","1,593.80","1,593.95","1,587.22","1,606.70","1,132.00","6,58,120","1,04,45,84,194.30","39,936"
"23-Aug-2024","EQ","1,580.05","1,585.80","1,568.45","1,585.80","1,576.35","1,574.55","1,575.42","1,606.70","1,132.00","7,70,573","1,21,39,72,517.25","30,482"
"22-Aug-2024","EQ","1,599.00","1,599.00","1,576.05","1,594.60","1,582.55","1,585.80","1,584.47","1,606.70","1,132.00","9,06,819","1,43,68,23,138.20","47,656"
"21-Aug-2024","EQ","1,565.65","1,596.15","1,561.00","1,562.85","1,593.95","1,594.60","1,586.64","1,606.70","1,132.00","10,74,905","1,70,54,89,148.70","48,327"
"20-Aug-2024","EQ","1,576.50","1,579.00","1,558.20","1,575.50","1,562.90","1,562.85","1,563.36","1,606.70","1,132.00","14,13,845","2,21,03,51,792.10","54,178"
"19-Aug-2024","EQ","1,578.45","1,584.95","1,569.70","1,576.10","1,570.00","1,575.50","1,577.83","1,606.70","1,132.00","7,42,635","1,17,17,50,274.65","33,757"
"16-Aug-2024","EQ","1,567.00","1,580.45","1,560.00","1,563.80","1,575.00","1,576.10","1,574.15","1,606.70","1,132.00","9,09,870","1,43,22,68,072.40","42,286"
"14-Aug-2024","EQ","1,597.00","1,597.00","1,555.00","1,583.45","1,565.35","1,563.80","1,570.24","1,606.70","1,132.00","8,96,638","1,40,79,34,640.25","54,982"
"13-Aug-2024","EQ","1,600.00","1,606.70","1,580.00","1,586.25","1,585.00","1,583.45","1,594.09","1,606.70","1,132.00","22,81,463","3,63,68,52,019.50","70,474"
"12-Aug-2024","EQ","1,574.70","1,593.00","1,571.05","1,574.75","1,586.00","1,586.25","1,585.70","1,600.00","1,132.00","17,31,555","2,74,57,23,298.00","63,008"
"09-Aug-2024","EQ","1,574.80","1,581.20","1,561.50","1,569.95","1,572.00","1,574.75","1,571.68","1,600.00","1,132.00","9,56,684","1,50,36,03,983.55","57,468"
"08-Aug-2024","EQ","1,545.00","1,589.65","1,545.00","1,553.55","1,570.00","1,569.95","1,573.86","1,600.00","1,132.00","35,41,556","5,57,39,12,688.35","1,69,880"
"07-Aug-2024","EQ","1,532.10","1,556.90","1,532.10","1,531.90","1,552.00","1,553.55","1,546.54","1,600.00","1,132.00","13,59,682","2,10,27,97,942.60","93,083"
"06-Aug-2024","EQ","1,513.00","1,542.35","1,505.70","1,515.05","1,532.45","1,531.90","1,532.37","1,600.00","1,132.00","17,75,016","2,71,99,84,623.55","71,099"
"05-Aug-2024","EQ","1,472.00","1,527.95","1,472.00","1,528.80","1,516.00","1,515.05","1,510.33","1,600.00","1,132.00","17,19,770","2,59,74,12,062.55","1,20,866"
"02-Aug-2024","EQ","1,529.00","1,541.40","1,523.70","1,546.20","1,526.00","1,528.80","1,531.72","1,600.00","1,132.00","13,53,707","2,07,35,02,080.85","63,586"
"01-Aug-2024","EQ","1,545.95","1,552.50","1,535.55","1,544.30","1,545.00","1,546.20","1,543.38","1,600.00","1,132.00","15,29,481","2,36,05,64,566.45","50,656"
"31-Jul-2024","EQ","1,530.10","1,548.55","1,523.55","1,528.90","1,544.00","1,544.30","1,539.63","1,600.00","1,132.00","16,45,138","2,53,29,05,402.35","92,240"
"30-Jul-2024","EQ","1,554.00","1,564.05","1,526.00","1,553.95","1,529.00","1,528.90","1,535.54","1,600.00","1,132.00","29,88,651","4,58,92,05,593.15","1,16,552"
"29-Jul-2024","EQ","1,588.00","1,589.00","1,528.80","1,575.00","1,553.00","1,553.95","1,548.13","1,600.00","1,132.00","39,83,153","6,16,64,39,117.55","1,39,458"
