"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","96.74","96.74","94.00","94.98","95.22","95.88","95.42","97.86","60.50","1,46,084","1,39,39,538.38","2,169"
"23-Aug-2024","EQ","95.70","95.89","94.80","95.73","95.30","94.98","95.12","97.86","60.50","75,437","71,75,383.92","1,860"
"22-Aug-2024","EQ","95.30","96.90","94.76","94.81","96.12","95.73","95.24","97.86","60.50","82,194","78,27,974.74","1,168"
"21-Aug-2024","EQ","94.39","94.90","94.06","94.39","94.90","94.81","94.62","97.86","60.50","89,739","84,91,323.17","1,661"
"20-Aug-2024","EQ","94.11","94.51","93.86","93.86","94.45","94.39","94.22","97.86","60.50","51,781","48,78,988.78","1,904"
"19-Aug-2024","EQ","92.94","94.12","92.43","92.94","94.00","93.86","93.67","97.86","60.50","1,33,143","1,24,70,843.05","1,014"
"16-Aug-2024","EQ","92.74","93.25","91.58","91.41","92.90","92.94","92.36","97.86","60.50","1,26,063","1,16,43,692.53","1,653"
"14-Aug-2024","EQ","92.74","92.75","90.97","92.09","91.40","91.41","91.44","97.86","60.50","1,16,702","1,06,71,431.90","1,856"
"13-Aug-2024","EQ","94.09","94.09","91.89","93.20","92.60","92.09","92.42","97.86","60.50","1,13,256","1,04,67,302.89","2,468"
"12-Aug-2024","EQ","90.55","95.14","90.55","93.37","93.21","93.20","93.04","97.86","60.50","74,587","69,39,857.26","1,239"
"09-Aug-2024","EQ","95.10","95.38","93.02","95.11","93.84","93.37","93.59","97.86","60.50","5,43,444","5,08,63,116.06","3,418"
"08-Aug-2024","EQ","94.05","97.60","92.68","94.05","96.00","95.11","94.00","97.86","60.50","75,984","71,42,646.08","1,920"
"07-Aug-2024","EQ","93.01","94.15","92.35","91.79","94.06","94.05","93.72","97.86","60.50","32,550","30,50,542.39","1,046"
"06-Aug-2024","EQ","93.88","94.85","91.45","92.85","92.82","91.79","92.90","97.86","60.50","85,543","79,47,069.30","1,498"
"05-Aug-2024","EQ","94.07","94.81","91.56","95.66","92.98","92.85","93.03","97.86","60.50","1,29,665","1,20,62,442.32","2,392"
"02-Aug-2024","EQ","97.86","97.86","94.65","97.43","95.20","95.66","96.13","97.86","60.50","1,19,963","1,15,31,632.94","1,726"
"01-Aug-2024","EQ","96.97","97.75","96.90","96.80","97.00","97.43","97.38","97.75","60.50","1,24,734","1,21,46,088.99","1,370"
"31-Jul-2024","EQ","96.00","96.98","95.17","96.00","96.66","96.80","96.69","96.98","60.50","1,02,773","99,36,706.87","1,274"
"30-Jul-2024","EQ","95.51","96.35","95.00","95.49","96.16","96.00","96.01","96.35","60.50","76,924","73,85,590.09","2,092"
"29-Jul-2024","EQ","94.75","95.80","94.27","94.75","95.27","95.49","95.51","95.80","60.50","79,930","76,34,197.47","1,817"
