"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","121.51","122.69","121.26","121.49","121.50","121.78","121.96","143.60","82.80","3,257","3,97,231.82","124"
"23-Aug-2024","EQ","123.00","123.00","120.29","121.03","121.05","121.49","121.26","143.60","82.80","2,511","3,04,495.24","80"
"22-Aug-2024","EQ","120.66","122.00","120.50","120.61","120.90","121.03","121.36","143.60","82.80","2,760","3,34,942.71","91"
"21-Aug-2024","EQ","119.82","123.00","119.82","119.36","119.94","120.61","120.27","143.60","82.80","3,838","4,61,608.76","86"
"20-Aug-2024","EQ","119.36","121.40","118.32","119.62","119.83","119.36","119.41","143.60","82.80","1,683","2,00,968.01","112"
"19-Aug-2024","EQ","118.99","120.65","118.99","118.60","119.02","119.62","120.25","143.60","82.80","3,633","4,36,866.80","84"
"16-Aug-2024","EQ","119.90","119.90","117.60","118.32","118.00","118.60","118.79","143.60","82.00","2,865","3,40,328.20","105"
"14-Aug-2024","EQ","117.03","118.41","117.00","117.42","117.47","118.32","117.89","143.60","82.00","3,088","3,64,039.96","65"
"13-Aug-2024","EQ","118.20","118.70","117.00","118.10","117.35","117.42","117.68","143.60","82.00","3,738","4,39,905.40","61"
"12-Aug-2024","EQ","119.93","121.38","117.28","117.80","118.70","118.10","118.01","143.60","82.00","2,225","2,62,583.06","78"
"09-Aug-2024","EQ","117.20","120.52","116.80","117.04","117.65","117.80","117.84","143.60","82.00","7,020","8,27,230.09","101"
"08-Aug-2024","EQ","117.74","118.30","116.69","117.83","116.69","117.04","117.53","143.60","82.00","3,608","4,24,061.87","99"
"07-Aug-2024","EQ","118.49","118.49","117.02","116.76","117.42","117.83","117.83","143.60","82.00","4,614","5,43,679.10","98"
"06-Aug-2024","EQ","122.70","122.70","116.20","130.19","118.46","116.76","117.52","143.60","82.00","55,709","65,47,068.37","1,056"
"05-Aug-2024","EQ","119.84","143.60","116.50","120.34","143.40","130.19","119.65","143.60","82.00","3,942","4,71,679.46","160"
"02-Aug-2024","EQ","120.10","122.00","119.10","120.20","122.00","120.34","120.36","123.00","82.00","1,628","1,95,949.75","71"
"01-Aug-2024","EQ","120.40","121.85","117.96","119.56","119.28","120.20","119.23","123.00","82.00","8,798","10,48,956.95","67"
"31-Jul-2024","EQ","118.99","120.36","118.88","118.97","119.77","119.56","119.33","123.00","82.00","1,116","1,33,172.90","49"
"30-Jul-2024","EQ","118.78","119.62","118.78","118.77","119.08","118.97","119.43","123.00","82.00","913","1,09,036.43","47"
"29-Jul-2024","EQ","117.81","120.43","117.80","118.85","118.95","118.77","119.15","123.00","82.00","7,688","9,16,019.26","91"
