"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","60.80","62.00","59.01","59.95","59.10","59.45","60.07","74.50","36.90","1,08,632","65,25,103.46","2,288"
"23-Aug-2024","EQ","56.99","60.49","55.10","55.93","59.60","59.95","59.35","74.50","36.90","4,32,938","2,56,93,763.82","6,358"
"22-Aug-2024","EQ","56.85","57.30","55.35","56.04","56.50","55.93","56.44","74.50","36.90","42,313","23,88,219.71","1,407"
"21-Aug-2024","EQ","56.85","57.59","55.39","56.56","56.69","56.04","56.30","74.50","36.90","67,959","38,26,131.55","2,271"
"20-Aug-2024","EQ","55.50","58.00","54.31","55.30","56.05","56.56","56.49","74.50","36.90","1,47,609","83,38,410.37","4,246"
"19-Aug-2024","EQ","55.89","56.50","53.51","54.48","55.78","55.30","55.52","74.50","36.90","1,11,753","62,04,324.79","4,037"
"16-Aug-2024","EQ","51.34","54.95","51.34","51.34","53.95","54.48","53.86","74.50","35.80","92,674","49,91,081.12","1,875"
"14-Aug-2024","EQ","50.90","52.20","50.11","50.43","52.20","51.34","51.07","74.50","35.80","41,131","21,00,599.52","1,281"
"13-Aug-2024","EQ","51.80","52.25","50.10","51.56","50.49","50.43","51.31","74.50","35.80","35,370","18,14,677.20","1,011"
"12-Aug-2024","EQ","50.20","53.21","50.20","52.13","51.84","51.56","52.23","74.50","35.80","64,657","33,76,829.57","2,084"
"09-Aug-2024","EQ","53.45","53.97","51.85","52.80","52.00","52.13","52.56","74.50","34.85","76,862","40,39,870.82","1,866"
"08-Aug-2024","EQ","54.99","55.79","52.26","53.96","52.99","52.80","53.60","74.50","34.85","40,311","21,60,756.29","1,307"
"07-Aug-2024","EQ","50.32","54.50","50.32","50.19","53.76","53.96","52.39","74.50","34.85","64,185","33,62,792.43","825"
"06-Aug-2024","EQ","51.86","53.49","49.60","51.86","50.84","50.19","51.57","74.50","34.85","58,358","30,09,785.78","914"
"05-Aug-2024","EQ","52.55","53.69","50.51","54.39","51.99","51.86","51.77","74.50","34.85","1,37,976","71,43,131.88","1,866"
"02-Aug-2024","EQ","55.00","56.00","53.52","55.90","54.30","54.39","54.91","74.50","34.35","85,061","46,70,288.71","943"
"01-Aug-2024","EQ","57.40","57.40","54.81","55.50","56.24","55.90","55.63","74.50","34.35","30,933","17,20,870.53","958"
"31-Jul-2024","EQ","56.80","56.80","54.20","55.77","55.50","55.50","55.59","74.50","34.35","54,680","30,39,930.95","1,184"
"30-Jul-2024","EQ","56.65","57.10","55.00","55.69","55.56","55.77","55.96","74.50","34.35","60,572","33,89,337.46","1,452"
"29-Jul-2024","EQ","58.00","58.00","54.13","55.84","55.50","55.69","56.16","74.50","34.35","61,083","34,30,634.63","1,185"
