"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","8.40","8.40","7.95","8.06","8.20","8.19","8.24","8.83","4.00","3,00,146","24,73,885.75","796"
"23-Aug-2024","BE","8.06","8.06","8.00","7.68","8.06","8.06","8.06","8.83","4.00","1,98,897","16,03,055.73","275"
"22-Aug-2024","BE","7.52","7.68","7.52","7.32","7.68","7.68","7.64","8.83","4.00","1,97,396","15,07,626.55","305"
"21-Aug-2024","BE","7.32","7.32","7.32","6.98","7.32","7.32","7.32","8.83","4.00","79,703","5,83,425.96","64"
"20-Aug-2024","BE","6.68","6.98","6.68","6.65","6.98","6.98","6.85","8.83","4.00","70,278","4,81,082.86","182"
"19-Aug-2024","BE","6.54","6.73","6.54","6.73","6.68","6.65","6.64","8.83","4.00","90,904","6,03,821.14","256"
"16-Aug-2024","BE","6.83","6.99","6.55","6.80","6.78","6.73","6.78","8.83","4.00","69,390","4,70,276.63","249"
"14-Aug-2024","BE","7.18","7.18","6.76","7.12","6.76","6.80","6.80","8.83","4.00","1,78,146","12,12,278.91","321"
"13-Aug-2024","BE","7.42","7.45","7.10","7.41","7.19","7.12","7.23","8.83","4.00","65,548","4,74,060.43","297"
"12-Aug-2024","BE","7.74","7.78","7.32","7.61","7.44","7.41","7.52","8.83","4.00","89,121","6,69,792.49","310"
"09-Aug-2024","BE","7.69","7.99","7.40","7.69","7.60","7.61","7.70","8.83","4.00","1,20,320","9,26,237.38","345"
"08-Aug-2024","BE","7.65","8.26","7.47","7.87","7.72","7.69","7.64","8.83","4.00","2,73,547","20,90,255.36","519"
"07-Aug-2024","EQ","7.38","7.87","7.21","7.16","7.87","7.87","7.70","8.83","4.00","2,95,178","22,72,115.89","708"
"06-Aug-2024","EQ","7.63","7.98","7.00","7.61","7.15","7.16","7.49","8.83","4.00","2,22,808","16,67,933.15","660"
"05-Aug-2024","EQ","8.29","8.83","7.44","8.04","7.60","7.61","7.89","8.83","4.00","3,38,801","26,74,250.00","1,365"
"02-Aug-2024","EQ","7.97","8.19","7.59","7.96","8.00","8.04","7.94","8.67","4.00","3,54,943","28,18,930.75","893"
"01-Aug-2024","EQ","8.50","8.67","7.81","8.07","8.05","7.96","8.22","8.67","4.00","11,23,883","92,40,637.74","3,077"
"31-Jul-2024","EQ","7.84","8.07","7.51","7.34","8.07","8.07","7.92","8.07","4.00","10,46,103","82,88,243.18","2,074"
"30-Jul-2024","EQ","6.89","7.34","6.77","6.68","7.34","7.34","7.21","7.34","4.00","7,88,953","56,85,054.05","2,201"
"29-Jul-2024","EQ","6.64","6.99","6.52","6.69","6.68","6.68","6.75","7.33","4.00","1,58,017","10,67,178.36","568"
