"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","4,555.00","4,650.00","4,476.00","4,546.95","4,520.00","4,498.15","4,532.90","5,268.50","3,660.70","32,437","14,70,33,715.00","6,976"
"23-Aug-2024","EQ","4,500.45","4,575.50","4,500.45","4,521.95","4,531.40","4,546.95","4,540.51","5,268.50","3,660.70","13,863","6,29,45,147.05","4,525"
"22-Aug-2024","EQ","4,570.00","4,608.65","4,508.25","4,595.00","4,528.00","4,521.95","4,545.14","5,268.50","3,660.70","26,459","12,02,59,728.55","5,978"
"21-Aug-2024","EQ","4,600.00","4,673.60","4,560.00","4,588.10","4,590.00","4,595.00","4,600.04","5,268.50","3,660.70","21,244","9,77,23,346.85","5,345"
"20-Aug-2024","EQ","4,630.20","4,682.80","4,554.05","4,600.30","4,601.10","4,588.10","4,605.61","5,268.50","3,660.70","42,754","19,69,08,451.45","12,167"
"19-Aug-2024","EQ","4,509.35","4,649.00","4,494.20","4,507.05","4,619.00","4,600.30","4,572.90","5,268.50","3,660.70","41,409","18,93,59,400.85","7,979"
"16-Aug-2024","EQ","4,440.00","4,522.00","4,440.00","4,438.10","4,509.00","4,507.05","4,495.33","5,268.50","3,660.70","33,076","14,86,87,601.05","6,377"
"14-Aug-2024","EQ","4,529.00","4,545.95","4,402.55","4,537.40","4,433.65","4,438.10","4,450.55","5,268.50","3,660.70","26,708","11,88,65,220.30","6,787"
"13-Aug-2024","EQ","4,498.00","4,595.00","4,463.55","4,459.65","4,520.00","4,537.40","4,548.46","5,268.50","3,660.70","76,356","34,73,02,292.10","21,275"
"12-Aug-2024","EQ","4,415.80","4,467.45","4,375.55","4,415.85","4,460.00","4,459.65","4,444.47","5,268.50","3,660.70","31,598","14,04,36,504.55","7,621"
"09-Aug-2024","EQ","4,490.00","4,491.55","4,400.00","4,471.55","4,420.00","4,415.85","4,431.47","5,268.50","3,660.70","36,612","16,22,44,860.65","9,466"
"08-Aug-2024","EQ","4,241.00","4,502.00","4,236.30","4,243.85","4,453.00","4,471.55","4,425.95","5,268.50","3,660.70","1,05,398","46,64,86,320.65","21,297"
"07-Aug-2024","EQ","4,186.40","4,350.00","4,147.70","4,165.55","4,284.00","4,243.85","4,266.63","5,268.50","3,660.70","78,856","33,64,49,766.15","20,730"
"06-Aug-2024","EQ","4,217.65","4,295.15","4,150.00","4,217.00","4,188.00","4,165.55","4,216.28","5,268.50","3,660.70","22,399","9,44,40,358.55","6,545"
"05-Aug-2024","EQ","4,300.00","4,300.00","4,200.00","4,311.35","4,229.00","4,217.00","4,244.17","5,268.50","3,660.70","77,669","32,96,40,218.65","8,750"
"02-Aug-2024","EQ","4,330.00","4,344.45","4,272.50","4,340.80","4,324.00","4,311.35","4,310.06","5,268.50","3,660.70","31,046","13,38,09,989.20","8,506"
"01-Aug-2024","EQ","4,420.00","4,420.00","4,301.05","4,382.60","4,336.00","4,340.80","4,362.96","5,268.50","3,660.70","24,202","10,55,92,276.00","7,345"
"31-Jul-2024","EQ","4,400.00","4,424.00","4,371.25","4,384.75","4,395.15","4,382.60","4,403.05","5,268.50","3,660.70","38,608","16,99,92,993.95","10,424"
"30-Jul-2024","EQ","4,360.00","4,428.35","4,351.05","4,327.80","4,397.95","4,384.75","4,392.71","5,268.50","3,660.70","43,984","19,32,09,056.60","10,893"
"29-Jul-2024","EQ","4,248.00","4,354.95","4,248.00","4,226.85","4,341.00","4,327.80","4,319.84","5,268.50","3,660.70","68,636","29,64,96,199.70","8,575"
