"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","3,850.00","3,929.00","3,821.25","3,821.95","3,850.00","3,860.45","3,879.60","4,171.90","1,653.30","8,12,751","3,15,31,50,691.20","65,754"
"23-Aug-2024","EQ","3,815.00","3,852.70","3,780.00","3,815.70","3,826.00","3,821.95","3,819.23","4,171.90","1,653.30","3,55,889","1,35,92,21,996.45","27,269"
"22-Aug-2024","EQ","3,839.00","3,843.20","3,802.20","3,833.35","3,812.35","3,815.70","3,818.79","4,171.90","1,653.30","1,81,744","69,40,41,292.70","21,057"
"21-Aug-2024","EQ","3,844.95","3,860.95","3,800.40","3,829.55","3,819.00","3,833.35","3,831.98","4,171.90","1,653.30","5,22,503","2,00,22,19,945.00","43,869"
"20-Aug-2024","EQ","3,780.00","3,844.00","3,724.70","3,754.85","3,832.00","3,829.55","3,790.32","4,171.90","1,653.30","5,45,141","2,06,62,58,385.20","39,068"
"19-Aug-2024","EQ","3,781.00","3,804.50","3,720.00","3,761.40","3,768.05","3,754.85","3,754.88","4,171.90","1,653.30","5,62,243","2,11,11,52,533.45","56,125"
"16-Aug-2024","EQ","3,730.00","3,770.30","3,683.55","3,724.45","3,760.00","3,761.40","3,743.72","4,171.90","1,653.30","4,19,710","1,57,12,76,343.00","32,726"
"14-Aug-2024","EQ","3,725.00","3,736.80","3,662.60","3,705.20","3,724.00","3,724.45","3,710.78","4,171.90","1,653.30","4,32,049","1,60,32,39,581.40","34,614"
"13-Aug-2024","EQ","3,735.15","3,754.55","3,660.35","3,753.60","3,703.00","3,705.20","3,699.95","4,171.90","1,653.30","4,17,701","1,54,54,71,445.75","32,294"
"12-Aug-2024","EQ","3,685.00","3,776.55","3,650.05","3,715.10","3,741.65","3,753.60","3,716.60","4,171.90","1,653.30","7,16,376","2,66,24,81,325.80","57,823"
"09-Aug-2024","EQ","3,759.55","3,824.00","3,701.15","3,728.50","3,733.00","3,715.10","3,765.00","4,171.90","1,653.30","6,44,934","2,42,81,76,286.55","43,705"
"08-Aug-2024","EQ","3,700.00","3,767.50","3,663.00","3,748.55","3,726.00","3,728.50","3,725.83","4,171.90","1,653.30","9,93,412","3,70,12,84,600.15","69,288"
"07-Aug-2024","EQ","3,564.00","3,815.80","3,452.00","3,522.10","3,735.55","3,748.55","3,692.38","4,171.90","1,653.30","34,98,089","12,91,62,57,263.20","1,85,177"
"06-Aug-2024","EQ","3,510.70","3,596.55","3,501.00","3,497.90","3,526.00","3,522.10","3,542.50","4,171.90","1,653.30","13,67,913","4,84,58,36,418.05","82,551"
"05-Aug-2024","EQ","3,431.60","3,525.00","3,359.05","3,510.85","3,494.00","3,497.90","3,466.76","4,171.90","1,653.30","14,42,742","5,00,16,36,873.00","1,10,474"
"02-Aug-2024","EQ","3,699.70","3,702.40","3,471.60","3,815.00","3,500.20","3,510.85","3,537.18","4,171.90","1,653.30","48,00,901","16,98,16,52,518.20","2,40,918"
"01-Aug-2024","EQ","3,850.00","3,864.95","3,790.15","3,852.35","3,816.90","3,815.00","3,818.86","4,171.90","1,653.30","3,37,985","1,29,07,16,190.35","28,348"
"31-Jul-2024","EQ","3,817.75","3,867.95","3,802.25","3,807.45","3,857.05","3,852.35","3,845.76","4,171.90","1,653.30","3,86,818","1,48,76,07,720.65","33,659"
"30-Jul-2024","EQ","3,780.00","3,832.05","3,757.95","3,777.00","3,805.10","3,807.45","3,802.02","4,171.90","1,653.30","3,22,462","1,22,60,05,424.10","43,347"
"29-Jul-2024","EQ","3,730.00","3,807.25","3,696.00","3,718.15","3,780.00","3,777.00","3,771.18","4,171.90","1,653.30","6,67,727","2,51,81,16,775.50","64,798"
