"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","88.98","88.98","85.05","87.16","87.49","86.98","87.47","2,800.00","82.25","7,00,542","6,12,73,532.01","5,347"
"23-Aug-2024","BE","90.00","90.00","86.00","88.42","86.90","87.16","87.71","2,800.00","82.25","23,24,277","20,38,51,726.24","5,703"
"22-Aug-2024","BE","90.70","90.70","86.83","87.52","88.20","88.42","88.06","2,800.00","82.25","15,02,825","13,23,35,734.50","5,492"
"21-Aug-2024","BE","90.24","90.25","86.90","89.92","87.80","87.52","88.54","2,800.00","82.25","7,47,204","6,61,55,506.71","6,343"
"20-Aug-2024","BE","96.34","96.34","89.91","94.65","90.80","89.92","90.75","2,800.00","82.25","9,11,283","8,26,97,680.71","5,743"
"19-Aug-2024","BE","100.00","101.80","93.36","98.26","96.80","94.65","96.64","2,800.00","82.25","7,20,116","6,95,90,052.50","4,370"
"16-Aug-2024","BE","98.11","102.00","96.50","97.52","98.80","98.26","98.48","2,800.00","82.25","3,25,412","3,20,45,808.31","2,879"
"14-Aug-2024","BE","103.40","103.40","96.25","100.99","98.50","97.52","98.04","2,800.00","82.25","8,98,464","8,80,88,267.96","3,805"
"13-Aug-2024","BE","100.50","105.52","98.50","100.50","100.75","100.99","102.84","2,800.00","82.25","6,93,415","7,13,11,135.42","4,546"
"12-Aug-2024","BE","105.00","105.00","100.36","105.65","100.36","100.50","101.92","2,800.00","82.25","16,25,482","16,56,66,837.98","7,931"
"09-Aug-2024","BE","105.65","105.65","105.65","100.62","105.65","105.65","105.65","2,800.00","82.25","10,36,406","10,94,96,293.90","1,333"
"08-Aug-2024","BE","100.62","100.62","100.62","95.83","100.62","100.62","100.62","2,800.00","82.25","4,61,308","4,64,16,810.96","1,280"
"07-Aug-2024","BE","95.83","95.83","95.83","91.27","95.83","95.83","95.83","2,800.00","82.25","3,46,492","3,32,04,328.36","1,041"
"06-Aug-2024","BE","87.93","91.27","86.93","86.93","91.27","91.27","91.06","2,800.00","82.25","6,08,701","5,54,28,367.97","926"
"05-Aug-2024","BE","88.00","89.98","85.89","90.42","86.90","86.93","87.03","2,800.00","82.25","11,02,996","9,59,96,858.96","3,846"
"02-Aug-2024","BE","91.91","92.00","89.50","91.91","90.80","90.42","90.62","2,800.00","82.25","2,19,522","1,98,93,015.03","2,571"
"01-Aug-2024","BE","94.85","94.85","91.75","92.36","91.95","91.91","92.68","2,800.00","82.25","3,53,422","3,27,53,663.78","3,079"
"31-Jul-2024","BE","96.00","96.00","92.20","96.73","92.70","92.36","93.81","2,800.00","82.25","16,06,799","15,07,36,722.59","7,576"
"30-Jul-2024","BE","96.73","96.73","96.73","92.13","96.73","96.73","96.73","2,800.00","82.25","8,08,623","7,82,18,102.79","1,113"
"29-Jul-2024","BE","92.13","92.13","92.13","87.75","92.13","92.13","92.13","2,800.00","82.25","3,29,465","3,03,53,610.45","1,263"
